subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_mismatch,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_mismatch,pct_disappear
physics,2000,2001,45,49,29,15,0,0,1,0,20,64.44,33.33,0.0,0.0,2.22
physics,2001,2002,49,49,17,31,0,0,1,0,32,34.69,63.27,0.0,0.0,2.04
physics,2002,2003,49,48,7,40,0,0,2,0,41,14.29,81.63,0.0,0.0,4.08
physics,2003,2004,48,50,12,35,0,0,1,0,38,25.0,72.92,0.0,0.0,2.08
physics,2004,2005,50,49,14,36,0,0,0,0,35,28.0,72.0,0.0,0.0,0.0
physics,2005,2006,49,50,19,29,0,0,1,0,31,38.78,59.18,0.0,0.0,2.04
physics,2006,2007,50,50,27,23,0,0,0,0,23,54.0,46.0,0.0,0.0,0.0
physics,2007,2008,50,49,22,27,0,0,1,0,27,44.0,54.0,0.0,0.0,2.0
physics,2008,2009,49,50,31,18,0,0,0,0,19,63.27,36.73,0.0,0.0,0.0
physics,2009,2010,50,50,35,15,0,0,0,0,15,70.0,30.0,0.0,0.0,0.0
physics,2010,2011,50,50,33,17,0,0,0,0,17,66.0,34.0,0.0,0.0,0.0
physics,2011,2012,50,50,38,11,0,0,1,0,12,76.0,22.0,0.0,0.0,2.0
physics,2012,2013,50,49,39,10,0,0,1,0,10,78.0,20.0,0.0,0.0,2.0
physics,2013,2014,49,50,35,14,0,0,0,0,15,71.43,28.57,0.0,0.0,0.0
physics,2014,2015,50,50,39,11,0,0,0,0,11,78.0,22.0,0.0,0.0,0.0
physics,2015,2016,50,50,41,9,0,0,0,0,9,82.0,18.0,0.0,0.0,0.0
physics,2016,2017,50,50,41,9,0,0,0,0,9,82.0,18.0,0.0,0.0,0.0
physics,2017,2018,50,50,46,4,0,0,0,0,4,92.0,8.0,0.0,0.0,0.0
physics,2018,2019,50,50,44,6,0,0,0,0,6,88.0,12.0,0.0,0.0,0.0
physics,2019,2020,50,49,44,6,0,0,0,0,5,88.0,12.0,0.0,0.0,0.0
physics,2020,2021,49,50,48,1,0,0,0,0,2,97.96,2.04,0.0,0.0,0.0
physics,2021,2022,50,50,46,4,0,0,0,0,4,92.0,8.0,0.0,0.0,0.0
physics,2022,2023,50,50,47,3,0,0,0,0,3,94.0,6.0,0.0,0.0,0.0
physics,2023,2024,50,50,47,3,0,0,0,0,3,94.0,6.0,0.0,0.0,0.0
physics,2024,2025,50,50,47,3,0,0,0,0,3,94.0,6.0,0.0,0.0,0.0
