subject,year_from,year_to,avg_sim,avg_drift,n_topics
math,2000,2001,0.654054054054054,0.34594594594594597,37
math,2001,2002,0.6675675675675675,0.3324324324324325,37
math,2002,2003,0.717948717948718,0.28205128205128205,39
math,2003,2004,0.7605263157894736,0.2394736842105263,38
math,2004,2005,0.7743589743589744,0.22564102564102567,39
math,2005,2006,0.8,0.2,42
math,2006,2007,0.7976190476190477,0.20238095238095238,42
math,2007,2008,0.8046511627906977,0.19534883720930232,43
math,2008,2009,0.8044444444444445,0.19555555555555557,45
math,2009,2010,0.830232558139535,0.1697674418604651,43
math,2010,2011,0.8422222222222222,0.1577777777777778,45
math,2011,2012,0.8391304347826087,0.16086956521739132,46
math,2012,2013,0.8369565217391305,0.16304347826086957,46
math,2013,2014,0.8673913043478261,0.1326086956521739,46
math,2014,2015,0.8680851063829786,0.13191489361702127,47
math,2015,2016,0.8708333333333332,0.12916666666666668,48
math,2016,2017,0.8765957446808511,0.12340425531914893,47
math,2017,2018,0.8729166666666667,0.12708333333333333,48
math,2018,2019,0.8693877551020408,0.1306122448979592,49
math,2019,2020,0.8666666666666667,0.13333333333333333,48
math,2020,2021,0.86875,0.13125,48
math,2021,2022,0.8895833333333334,0.11041666666666666,48
math,2022,2023,0.868,0.132,50
math,2023,2024,0.888,0.11200000000000002,50
math,2024,2025,0.889795918367347,0.11020408163265306,49
