subject,year,avg_sim,avg_drift,n_topics
math,2000,1.0,0.0,38
math,2001,0.6717948717948717,0.3282051282051282,39
math,2002,0.5463414634146341,0.45365853658536587,41
math,2003,0.505,0.495,40
math,2004,0.5302325581395348,0.4697674418604651,43
math,2005,0.4674418604651163,0.5325581395348837,43
math,2006,0.45681818181818185,0.5431818181818181,44
math,2007,0.42666666666666664,0.5733333333333334,45
math,2008,0.42391304347826086,0.5760869565217391,46
math,2009,0.42173913043478256,0.5782608695652174,46
math,2010,0.4533333333333333,0.5466666666666667,45
math,2011,0.425,0.5750000000000001,48
math,2012,0.4170212765957447,0.5829787234042553,47
math,2013,0.4166666666666667,0.5833333333333334,48
math,2014,0.425531914893617,0.574468085106383,47
math,2015,0.406,0.594,50
math,2016,0.4166666666666667,0.5833333333333334,48
math,2017,0.4122448979591837,0.5877551020408164,49
math,2018,0.4122448979591837,0.5877551020408164,49
math,2019,0.41,0.59,50
math,2020,0.4145833333333333,0.5854166666666667,48
math,2021,0.41250000000000003,0.5875,48
math,2022,0.408,0.5920000000000001,50
math,2023,0.39799999999999996,0.602,50
math,2024,0.406,0.594,50
math,2025,0.40816326530612246,0.5918367346938775,49
