subject,topic_id,window_from,window_to,rbo_sim,endpoint_drift,n_words_first,n_words_last,n_kept,n_removed,n_added,pct_kept,words_first,words_last,words_kept,words_added,words_removed
math,0,2000–2005,2020–2025,0.68712,0.31288,19,12,10,9,2,52.63,"formula, function, identity, integral, polynomial, series, coefficient, sum, form, askey_wilson, representation, hypergeometric, jacobi, polar, psi_summation, term, theory, tricomplex, variable","coefficient, formula, function, integral, polynomial, series, sum, term, identity, mathbb_mathbb, form, type","coefficient, form, formula, function, identity, integral, polynomial, series, sum, term","mathbb_mathbb, type","askey_wilson, hypergeometric, jacobi, polar, psi_summation, representation, theory, tricomplex, variable"
math,1,2000–2005,2020–2025,0.355863,0.644137,30,11,10,20,1,33.33,"potential, wave, dimensional, periodic, energy, existence, global, local, avalanche, function, hale, hamiltonian, laskar, melnikov, nonlinear, soliton, alphaf, bertrand, coulomb, estimate, euler, flgee, homoclinic, hyperk_hler, initial_datum, isochronous, operator, quasiperiodic, schr_dinger_operator, space","critical, energy, estimate, existence, global, local, potential, space, wave, nonlinear, initial_datum","energy, estimate, existence, global, initial_datum, local, nonlinear, potential, space, wave",critical,"alphaf, avalanche, bertrand, coulomb, dimensional, euler, flgee, function, hale, hamiltonian, homoclinic, hyperk_hler, isochronous, laskar, melnikov, operator, periodic, quasiperiodic, schr_dinger_operator, soliton"
math,2,2000–2005,2020–2025,0.102858,0.897142,39,14,5,34,9,12.82,"iterable, quantum, turbo, woodin_cardinal, channel, coppersmith, datum, fisher_information, information, interleaver, maxent, measurement, noise, pachner_move, quantization, signal, tetali, algorithm, bayesian, distinguishability, friendly, function, greedy, integrand, invertability, probable, procedure, quadrature, radiograph, ralsfa, rate, reliability, secretary, separation, source, subthreshold, vicious_walker, walker, winkler","algorithm, datum, distribution, sample, sparse, test, noise, testing, error, optimal, reconstruction, recovery, signal, measurement","algorithm, datum, measurement, noise, signal","distribution, error, optimal, reconstruction, recovery, sample, sparse, test, testing","bayesian, channel, coppersmith, distinguishability, fisher_information, friendly, function, greedy, information, integrand, interleaver, invertability, iterable, maxent, pachner_move, probable, procedure, quadrature, quantization, quantum"
math,3,2000–2005,2020–2025,0.324493,0.675507,35,15,6,29,9,17.14,"theorem, theory, logic, proof, maximality, splitter, aleph, bnat, diffraction, goedel, gromov, hypercomputation, principle, argumentation, axiom, boldface, church_thesis, coarse, computability, condensation, cumulative, ellentuck, entscheidungsproblem, formal, free, hospital, instantiational, math, negation, nonlocality, nonstandard, phi, sheva, smale, transfinite","axiom, fuzzy, logic, order, proof, theorem, theory, semantic, principle, language, logical, ordinal, set, fcn, zfc","axiom, logic, principle, proof, theorem, theory","fcn, fuzzy, language, logical, order, ordinal, semantic, set, zfc","aleph, argumentation, bnat, boldface, church_thesis, coarse, computability, condensation, cumulative, diffraction, ellentuck, entscheidungsproblem, formal, free, goedel, gromov, hospital, hypercomputation, instantiational, math"
math,4,2000–2005,2020–2025,0.621372,0.378628,16,11,9,7,2,56.25,"curve, field, group, projective, surface, variety, algebraic, point, rational, genus, smooth, arakelov, conjecture, divisor, kodaira, singularity","conjecture, curve, field, group, mathbb_mathbb, point, projective, surface, variety, degree, rational","conjecture, curve, field, group, point, projective, rational, surface, variety","degree, mathbb_mathbb","algebraic, arakelov, divisor, genus, kodaira, singularity, smooth"
math,5,2000–2005,2020–2025,0.324679,0.675321,30,30,8,22,22,26.67,"word, return, complexity, infinite, subword, coding, evdokimov, interval_exchange, occurrence, palindrome, pattern, sigma, alphabet, article, assign, binary, circ, combing, frak, function, interval, letter, multipermutation, palindromic, primitive, rotation, seebold, sequence, subsequence, transformation","word, varphi, circ, fibonacci, palindromic, length, letter, palindrome, sequence, complexity, factor, psh, texttt_texttt, automatic, binomial, cogrowth, frieze, layered, mathbb, mathbb_times, mathcal, morphism, overline, persistent, prefix, privileged, red, subword, wedge, wittstock","circ, complexity, letter, palindrome, palindromic, sequence, subword, word","automatic, binomial, cogrowth, factor, fibonacci, frieze, layered, length, mathbb, mathbb_times, mathcal, morphism, overline, persistent, prefix, privileged, psh, red, texttt_texttt, varphi","alphabet, article, assign, binary, coding, combing, evdokimov, frak, function, infinite, interval, interval_exchange, multipermutation, occurrence, pattern, primitive, return, rotation, seebold, sigma"
math,6,2000–2005,2020–2025,0.549158,0.450842,15,13,8,7,5,53.33,"algebra, category, cohomology, homotopy, operad, ring, theory, equivariant, group, module, simplicial, fan, homology, mathtt, sheaf","category, cohomology, functor, group, homotopy, module, ring, theory, algebra, structure, mathcal_mathcal, motivic, space","algebra, category, cohomology, group, homotopy, module, ring, theory","functor, mathcal_mathcal, motivic, space, structure","equivariant, fan, homology, mathtt, operad, sheaf, simplicial"
math,7,2000–2005,2020–2025,0.60262,0.39738,18,13,10,8,3,55.56,"action, automorphism, braid, finite, group, subgroup, abelian, class, algebra, free, amitsur, artin, coxeter, diagram, element, galois, order, representation","abelian, action, automorphism, class, finite, group, subgroup, mathbb_mathbb, monoid, element, graph, free, order","abelian, action, automorphism, class, element, finite, free, group, order, subgroup","graph, mathbb_mathbb, monoid","algebra, amitsur, artin, braid, coxeter, diagram, galois, representation"
math,8,2000–2005,2020–2025,0.796462,0.203538,21,16,10,11,6,47.62,"algebra, algebras, lie_algebra, module, noncommutative, ring, group, lie, structure, associative, bialgebra, clifford, hopf_algebra, ideal, extension, field, finite, goth_goth, lie_rinehart, morita_equivalence, theory","algebra, algebras, lie_algebra, module, ring, structure, field, hom, derivation, group, lie, associative, mathcal_mathcal, mathfrak_mathfrak, nilpotent, rota_baxter","algebra, algebras, associative, field, group, lie, lie_algebra, module, ring, structure","derivation, hom, mathcal_mathcal, mathfrak_mathfrak, nilpotent, rota_baxter","bialgebra, clifford, extension, finite, goth_goth, hopf_algebra, ideal, lie_rinehart, morita_equivalence, noncommutative, theory"
math,9,2000–2005,2020–2025,0.0,1.0,23,26,0,23,26,0.0,"des, geodesique, holmes_thompson, leur, pointee, sont, totalement, algebre, associee, croise, gal, mordell_weil, moyennable, multiplicatif, nombre, pour, qui, rationnelle, sous, sundman, trois, une, unitaire","mathbb, mathbb_mathbb, mathcal, overline, subset, backslash, bar, overline_overline, ast, breve, ge0, mathrm, mhr, bendixon, cap, colon, cong, infty, ltimes, mathcal_mathcal, operatorname, pqr, stackrel_longrightarrow, tetra_inner, underline, varphi",,"ast, backslash, bar, bendixon, breve, cap, colon, cong, ge0, infty, ltimes, mathbb, mathbb_mathbb, mathcal, mathcal_mathcal, mathrm, mhr, operatorname, overline, overline_overline","algebre, associee, croise, des, gal, geodesique, holmes_thompson, leur, mordell_weil, moyennable, multiplicatif, nombre, pointee, pour, qui, rationnelle, sont, sous, sundman, totalement"
