subject,year_from,year_to,avg_sim,avg_drift,n_topics
cs,2000,2001,0.13846153846153847,0.8615384615384616,39
cs,2001,2002,0.13829787234042554,0.8617021276595744,47
cs,2002,2003,0.1326530612244898,0.8673469387755102,49
cs,2003,2004,0.13529411764705884,0.8647058823529412,51
cs,2004,2005,0.16603773584905662,0.8339622641509434,53
cs,2005,2006,0.17735849056603775,0.8226415094339623,53
cs,2006,2007,0.14909090909090908,0.8509090909090908,55
cs,2007,2008,0.17777777777777778,0.8222222222222222,54
cs,2008,2009,0.1464285714285714,0.8535714285714285,56
cs,2009,2010,0.18727272727272729,0.8127272727272727,55
cs,2010,2011,0.23709677419354838,0.7629032258064515,62
cs,2011,2012,0.2546875,0.7453125,64
cs,2012,2013,0.29384615384615387,0.7061538461538461,65
cs,2013,2014,0.3196969696969697,0.6803030303030303,66
cs,2014,2015,0.3476923076923077,0.6523076923076923,65
cs,2015,2016,0.396969696969697,0.603030303030303,66
cs,2016,2017,0.4606060606060606,0.5393939393939394,66
cs,2017,2018,0.5086956521739131,0.49130434782608695,69
cs,2018,2019,0.5535211267605633,0.44647887323943664,71
cs,2019,2020,0.6072463768115942,0.39275362318840584,69
cs,2020,2021,0.6528571428571429,0.34714285714285714,70
cs,2021,2022,0.6428571428571429,0.35714285714285715,70
cs,2022,2023,0.6263888888888889,0.3736111111111111,72
cs,2023,2024,0.6485714285714286,0.3514285714285714,70
cs,2024,2025,0.6811594202898551,0.3188405797101449,69
