subject,window_from,window_to,transition,avg_sim,avg_drift,std_drift,n_topics
cs,2000–2005,2005–2010,2000–2005 → 2005–2010,0.32077404054054054,0.6792259594594594,0.19055192254911182,74
cs,2005–2010,2010–2015,2005–2010 → 2010–2015,0.45881066216216215,0.5411893378378378,0.22194796062734554,74
cs,2010–2015,2015–2020,2010–2015 → 2015–2020,0.5215698666666666,0.47843013333333334,0.22315029796041014,75
cs,2015–2020,2020–2025,2015–2020 → 2020–2025,0.62657684,0.37342316000000003,0.1794331630221577,75
