subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
math,2000,2001,50,0.544784,0.544267,0.53758
math,2001,2002,50,0.542014,0.549188,0.538471
math,2002,2003,50,0.537338,0.643479,0.576892
math,2003,2004,50,0.536338,0.614437,0.565345
math,2004,2005,50,0.534739,0.690916,0.598537
math,2005,2006,50,0.53466,0.648113,0.579696
math,2006,2007,50,0.537253,0.582584,0.551509
math,2007,2008,50,0.539292,0.56576,0.542806
math,2008,2009,50,0.533308,0.584493,0.551402
math,2009,2010,50,0.53276,0.570928,0.541415
math,2010,2011,50,0.53171,0.584019,0.544292
math,2011,2012,50,0.534076,0.513916,0.511914
math,2012,2013,50,0.535863,0.463073,0.480966
math,2013,2014,50,0.53625,0.419176,0.460342
math,2014,2015,50,0.536615,0.398739,0.44468
math,2015,2016,50,0.535971,0.383162,0.430399
math,2016,2017,50,0.536832,0.366081,0.418485
math,2017,2018,50,0.538617,0.362721,0.426457
math,2018,2019,50,0.538688,0.33494,0.402808
math,2019,2020,50,0.539581,0.319739,0.392098
math,2020,2021,50,0.540124,0.349085,0.41876
math,2021,2022,50,0.541541,0.361907,0.424406
math,2022,2023,50,0.54129,0.349652,0.413774
math,2023,2024,50,0.544637,0.255747,0.336668
math,2024,2025,50,0.548679,0.159357,0.23407
