subject,category,n_keywords,avg_span,max_span,min_span,avg_coverage_pct,n_never_captured,n_full_span
cs,emerging,20,13.95,26,0,65.97,1,2
cs,stable,20,9.0,26,0,52.7,2,1
cs,decaying,20,12.75,26,1,70.76,0,5
