subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
math,2006,2007,3,2,"[18, 27]","[0.6, 0.6]","graph, class, set, finite, type, dimensional, map, operator, manifold, non"
math,2006,2007,9,3,"[23, 36, 39]","[0.8, 0.6, 0.6]","dimensional, field, particular, structure, property, point, polynomial, theory, algebra, type"
math,2006,2007,18,2,"[31, 47]","[0.6, 0.6]","algebra, graph, class, polynomial, field, finite, type, manifold, algebraic, curve"
math,2007,2008,37,3,"[0, 13, 33]","[0.7, 0.7, 0.8]","theory, class, dimensional, type, theorem, graph, field, finite, non, structure"
math,2007,2008,8,3,"[1, 22, 23]","[0.7, 0.6, 0.6]","finite, structure, graph, theory, field, class, term, type, theorem, condition"
math,2007,2008,6,2,"[2, 25]","[0.6, 0.6]","theory, non, manifold, graph, property, invariant, class, set, field, condition"
math,2007,2008,7,2,"[7, 41]","[0.6, 0.6]","type, field, finite, point, dimension, theory, matrix, dimensional, set, representation"
math,2007,2008,18,3,"[10, 30, 32]","[0.7, 0.6, 0.7]","graph, structure, polynomial, theorem, set, property, point, non, field, operator"
math,2007,2008,3,2,"[12, 46]","[0.5, 0.6]","set, theorem, field, point, operator, structure, finite, particular, algorithm, non"
math,2007,2008,12,3,"[14, 39, 44]","[0.7, 0.6, 0.6]","structure, polynomial, representation, field, class, set, operator, type, theory, manifold"
math,2007,2008,15,3,"[15, 16, 27]","[0.6, 0.6, 0.7]","theory, finite, point, class, field, polynomial, property, linear, set, theorem"
math,2007,2008,0,5,"[17, 24, 29, 36, 47]","[0.6, 0.7, 0.6, 0.9, 0.6]","finite, operator, class, term, structure, type, theorem, theory, representation, property"
math,2007,2008,4,2,"[21, 43]","[0.7, 0.6]","type, finite, theory, theorem, dimensional, map, operator, field, dimension, form"
math,2007,2008,24,2,"[26, 42]","[0.6, 0.7]","theory, property, set, structure, non, operator, finite, theorem, type, polynomial"
math,2007,2008,20,2,"[35, 40]","[0.6, 0.7]","class, structure, theorem, manifold, finite, set, operator, non, polynomial, term"
math,2008,2009,2,4,"[2, 20, 24, 37]","[0.6, 0.6, 0.6, 0.6]","set, type, theorem, structure, field, order, finite, manifold, measure, non"
math,2008,2009,37,2,"[3, 9]","[0.7, 0.6]","point, operator, structure, dimensional, form, particular, set, theory, theorem, field"
math,2008,2009,29,3,"[4, 23, 29]","[0.6, 0.6, 0.7]","theory, representation, proof, order, operator, finite, type, set, theorem, dimensional"
math,2008,2009,19,2,"[6, 33]","[0.6, 0.7]","theorem, dimension, theory, type, field, non, polynomial, manifold, condition, set"
math,2008,2009,18,2,"[12, 18]","[0.6, 0.7]","graph, structure, polynomial, point, field, certain, type, invariant, set, operator"
math,2008,2009,32,2,"[13, 26]","[0.6, 0.7]","structure, manifold, theorem, order, operator, property, set, dimensional, certain, non"
math,2008,2009,28,3,"[15, 28, 30]","[0.6, 0.6, 0.6]","property, manifold, point, theory, theorem, dimensional, linear, set, free, operator"
math,2008,2009,42,3,"[17, 42, 45]","[0.6, 0.7, 0.7]","manifold, structure, term, polynomial, dimensional, field, type, property, operator, non"
math,2009,2010,26,3,"[4, 13, 20]","[0.6, 0.6, 0.6]","polynomial, operator, order, manifold, matrix, field, condition, particular, form, theorem"
math,2009,2010,5,2,"[5, 26]","[0.6, 0.6]","operator, structure, manifold, representation, polynomial, ring, proof, non, form, boundary"
math,2009,2010,7,3,"[7, 22, 48]","[0.6, 0.6, 0.6]","theorem, field, polynomial, matrix, linear, representation, condition, random, non, order"
math,2009,2010,24,2,"[14, 49]","[0.6, 0.6]","structure, theory, non, linear, dimension, matrix, operator, measure, map, dimensional"
math,2009,2010,37,4,"[24, 32, 36, 37]","[0.6, 0.6, 0.6, 0.6]","dimensional, theory, category, theorem, matrix, form, structure, manifold, operator, non"
math,2009,2010,20,2,"[25, 30]","[0.6, 0.6]","structure, theorem, operator, map, condition, manifold, polynomial, function, certain, invariant"
math,2009,2010,46,2,"[40, 41]","[0.6, 0.6]","point, dimensional, field, term, proof, surface, matrix, theorem, random, set"
math,2010,2011,25,2,"[3, 26]","[0.6, 0.6]","field, form, map, particular, manifold, matrix, representation, polynomial, category, term"
math,2010,2011,13,2,"[6, 27]","[0.6, 0.6]","matrix, field, term, linear, dimension, representation, subset, certain, manifold, extension"
math,2010,2011,24,2,"[8, 24]","[0.6, 0.7]","structure, matrix, linear, measure, non, family, theory, polynomial, dimension, condition"
math,2010,2011,1,2,"[13, 40]","[0.6, 0.6]","polynomial, term, linear, field, representation, proof, dimension, family, form, condition"
math,2010,2011,9,2,"[35, 43]","[0.6, 0.6]","non, condition, dimension, invariant, dimensional, linear, field, distribution, representation, type"
math,2011,2012,12,2,"[3, 12]","[0.6, 0.5]","field, manifold, non, particular, vertex, representation, random, free, certain, sequence"
math,2011,2012,9,2,"[9, 34]","[0.6, 0.6]","condition, non, proof, dimension, particular, dimensional, type, distribution, conjecture, form"
math,2011,2012,49,2,"[38, 49]","[0.6, 0.7]","property, condition, field, term, non, linear, random, invariant, map, formula"
math,2012,2013,48,3,"[4, 44, 48]","[0.7, 0.6, 0.6]","algebra, proof, dimension, form, particular, map, manifold, existence, random, certain"
math,2012,2013,29,2,"[5, 16]","[0.6, 0.6]","linear, map, particular, invariant, proof, boundary, stochastic, representation, formula, family"
math,2012,2013,6,2,"[6, 29]","[0.6, 0.6]","dimension, distribution, surface, form, particular, invariant, inequality, proof, sum, free"
math,2012,2013,14,2,"[14, 25]","[0.6, 0.6]","surface, representation, formula, particular, random, free, degree, distribution, family, map"
math,2013,2014,35,2,"[2, 26]","[0.6, 0.6]","manifold, form, sequence, approximation, measure, classical, surface, proof, distribution, local"
math,2013,2014,48,2,"[6, 48]","[0.6, 0.6]","algebra, dimension, form, particular, proof, surface, sum, random, convergence, sequence"
math,2013,2014,38,2,"[13, 38]","[0.6, 0.7]","distribution, representation, point, non, algebra, dimension, certain, surface, free, conjecture"
math,2014,2015,20,2,"[2, 20]","[0.6, 0.8]","function, class, certain, random, scheme, form, surface, approximation, sum, boundary"
math,2014,2015,25,2,"[12, 25]","[0.5, 0.7]","point, random, surface, mathbb, existence, class, representation, matrix, family, manifold"
math,2015,2016,13,2,"[2, 13]","[0.6, 0.7]","dimension, matrix, sequence, random, degree, distribution, optimal, flow, form, approximation"
math,2017,2018,2,2,"[2, 37]","[0.7, 0.5]","map, sum, approximation, boundary, subset, random, property, integral, manifold, inequality"
