subject,year_from,year_to,avg_sim,avg_drift,n_topics
math,2000,2001,0.47600000000000003,0.524,50
math,2001,2002,0.446,0.5539999999999999,50
math,2002,2003,0.456,0.544,50
math,2003,2004,0.442,0.5579999999999999,50
math,2004,2005,0.434,0.5660000000000001,50
math,2005,2006,0.39399999999999996,0.606,50
math,2006,2007,0.43200000000000005,0.568,50
math,2007,2008,0.494,0.506,50
math,2008,2009,0.428,0.5720000000000001,50
math,2009,2010,0.41200000000000003,0.588,50
math,2010,2011,0.4,0.6,50
math,2011,2012,0.47,0.53,50
math,2012,2013,0.486,0.514,50
math,2013,2014,0.53,0.47,50
math,2014,2015,0.546,0.45399999999999996,50
math,2015,2016,0.564,0.436,50
math,2016,2017,0.59,0.41,50
math,2017,2018,0.5820000000000001,0.418,50
math,2018,2019,0.636,0.364,50
math,2019,2020,0.642,0.358,50
math,2020,2021,0.636,0.364,50
math,2021,2022,0.63,0.37,50
math,2022,2023,0.61,0.39,50
math,2023,2024,0.6679999999999999,0.332,50
math,2024,2025,0.794,0.20600000000000002,50
