subject,topic_id,window_from,window_to,rbo_sim,endpoint_drift,n_words_first,n_words_last,n_kept,n_removed,n_added,pct_kept,words_first,words_last,words_kept,words_added,words_removed
math,28,2000–2005,2020–2025,0.131024,0.868976,26,26,5,21,21,19.23,"function, operator, space, dimensional, finite, group, manifold, structure, theorem, theory, type, algebra, class, field, invariant, proof, property, curve, free, matrix, module, point, polynomial, representation, set, term","formula, level, dimensional, measure, optimal, type, weak, convex, sum, algebra, article, boundary, exponential, module, non, step, constraint, continuous, diffusion, inequality, pde, respect, robust, size, term, tool","algebra, dimensional, module, term, type","article, boundary, constraint, continuous, convex, diffusion, exponential, formula, inequality, level, measure, non, optimal, pde, respect, robust, size, step, sum, tool","class, curve, field, finite, free, function, group, invariant, manifold, matrix, operator, point, polynomial, proof, property, representation, set, space, structure, theorem"
math,29,2000–2005,2020–2025,0.208666,0.791334,28,19,4,24,15,14.29,"algebra, space, invariant, structure, theory, class, function, group, manifold, operator, polynomial, type, quantum, algebraic, condition, dimensional, field, finite, formula, free, graph, integral, non, proof, property, real, representation, theorem","bound, space, graph, group, mathbb_mathbb, certain, optimal, finite, generalized, inequality, information, norm, frac, mathcal_mathcal, prime, extension, form, limit, subset","finite, graph, group, space","bound, certain, extension, form, frac, generalized, inequality, information, limit, mathbb_mathbb, mathcal_mathcal, norm, optimal, prime, subset","algebra, algebraic, class, condition, dimensional, field, formula, free, function, integral, invariant, manifold, non, operator, polynomial, proof, property, quantum, real, representation"
math,30,2000–2005,2020–2025,0.136633,0.863367,29,19,8,21,11,27.59,"theory, space, algebra, class, form, group, invariant, operator, polynomial, set, certain, field, quantum, type, algebraic, dimension, dimensional, finite, function, identity, manifold, map, matrix, module, non, probability, proof, representation, surface","construction, degree, field, conjecture, dimensional, mean, class, convex, point, polynomial, positive, series, certain, invariant, subset, differential, module, relation, surface","certain, class, dimensional, field, invariant, module, polynomial, surface","conjecture, construction, convex, degree, differential, mean, point, positive, relation, series, subset","algebra, algebraic, dimension, finite, form, function, group, identity, manifold, map, matrix, non, operator, probability, proof, quantum, representation, set, space, theory"
math,31,2000–2005,2020–2025,0.107269,0.892731,32,24,6,26,18,18.75,"algebra, space, certain, group, manifold, operator, theorem, theory, type, class, curve, function, non, point, property, structure, algebraic, category, conjecture, construction, dimensional, domain, field, finite, free, invariant, map, polynomial, representation, set, surface, version","infinite, surface, theory, element, theorem, density, dimension, non, optimization, second, flow, text, algebraic, algorithm, derivative, existence, formulation, invariant, network, partial, potential, rank, stability, variable","algebraic, invariant, non, surface, theorem, theory","algorithm, density, derivative, dimension, element, existence, flow, formulation, infinite, network, optimization, partial, potential, rank, second, stability, text, variable","algebra, category, certain, class, conjecture, construction, curve, dimensional, domain, field, finite, free, function, group, manifold, map, operator, point, polynomial, property"
math,32,2000–2005,2020–2025,0.048821,0.951179,24,22,2,22,20,8.33,"theory, algebra, space, structure, class, finite, function, group, manifold, operator, invariant, non, point, theorem, type, dimension, dimensional, field, linear, matrix, polynomial, property, random, term","family, subset, energy, function, potential, setting, spectral, element, mathcal_mathcal, series, efficient, mean, probability, certain, estimation, inequality, integral, mathbb_mathbb, mathcal, sequence, step, type","function, type","certain, efficient, element, energy, estimation, family, inequality, integral, mathbb_mathbb, mathcal, mathcal_mathcal, mean, potential, probability, sequence, series, setting, spectral, step, subset","algebra, class, dimension, dimensional, field, finite, group, invariant, linear, manifold, matrix, non, operator, point, polynomial, property, random, space, structure, term"
math,33,2000–2005,2020–2025,0.084649,0.915351,29,19,4,25,15,13.79,"space, theory, algebra, invariant, non, structure, group, polynomial, certain, finite, function, manifold, matrix, operator, type, boundary, class, cohomology, construction, dimension, field, form, local, rational, representation, ring, set, theorem, variable","limit, point, sequence, power, variable, pair, term, group, integral, non, text, certain, inequality, random, size, action, existence, network, rate","certain, group, non, variable","action, existence, inequality, integral, limit, network, pair, point, power, random, rate, sequence, size, term, text","algebra, boundary, class, cohomology, construction, dimension, field, finite, form, function, invariant, local, manifold, matrix, operator, polynomial, rational, representation, ring, set"
math,34,2000–2005,2020–2025,0.050828,0.949172,31,24,4,27,20,12.9,"space, algebra, function, theory, finite, structure, type, dimensional, group, manifold, point, proof, representation, surface, theorem, category, cohomology, condition, connection, construction, curve, dimension, field, invariant, map, matrix, object, operator, property, quantum, variety","operator, term, variable, action, set, theorem, critical, dimensional, existence, power, arbitrary, coefficient, constant, particular, question, singular, bound, boundary, degree, error, mathcal_mathcal, non, quantum, weak","dimensional, operator, quantum, theorem","action, arbitrary, bound, boundary, coefficient, constant, critical, degree, error, existence, mathcal_mathcal, non, particular, power, question, set, singular, term, variable, weak","algebra, category, cohomology, condition, connection, construction, curve, dimension, field, finite, function, group, invariant, manifold, map, matrix, object, point, proof, property"
math,35,2000–2005,2020–2025,0.098995,0.901005,30,26,5,25,21,16.67,"algebra, space, function, class, finite, group, invariant, manifold, point, theory, condition, dimensional, non, proof, surface, algebraic, category, curve, family, field, form, operator, order, property, quantum, relation, representation, structure, term, theorem","domain, measure, non, complete, function, random, constant, distance, regularity, subset, behavior, flow, mean, property, weak, algebraic, assumption, continuous, discrete, error, estimation, finite, ideal, network, probability, rank","algebraic, finite, function, non, property","assumption, behavior, complete, constant, continuous, discrete, distance, domain, error, estimation, flow, ideal, mean, measure, network, probability, random, rank, regularity, subset","algebra, category, class, condition, curve, dimensional, family, field, form, group, invariant, manifold, operator, order, point, proof, quantum, relation, representation, space"
math,36,2000–2005,2020–2025,0.135098,0.864902,29,29,7,22,22,24.14,"algebra, function, theory, group, operator, polynomial, set, space, structure, type, class, dimension, dimensional, finite, graph, invariant, theorem, curve, field, form, formula, metric, non, point, property, quantum, rational, surface, term","stability, operator, continuous, integral, space, formula, weak, asymptotic, curve, energy, finite, mean, measure, open, scale, subset, efficient, field, free, generalization, global, minimal, optimal, proof, property, regular, symmetric, tool, weight","curve, field, finite, formula, operator, property, space","asymptotic, continuous, efficient, energy, free, generalization, global, integral, mean, measure, minimal, open, optimal, proof, regular, scale, stability, subset, symmetric, tool","algebra, class, dimension, dimensional, form, function, graph, group, invariant, metric, non, point, polynomial, quantum, rational, set, structure, surface, term, theorem"
math,37,2000–2005,2020–2025,0.048248,0.951752,28,19,3,25,16,10.71,"algebra, function, theory, manifold, point, space, class, field, group, operator, quantum, structure, theorem, condition, dimension, dimensional, discrete, form, formula, graph, integral, map, non, proof, representation, surface, term, type","algebraic, finite, free, order, quantum, dimensional, boundary, infty, optimization, potential, stable, sum, condition, estimate, rank, algorithm, compact, connection, power","condition, dimensional, quantum","algebraic, algorithm, boundary, compact, connection, estimate, finite, free, infty, optimization, order, potential, power, rank, stable, sum","algebra, class, dimension, discrete, field, form, formula, function, graph, group, integral, manifold, map, non, operator, point, proof, representation, space, structure"
