subject,model,min_cluster_size,min_samples,n_neighbors,n_components,n_topics,coherence,outlier_ratio
physics,all-distilroberta-v1,100,10,25,10,208,0.7370006753735228,0.4383744216087649
physics,all-distilroberta-v1,100,20,10,5,231,0.7396933188777511,0.4251833423324289
physics,all-distilroberta-v1,100,20,10,10,233,0.7438232038646491,0.4173917203764584
physics,all-distilroberta-v1,100,20,15,5,210,0.7442266549005807,0.4296054295302472
physics,all-distilroberta-v1,100,20,15,10,204,0.7363064542570066,0.4121973057391447
physics,all-distilroberta-v1,100,20,25,5,198,0.7438256896142835,0.4506359740552658
physics,all-distilroberta-v1,100,20,25,10,195,0.7452513869292197,0.4485035301515265
physics,all-distilroberta-v1,150,5,10,5,196,0.7432563184453586,0.4033873051240166
physics,all-distilroberta-v1,150,5,10,10,179,0.7413691408539546,0.3929232935322703
physics,all-distilroberta-v1,150,5,15,5,171,0.7392108383526058,0.406298911223353
physics,all-distilroberta-v1,150,5,15,10,172,0.7373448640924356,0.3979331697548373
physics,all-distilroberta-v1,150,5,25,5,169,0.7455923286212675,0.4425641270991244
physics,all-distilroberta-v1,150,5,25,10,157,0.742158944058928,0.4431245770994662
physics,all-distilroberta-v1,150,10,10,5,179,0.7379011549497755,0.4010088100006151
physics,all-distilroberta-v1,150,10,10,10,177,0.7457662353778333,0.3988490270724689
physics,all-distilroberta-v1,150,10,15,5,166,0.7386812361051376,0.4189637142798559
physics,all-distilroberta-v1,150,10,15,10,165,0.7404499672398384,0.4037495471974082
physics,all-distilroberta-v1,150,10,25,5,165,0.7442049020810688,0.4395021563655501
physics,all-distilroberta-v1,150,10,25,10,154,0.7424577439156115,0.4224972831844495
physics,all-distilroberta-v1,150,20,10,5,167,0.7352646548799807,0.4012822002446842
physics,all-distilroberta-v1,150,20,10,10,176,0.7444808481475854,0.4085612154930251
physics,all-distilroberta-v1,150,20,15,5,164,0.741913259116466,0.4253337069666669
