subject,year,avg_sim,avg_drift,n_topics
physics,2000,1.0,0.0,45
physics,2001,0.6170019795918368,0.3829980204081633,49
physics,2002,0.3910993333333333,0.6089006666666666,48
physics,2003,0.30931824489795917,0.6906817551020409,49
physics,2004,0.2578779375,0.7421220625,48
physics,2005,0.23625947916666667,0.7637405208333333,48
physics,2006,0.236397,0.7636029999999999,48
physics,2007,0.22836575,0.77163425,48
physics,2008,0.22900186,0.77099814,50
physics,2009,0.22846993999999998,0.77153006,50
physics,2010,0.22771436,0.7722856400000001,50
physics,2011,0.23730506,0.7626949399999999,50
physics,2012,0.2467475306122449,0.7532524693877551,49
physics,2013,0.253407693877551,0.7465923061224489,49
physics,2014,0.2390595,0.7609404999999999,50
physics,2015,0.24738377551020407,0.7526162244897959,49
physics,2016,0.23629348,0.76370652,50
physics,2017,0.23774966,0.7622503399999999,50
physics,2018,0.2403363469387755,0.7596636530612245,49
physics,2019,0.23249114285714284,0.7675088571428571,49
physics,2020,0.23129330612244894,0.7687066938775511,49
physics,2021,0.23166608,0.76833392,50
physics,2022,0.22537994,0.77462006,50
physics,2023,0.22591914285714287,0.7740808571428572,49
physics,2024,0.2262977551020408,0.7737022448979592,49
physics,2025,0.22124179591836735,0.7787582040816327,49
