subject,topic_id,avg_yoy_sim,min_yoy_sim,avg_yoy_drift,max_single_jump
physics,0,0.866113,0.687458,0.133887,0.312542
physics,1,0.9159832400000001,0.657654,0.08401676,0.342346
physics,2,0.92086864,0.8035,0.07913136,0.1965
physics,3,0.8878486800000001,0.438589,0.11215132,0.561411
physics,4,0.7034557368421053,0.155183,0.2965442631578947,0.844817
physics,5,0.86755612,0.622164,0.13244388,0.377836
physics,6,0.76296932,0.098284,0.23703068000000002,0.901716
physics,7,0.88096936,0.403148,0.11903064000000001,0.596852
physics,8,0.8672422000000001,0.718462,0.1327578,0.281538
physics,9,0.8144924782608696,0.229264,0.18550752173913043,0.770736
physics,10,0.8347416400000001,0.556308,0.16525836,0.443692
physics,11,0.89965236,0.715653,0.10034763999999999,0.284347
physics,12,0.77946775,0.407311,0.22053224999999999,0.592689
physics,13,0.92082404,0.785724,0.07917595999999999,0.214276
physics,14,0.81796548,0.230184,0.18203451999999998,0.769816
physics,15,0.85489412,0.383814,0.14510588,0.616186
physics,16,0.8026120869565218,0.160118,0.19738791304347825,0.839882
physics,17,0.75245704,0.214725,0.24754296,0.785275
physics,18,0.7424304761904762,0.098284,0.2575695238095238,0.901716
physics,19,0.85565688,0.639194,0.14434312,0.360806
physics,20,0.8911455599999999,0.730322,0.10885444,0.269678
physics,21,0.83848668,0.633878,0.16151332,0.366122
physics,22,0.8667206799999999,0.597816,0.13327932,0.402184
physics,23,0.9061123999999999,0.694036,0.0938876,0.305964
physics,24,0.9081655200000001,0.724945,0.09183448,0.275055
physics,25,0.9258282800000001,0.816258,0.07417172,0.183742
physics,26,0.8737452083333334,0.614273,0.12625479166666667,0.385727
physics,27,0.90037024,0.774095,0.09962976000000001,0.225905
physics,28,0.75685996,0.409647,0.24314004,0.590353
physics,29,0.9391766,0.803624,0.0608234,0.196376
physics,30,0.88763976,0.742193,0.11236024,0.257807
physics,31,0.80890676,0.452664,0.19109324,0.547336
physics,32,0.86488928,0.75729,0.13511072000000002,0.24271
physics,33,0.6568957391304348,0.066937,0.3431042608695652,0.933063
physics,34,0.74781988,0.221122,0.25218012,0.778878
physics,35,0.7873283600000001,0.412094,0.21267164000000002,0.587906
physics,36,0.90613392,0.690845,0.09386608,0.309155
physics,37,0.89562352,0.307311,0.10437648,0.692689
physics,38,0.83014776,0.477164,0.16985224,0.522836
physics,39,0.89123856,0.696372,0.10876144,0.303628
physics,40,0.9104868,0.772289,0.08951320000000001,0.227711
physics,41,0.8042840800000001,0.542105,0.19571592,0.457895
physics,42,0.88774264,0.7937,0.11225736,0.2063
physics,43,0.8353260400000001,0.368568,0.16467396,0.631432
physics,44,0.82277892,0.44616,0.17722107999999998,0.55384
physics,45,0.8724152,0.624832,0.1275848,0.375168
physics,46,0.8728828999999999,0.458939,0.1271171,0.541061
physics,47,0.882723,0.711067,0.11727699999999999,0.288933
physics,48,0.8650983913043477,0.449277,0.13490160869565218,0.550723
physics,49,0.69442955,0.098284,0.30557045,0.901716
physics,50,0.83434968,0.279216,0.16565032,0.720784
physics,51,0.86521968,0.635594,0.13478032,0.364406
physics,52,0.79695568,0.356943,0.20304432000000003,0.643057
physics,53,0.84025776,0.546248,0.15974224,0.453752
physics,54,0.8884262272727272,0.443356,0.11157377272727274,0.556644
physics,55,0.8872954,0.739754,0.1127046,0.260246
physics,56,0.6901506399999999,0.165221,0.30984936,0.834779
physics,57,0.84685876,0.567277,0.15314123999999998,0.432723
physics,58,0.87683204,0.572339,0.12316796,0.427661
physics,59,0.82929036,0.393325,0.17070964,0.606675
physics,60,0.92435235,0.851708,0.07564765,0.148292
physics,61,0.85494852,0.662861,0.14505148,0.337139
physics,62,0.9176089999999999,0.69232,0.082391,0.30768
physics,63,0.5772780476190476,0.155183,0.42272195238095234,0.844817
physics,64,0.8239849130434783,0.631881,0.17601508695652174,0.368119
physics,65,0.88788884,0.652511,0.11211116,0.347489
physics,66,0.7436407199999999,0.350836,0.25635928,0.649164
physics,67,0.79620468,0.564378,0.20379532,0.435622
physics,68,0.7389345199999999,0.245281,0.26106548,0.754719
physics,69,0.8380602,0.651652,0.1619398,0.348348
physics,70,0.8024515200000001,0.432595,0.19754848,0.567405
physics,71,0.8562092800000001,0.647533,0.14379072,0.352467
physics,72,0.81772204,0.309026,0.18227796,0.690974
physics,73,0.77945612,0.498752,0.22054388,0.501248
physics,74,0.8261714000000001,0.534931,0.1738286,0.465069
physics,75,0.7901789583333333,0.213809,0.20982104166666668,0.786191
physics,76,0.73718096,0.190522,0.26281904,0.809478
physics,77,0.8684493600000001,0.622948,0.13155064,0.377052
physics,78,0.7967232799999999,0.45937,0.20327672,0.54063
physics,79,0.7424400000000001,0.270284,0.25756,0.729716
physics,80,0.7413632,0.469766,0.2586368,0.530234
physics,81,0.8546885625,0.600153,0.1453114375,0.399847
physics,82,0.64109625,0.0,0.35890375,1.0
physics,83,0.76380596,0.299353,0.23619404,0.700647
physics,84,0.8284856086956521,0.350343,0.17151439130434784,0.649657
physics,85,0.854701625,0.541641,0.145298375,0.458359
physics,86,0.86446044,0.537494,0.13553956,0.462506
physics,87,0.861368,0.753468,0.138632,0.246532
physics,88,0.77264596,0.552903,0.22735403999999998,0.447097
physics,89,0.66742444,0.145342,0.33257556,0.854658
physics,90,0.79270752,0.208747,0.20729247999999997,0.791253
physics,91,0.85459732,0.568416,0.14540268,0.431584
physics,92,0.86515668,0.696032,0.13484332,0.303968
