subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
physics,2000,2001,201,2,"[65, 201]","[0.3242, 0.8217]","conversion, formaldehyde, spin, polycarbonyl, magnegase, h2co, ortho_para, torr, nuclear, intramolecular"
physics,2000,2001,11,2,"[11, 185]","[0.9242, 0.2686]","beam, bessel, polarization, incoherent, cycloid, light, horn_antenna, axicon, trajectory, oscilator"
physics,2000,2001,39,2,"[37, 39]","[0.2703, 0.6772]","relativity, space, gravitational, quantum, gravity, theory, gravitation, einstein, field, newtonian"
physics,2000,2001,7,2,"[7, 189]","[0.5624, 0.2503]","geomagnetic, gps, ionosphere, strange, tec, altitude, irregularity, wave, auroral, alfven"
physics,2001,2002,32,2,"[14, 32]","[0.2956, 0.6728]","electromagnetic, gauge, field, maxwell, electrodynamic, energy, relativistic, tensor, force, lorentz"
physics,2001,2002,87,3,"[59, 87, 108]","[0.2896, 0.5904, 0.3198]","frequency, clock, 199hg, optical, transition, measurement, laser, mhz, hyperfine, atom"
physics,2001,2002,24,2,"[24, 124]","[0.5003, 0.2703]","drop, deltac, hump, deformable, selective_withdrawal, fluid, interface, disjoining, droplet, motion"
physics,2001,2002,25,2,"[16, 25]","[0.3537, 0.7057]","turbulence, flow, velocity, exponent, scale, turbulent, function, structure, exact, fluid"
physics,2001,2002,94,2,"[89, 94]","[0.3943, 0.8264]","beam, anzatze, subscale, bone, dynamical, nonlinear, vlasov_maxwell, modelling, fokk_planck, allometric"
physics,2002,2003,3,2,"[3, 22]","[0.6552, 0.2703]","detector, pixel, silicon, cdf, track, cms, chamber, test, beam, rpc"
physics,2002,2003,37,2,"[37, 177]","[0.6029, 0.2703]","student, resistor_capacitor, physics, holography, curriculum, introductory_physics, lesson, course, introductory, reasoning"
physics,2002,2003,91,2,"[59, 91]","[0.3264, 0.6975]","fiber, fibre, gigabit_ethernet, fddi, pmd, optical, noise, nonlinear, forg, subtractive"
physics,2002,2003,11,2,"[11, 94]","[0.621, 0.3138]","beam, optical, light, polarization, wave, ray, bessel, quasiparaxial, nonlinear, incoherent"
physics,2002,2003,203,2,"[6, 203]","[0.3956, 0.4434]","gene, mutation, microarray, dna, overrepresented, genome, sequence, motif, gene_microarray, dinucleotide"
physics,2002,2003,152,2,"[152, 204]","[0.977, 0.2703]","undulator, superconductive, superconcuctive, vacuo, magnetic_field, permanent_magnet, insertion, period, length, achievable"
physics,2002,2003,27,2,"[27, 106]","[0.6592, 0.2703]","ion, electron, recombination, atom, cross, energy, resonance, photoionization, line, collision"
physics,2003,2004,35,2,"[35, 164]","[0.8357, 0.3901]","forecast, ensemble, temperature, probabilistic, normality, calibration, likelihood, uncertainty, spread, medium"
physics,2003,2004,9,2,"[9, 69]","[0.8554, 0.4977]","electron, laser, ionization, molecule, laser_pulse, field, pulse, atom, molecular, multiphoton_ionization"
physics,2003,2004,203,2,"[110, 203]","[0.2489, 0.3024]","dna, sequence, chromosome, eddy, gene, mutation, multifractal, power_law, criticality, selfsimilar"
physics,2003,2004,204,2,"[152, 204]","[0.2703, 0.5005]","undulator, crystal, radiation, ray, ihep, bent_crystal, beam, parametric, pxr, positron"
physics,2003,2004,23,2,"[23, 68]","[0.4362, 0.2372]","wave, eady, ocean, vfc, water, surface, quasigeostrophic, nonlinear, oss, growth"
physics,2004,2005,33,2,"[33, 199]","[0.5614, 0.3508]","microdisk, cavity, resonator, optical, mode, notched, fluidic, photonic_crystal, laser, fiber"
physics,2004,2005,99,2,"[99, 203]","[0.4326, 0.3686]","dna, rna, melting, sequence, molecule, knot, denaturation, transition, protein, foldability"
physics,2004,2005,164,2,"[35, 164]","[0.3372, 0.5462]","forecast, bayesian, portfolio, algorithm, dynamical, ensemble, stochastic, noisy, filtering, flaw"
physics,2004,2005,134,2,"[101, 134]","[0.209, 0.6979]","atom, interferometer, recoil, bloch, subrecoil, velocity, grating, atomic, interferometry, wave"
physics,2004,2005,41,2,"[41, 194]","[0.4592, 0.2703]","cell, motor, chromosome, filament, actin, protein, germinal_center, microtubule, fgf, myosin"
physics,2004,2005,47,2,"[47, 110]","[0.2925, 0.2703]","motor, pilus, retraction, flagellar, otoconia, bacterial, trypanosome, force, swimming, dynamic"
physics,2004,2005,117,2,"[117, 129]","[0.5094, 0.2956]","plasma, ion, laser, lens, overdense, cylinder, ionization, bunch, acceleration, hot"
physics,2004,2005,30,2,"[30, 83]","[0.7362, 0.4264]","plasma, wave, ion, dusty_plasma, dust, alfv, nonlinear, electron, grain, particle"
physics,2004,2005,159,2,"[159, 175]","[0.6536, 0.309]","muon, ffag, neutrino_factory, magnet, cyclotron, beam, scintillation, bend, neutrino, detector"
physics,2005,2006,99,2,"[99, 203]","[0.7448, 0.3372]","dna, rna, protein, molecule, sequence, denaturation, structure, adic, transition, force"
physics,2005,2006,51,2,"[51, 59]","[0.8628, 0.4568]","soliton, nonlinear, lattice, optical, medium, gap, modulational_instability, waveguide, kerr, wave"
physics,2005,2006,111,2,"[111, 135]","[0.5665, 0.209]","quantum_dot, exciton, dot, gaas_quantum_dot, microdisk, algaas, qds, relaxation, inas, cavity"
physics,2006,2007,101,2,"[101, 179]","[0.3832, 0.3661]","gravitational, detector, resonator, interferometer, shack_hartmann_sensor, noise, cavity, witte, grating, wave"
