subject,year_from,year_to,avg_sim,avg_drift,n_topics
physics,2000,2001,0.13700787401574802,0.8629921259842519,127
physics,2001,2002,0.1426470588235294,0.8573529411764705,136
physics,2002,2003,0.14397163120567377,0.8560283687943263,141
physics,2003,2004,0.145578231292517,0.8544217687074831,147
physics,2004,2005,0.150625,0.849375,160
physics,2005,2006,0.18720930232558142,0.8127906976744187,172
physics,2006,2007,0.19829545454545452,0.8017045454545454,176
physics,2007,2008,0.21160220994475137,0.7883977900552486,181
physics,2008,2009,0.23005464480874319,0.7699453551912568,183
physics,2009,2010,0.24336734693877551,0.7566326530612245,196
physics,2010,2011,0.2925,0.7075,200
physics,2011,2012,0.3341708542713568,0.6658291457286433,199
physics,2012,2013,0.34950000000000003,0.6505,200
physics,2013,2014,0.354,0.6459999999999999,200
physics,2014,2015,0.3717821782178218,0.6282178217821782,202
physics,2015,2016,0.3866995073891626,0.6133004926108374,203
physics,2016,2017,0.42019704433497534,0.5798029556650246,203
physics,2017,2018,0.43842364532019706,0.5615763546798029,203
physics,2018,2019,0.4665024630541872,0.5334975369458128,203
physics,2019,2020,0.47352941176470587,0.5264705882352941,204
physics,2020,2021,0.49950980392156863,0.5004901960784314,204
physics,2021,2022,0.4941176470588235,0.5058823529411764,204
physics,2022,2023,0.5044117647058823,0.4955882352941176,204
physics,2023,2024,0.5044117647058823,0.4955882352941176,204
physics,2024,2025,0.5470588235294117,0.45294117647058824,204
