subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
physics,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.569399,0.430601,"method, quantum, density, electron, energy, functional, theory, fock, kohn, matrix, sham, hartree, states, variational, basis, carlo, dft, functionals, methods, monte","density, electron, energy, functional, method, quantum, functionals, kohn, sham, theory, orbitals, basis, correlation, dft, electronic, energies, spin, states"
physics,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.843536,0.156464,"density, electron, energy, functional, method, quantum, functionals, kohn, sham, theory, orbitals, basis, correlation, dft, electronic, energies, spin, states","density, electron, electronic, energy, functional, method, quantum, theory, correlation, dft, functionals, basis, hartree, kohn, orbitals"
physics,0,2010–2015,2015–2020,2010–2015 → 2015–2020,0.931423,0.068577,"density, electron, electronic, energy, functional, method, quantum, theory, correlation, dft, functionals, basis, hartree, kohn, orbitals","density, electron, electronic, energy, functional, method, quantum, theory, dft, orbitals, calculations, molecular, correlation, functionals"
physics,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.84392,0.15608,"density, electron, electronic, energy, functional, method, quantum, theory, dft, orbitals, calculations, molecular, correlation, functionals","density, dft, electron, electronic, energy, functional, method, quantum, theory, orbitals, molecular, systems"
physics,1,2000–2005,2005–2010,2000–2005 → 2005–2010,0.576884,0.423116,"network, networks, graph, graphs, nodes, communities, node, river, scaling, basin, community, mst, random, social, trees, vertices, 3d11, algorithm, branching, deviations, genes, mississippi, similarity, uniformly","communities, community, graph, graphs, network, networks, node, nodes, social, degree, vertices"
physics,1,2005–2010,2010–2015,2005–2010 → 2010–2015,0.913458,0.086542,"communities, community, graph, graphs, network, networks, node, nodes, social, degree, vertices","communities, community, degree, graph, graphs, network, networks, node, nodes, social"
physics,1,2010–2015,2015–2020,2010–2015 → 2015–2020,1.0,0.0,"communities, community, degree, graph, graphs, network, networks, node, nodes, social","communities, community, degree, graph, graphs, network, networks, node, nodes, social"
physics,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.913458,0.086542,"communities, community, degree, graph, graphs, network, networks, node, nodes, social","communities, community, graph, graphs, network, networks, node, nodes, social, degree, centrality"
physics,2,2000–2005,2005–2010,2000–2005 → 2005–2010,0.602849,0.397151,"nonlinear, optical, soliton, solitons, kerr, laser, pulse, generation, photonic, fiber, mode, saturable, waveguide, flop, frequency, lasers, nonlinearity, pulses, resonant","kerr, laser, nonlinear, optical, photonic, soliton, solitons, pulse, cavity, fiber, mode, pulses, waveguide, light"
physics,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.889297,0.110703,"kerr, laser, nonlinear, optical, photonic, soliton, solitons, pulse, cavity, fiber, mode, pulses, waveguide, light","kerr, laser, nonlinear, optical, pulse, soliton, solitons, fiber, photonic, cavity, frequency, nonlinearity, comb, mode"
physics,2,2010–2015,2015–2020,2010–2015 → 2015–2020,0.617798,0.382202,"kerr, laser, nonlinear, optical, pulse, soliton, solitons, fiber, photonic, cavity, frequency, nonlinearity, comb, mode","comb, frequency, kerr, laser, nonlinear, optical, pulse, soliton, solitons, fiber, photonic"
