subject,topic_id,first_year,last_year,n_years,cosine_sim,ttd,words_first,words_last
cs,0,2000,2025,26,0.721741,0.278259,"graphs, graph, vertex, rectilinear, polygon, algorithm, vertices, time, log, problem","graphs, graph, log, vertex, gg, mathcal, vertices, problem, algorithm, kk"
cs,1,2000,2025,26,0.74732,0.25268,"logic, programs, semantics, logics, termination, calculus, programming, program, rules, reasoning","logic, semantics, logics, programs, calculus, proof, type, program, reasoning, theory"
cs,2,2000,2025,26,0.412094,0.587906,"speech, word, prosodic, audio, sound, repairs, cepstrum, hypotheses, speaker, pronunciation","speech, audio, speaker, asr, music, model, acoustic, models, voice, training"
cs,3,2000,2025,26,0.110462,0.889538,"cache, tsia, parallel, resource, unix, performance, execution, manager, data, ap1000","memory, performance, gpu, data, hardware, workloads, hpc, computing, cpu, gpus"
cs,4,2000,2025,26,0.043525,0.956475,"aixi, tl, formally, theory, universal, parameterless, intelligence, problem, reinforcement, uncomputable","learning, rl, reinforcement, policy, reward, agent, offline, policies, model, based"
cs,5,2000,2025,19,0.170284,0.829716,"language, retrieval, caption, linguistic, natural, annotation, model, anvil, api, corpora","visual, language, image, multimodal, models, vision, text, reasoning, mllms, vlms"
cs,6,2000,2025,26,0.520628,0.479372,"quantum, classical, gates, quant, qubits, ph, complexity, classically, proofs, polynomial","quantum, classical, qubit, circuits, qubits, circuit, entanglement, learning, computing, algorithm"
cs,7,2000,2025,21,0.0,1.0,"ilp, inductive, tilde, logic, lds, learning, programming, interpretations, propositional, loads","reasoning, llms, models, language, llm, model, tasks, large, cot, training"
cs,8,2004,2025,22,0.419601,0.580399,"qstbc, mimo, channel, antennas, channels, fading, antenna, transmit, decoder, diversity","mimo, ris, channel, antenna, beamforming, antennas, wireless, interference, multiple, communication"
cs,9,2007,2025,19,0.395568,0.604432,"graph, graphs, graphitour, structure, lossless, compression, induction, cardinality, evergrowing, molecule","graph, gnns, graphs, node, learning, gnn, neural, networks, nodes, data"
cs,10,2011,2025,15,0.205343,0.794657,"foreground, scene, object, classifiers, segmentation, categorization, background, sub, tasks, cluttered","segmentation, object, detection, semantic, image, images, training, learning, objects, supervised"
cs,11,2000,2025,26,0.207551,0.792449,"apweb, talkmine, recommendation, personalizing, information, keywords, content, web, user, users","recommendation, recommender, user, item, items, users, recommendations, systems, preferences, model"
cs,12,2004,2025,18,0.270284,0.729716,"robot, layered, evolution, subsumption, robotics, hand, actions, gestures, neurocontroller, modularised","robot, manipulation, learning, robotic, tasks, action, task, language, human, robots"
cs,13,2000,2025,26,0.370905,0.629095,"retrieval, documents, answer, extrans, qaviar, logical, answering, information, question, irex","retrieval, rag, llms, question, answering, models, qa, language, llm, knowledge"
cs,14,2000,2025,26,0.434311,0.565689,"robot, robots, multiagent, metamorphic, safe, cooperative, heirarchical, proteo, reconfigurable, control","robot, planning, robots, control, motion, trajectory, collision, path, navigation, avoidance"
cs,15,2015,2025,11,0.35853,0.64147,"adversarial, examples, maxout, explaining, explanation, misclassify, outputting, training, neural, intentionally","adversarial, attacks, attack, robustness, training, models, perturbations, defense, model, examples"
