subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
cs,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.326271,0.673729,"aixi, reinforcement_learning, policy, agent, theory, universal, environment, episode, kalman_filter, optimal, plannable, prl, solomonoff, uncomputable, action, algorithm, artificial_intelligence, crawler, estimation, grep, induction, learning, lrta, parameterless, plannability, planning, regression, reinforcement, rkf, selection, sfsw, tx2, web, weblog, world","reinforcement_learning, algorithm, policy, approximation, convergent, crawler, function, instantiation, optimal, pompd, reinforcement, sensor, sfsw, web, weblog, action, alternate, ascendant, control, environement, exchangeable, idiotypic, iteration, kalman_filtering, learning, lqg, markov_decision, optimism, physiology, routing, sarsa, selection, universe, utility, world"
cs,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.463677,0.536323,"reinforcement_learning, algorithm, policy, approximation, convergent, crawler, function, instantiation, optimal, pompd, reinforcement, sensor, sfsw, web, weblog, action, alternate, ascendant, control, environement, exchangeable, idiotypic, iteration, kalman_filtering, learning, lqg, markov_decision, optimism, physiology, routing, sarsa, selection, universe, utility, world","policy, algorithm, optimal, reinforcement_learning, planning, action, agent, function, iteration, idiotypic, learning, markov_decision, mdps, bayesian, belief, control, decision, exchangeable, heuristic, instantiation, pomdps, pompd, psrs, regret, reward, sensor, space, utility"
cs,0,2010–2015,2015–2020,2010–2015 → 2015–2020,0.540724,0.459276,"policy, algorithm, optimal, reinforcement_learning, planning, action, agent, function, iteration, idiotypic, learning, markov_decision, mdps, bayesian, belief, control, decision, exchangeable, heuristic, instantiation, pomdps, pompd, psrs, regret, reward, sensor, space, utility","agent, algorithm, learning, policy, reinforcement_learning, reward, action, environment, function, planning, reinforcement, deep, exploration, markov_decision, bayesian, control"
cs,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.674972,0.325028,"agent, algorithm, learning, policy, reinforcement_learning, reward, action, environment, function, planning, reinforcement, deep, exploration, markov_decision, bayesian, control","action, agent, algorithm, environment, learning, policy, reinforcement_learning, reward, control, offline, reinforcement"
cs,1,2000–2005,2005–2010,2000–2005 → 2005–2010,0.631701,0.368299,"algorithm, graph, edge, tree, vertex, cycle, weight, bit, hamilton, hbox_hbox, maximum, apsp, bene, circuit, connectivity, decomposable, digraph, domatic, equiv_iso, finite, gale, hausdorff, homomorphism, king, log, matching, minimum, poset, short_path, transitive_closure","algorithm, digraph, edge, graph, tree, vertex, polynomial, homomorphism, subgraph, isomorphism, maximum, approximation, cycle, decomposition, forest, girth, hamiltonian_cycle, king, matroid, planar, poset"
cs,1,2005–2010,2010–2015,2005–2010 → 2010–2015,0.726861,0.273139,"algorithm, digraph, edge, graph, tree, vertex, polynomial, homomorphism, subgraph, isomorphism, maximum, approximation, cycle, decomposition, forest, girth, hamiltonian_cycle, king, matroid, planar, poset","algorithm, edge, graph, polynomial, tree, vertex, set, hypergraph, subgraph, spanner, approximation, cycle, digraph, dominating, homomorphism, planar, treewidth, vertex_cover, width"
cs,1,2010–2015,2015–2020,2010–2015 → 2015–2020,0.887514,0.112486,"algorithm, edge, graph, polynomial, tree, vertex, set, hypergraph, subgraph, spanner, approximation, cycle, digraph, dominating, homomorphism, planar, treewidth, vertex_cover, width","algorithm, edge, graph, polynomial, subgraph, tree, vertex, approximation, set, dominating, class, digraph, hypergraph, maximum, planar, width"
cs,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.895547,0.104453,"algorithm, edge, graph, polynomial, subgraph, tree, vertex, approximation, set, dominating, class, digraph, hypergraph, maximum, planar, width","algorithm, edge, graph, polynomial, subgraph, tree, vertex, approximation, set, clique, matching, bipartite, cut, digraph, maximum, path, spanner"
cs,2,2000–2005,2005–2010,2000–2005 → 2005–2010,0.422127,0.577873,"parallel, cache_miss, cache, grid, mpd, mpi, noncontiguous, processor, algorithm, ap1000, associativity, mpich2, multicomputer, object, code, covering, defragmentation, device, disk, file, infiniband, instrumentation, pelcr, program, pvfs, raid, recompilation, reconfigurable, scientific, simd, starry, stencil, systolic, unix","parallel, processor, memory, algorithm, cache, compilation, disk, file, program, reconfigurable, virtualization, arithm, array, bcd_adder, chip, circuit, code, core, defragmentation, des, device, flottante, gpu, hardware, icv, layout, les, mathematica, mesh, multicore, nipal, parallelization, qoc, qpace, raid, rapidmind, recompilation, scalpel"
cs,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.343218,0.656782,"parallel, processor, memory, algorithm, cache, compilation, disk, file, program, reconfigurable, virtualization, arithm, array, bcd_adder, chip, circuit, code, core, defragmentation, des, device, flottante, gpu, hardware, icv, layout, les, mathematica, mesh, multicore, nipal, parallelization, qoc, qpace, raid, rapidmind, recompilation, scalpel","core, gpu, memory, parallel, processor, multicore, datum, hardware, architecture, cache, code, cpu, execution, parallelization, algorithm, cell, design, program, programming, rapidmind, virtualization"
