subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
cs,2007,2008,1,2,"[1, 93]","[0.8143, 0.3503]","graph, digraph, vertex, algorithm, edge, isomorphism, hamiltonian_cycle, polynomial, tree, matroid"
cs,2007,2008,36,2,"[36, 110]","[0.6514, 0.3198]","network, graph, node, degree, distribution, intervertex, internet, topology, synchronizability, paz_paz"
cs,2007,2008,55,2,"[50, 55]","[0.2703, 0.5842]","program, logic, programming, smodel, reasoning, semantic, dlp, language, hoare_logic, xml"
cs,2008,2009,1,2,"[1, 110]","[0.831, 0.3669]","graph, vertex, digraph, algorithm, edge, polynomial, subgraph, girth, tree, isomorphism"
cs,2008,2009,76,2,"[9, 76]","[0.3503, 0.3939]","logic, confluence, modal, noetherian, proof, bisimulation, rule, completeness, calculus, constructor"
cs,2008,2009,10,2,"[10, 131]","[0.6852, 0.2503]","polynomial, algorithm, function, algebraic, matrix, finite, noncommutative_determinant, complexity, rational, fractal"
cs,2008,2009,122,2,"[20, 122]","[0.3503, 0.3138]","manipulator, stiffness, oxygen, robot, eel, capillary, parallel, spring, unloaded, orthoglide"
cs,2008,2009,22,2,"[22, 287]","[0.4761, 0.2703]","code, cdc, codeword, moment_kloosterman, constant, weight, sum, rank, linear, construction"
cs,2008,2009,99,2,"[31, 99]","[0.3686, 0.8072]","network, wireless, routing, sensor, node, protocol, algorithm, packet, mobile, olsr"
cs,2008,2009,79,2,"[38, 79]","[0.2703, 0.7458]","agent, policy, multi, asymptotic, reinforcement_learning, sharing, report, behavior, effect, mpc"
cs,2008,2009,42,2,"[42, 53]","[0.5596, 0.2703]","evolutionary, algorithm, evolvability, search, evolutionary_squeaky, genetic, iga, objective, optimization, fitness"
cs,2008,2009,106,2,"[73, 106]","[0.2703, 0.4687]","series, finance, fpt, estimator, irreversible, mdl, countable, jump, stochastic, fractal"
cs,2008,2009,113,2,"[95, 113]","[0.3274, 0.6665]","quantum, eigen, qrl, nanotechnology, qis, quantum_mechanic, basic, nano, action, calisthenic"
cs,2008,2009,103,2,"[103, 221]","[0.3981, 0.3939]","compression, symbolic, subsequence, string, algorithm, vocabulary, memory, sequence, lz77, mapping"
cs,2008,2009,108,2,"[108, 140]","[0.6151, 0.2041]","security, protocol, authentication, network, cryptography, secure, scheme, communication, sensor, wbsn"
cs,2009,2010,112,2,"[31, 112]","[0.5192, 0.796]","channel, cognitive_radio, network, transmission, wireless, power, secondary, mac, throughput, spectrum"
cs,2009,2010,38,2,"[38, 79]","[0.3355, 0.2703]","agent, vos, jason, robocuprescue, adaption, emergency, contest, service, query, organisation"
cs,2009,2010,178,3,"[47, 136, 178]","[0.4676, 0.3998, 0.5859]","query, database, schema, datum, relational, p2p, relational_database, xml, probabilistic, transducer"
cs,2009,2010,194,2,"[95, 194]","[0.3686, 0.7688]","quantum, entanglement, channel, classical, ergodic, communication, protocol, bhattacharya, information, cram_rao"
cs,2009,2010,120,2,"[120, 202]","[0.5824, 0.2891]","kernel, subspace, gmmk, signal, manifold, nonlinear, datum, rkhss, space, mapping"
cs,2009,2010,264,2,"[191, 264]","[0.3956, 0.5807]","image, retrieval, cbir, phong, cophir, content, collection, sapir, egee, european"
cs,2009,2010,262,2,"[261, 262]","[0.2703, 0.4103]","tree, phylogenetic, watershed, mle, phylogenetic_tree, phylogeny, containment, crossover, estimator, network"
cs,2010,2011,1,2,"[1, 183]","[0.771, 0.2053]","graph, vertex, algorithm, tree, edge, polynomial, cycle, hypergraph, set, dominating"
cs,2010,2011,41,2,"[41, 50]","[0.7783, 0.3372]","software, design, specification, language, service, uml, business, interface, software_engineering, tool"
cs,2010,2011,69,2,"[69, 254]","[0.6147, 0.2703]","video, dance, reranking, semantic, micro, interactive, macro, search, propagates, jmf"
cs,2010,2011,108,2,"[85, 108]","[0.4569, 0.7556]","security, protocol, network, attack, node, authentication, scheme, wireless, secure, sensor"
cs,2010,2011,126,2,"[95, 126]","[0.3661, 0.7399]","quantum, oracle, sharir_pnueli_hart, query, algorithm, classical, boolean, function, minor_closed, pcp"
cs,2010,2011,221,2,"[111, 221]","[0.2198, 0.3292]","image, compression, dilation, philosophy, empirical, digital, datum, database, science, computer_vision"
cs,2010,2011,112,2,"[112, 119]","[0.8176, 0.2353]","channel, cognitive_radio, transmission, wireless, spectrum, network, interference, power, secondary, primary"
cs,2010,2011,194,2,"[194, 280]","[0.6408, 0.3274]","quantum, channel, classical, capacity, entanglement, communication, error, convex, receiver, superactivation"
cs,2011,2012,234,2,"[19, 234]","[0.2984, 0.4574]","ocr, character, bangla, recognition, image, word, handwritten_farsi, malayalam, handwritten, curvelet"
cs,2011,2012,142,2,"[97, 142]","[0.3686, 0.6863]","shape, caelinux, descriptor, image, orientation, wesd, multiscale, fractal, moment, principal"
cs,2011,2012,197,2,"[121, 197]","[0.2198, 0.6889]","network, epidemic, contact, social, node, dynamic, influence, disease, contagion, immunization"
cs,2011,2012,125,2,"[125, 195]","[0.2417, 0.2703]","image, edge, detection, baljit, amar, vehicle, detector, traffic, gray, background_subtraction"
cs,2011,2012,198,2,"[155, 198]","[0.2671, 0.735]","word, language, text, semantic, letter, zipf_law, frequency, noun, length, english"
cs,2011,2012,255,2,"[164, 255]","[0.4128, 0.4878]","job, scheduling, processor, cache, multiprocessor, scheduler, energy, algorithm, deadline, real"
cs,2012,2013,122,3,"[20, 118, 122]","[0.3372, 0.3503, 0.2607]","robot, arm, motion, dof, manipulator, control, frf, pue, stiffness, calibration"
cs,2012,2013,42,2,"[42, 185]","[0.6937, 0.2096]","evolutionary, algorithm, genetic, optimization, search, population, fitness, objective, ant_colony, swarm"
cs,2012,2013,132,2,"[59, 132]","[0.2998, 0.7025]","bayesian, network, probability, inference, algorithm, belief, graphical, probabilistic, graph, variable"
cs,2012,2013,231,2,"[78, 231]","[0.2138, 0.3826]","chess, object, template, board, fuzzy, image, color, placing, detector, earth_mover"
cs,2012,2013,83,2,"[83, 217]","[0.8314, 0.2956]","cloud, cloud_computing, service, resource, job, storage, server, mapreduce, provider, cpu"
cs,2012,2013,112,2,"[112, 252]","[0.757, 0.2867]","channel, cognitive_radio, network, spectrum, interference, wireless, transmission, throughput, power, secondary"
cs,2012,2013,221,2,"[221, 266]","[0.8087, 0.3633]","image, compression, domain, fractal, pool, encoding, autoencoding, block, distortion, boltzmann_machine"
cs,2013,2014,3,2,"[3, 81]","[0.3731, 0.2703]","robot, kinematic, submodularity, manipulation, sequence, object, environment, articulated, mrf, terrain"
cs,2013,2014,16,2,"[16, 195]","[0.5509, 0.2274]","segmentation, lung, image, intensity_inhomogeneity, pathological, algorithm, inhomogeneous, clinical, real, contouring"
cs,2013,2014,41,2,"[41, 277]","[0.687, 0.2278]","software, uml, language, development, business, formal, semantic, service, modeling, design"
cs,2013,2014,43,2,"[43, 230]","[0.7521, 0.3686]","student, course, education, teaching, learning, homework, educational, university, technology, online"
cs,2013,2014,47,2,"[47, 121]","[0.8019, 0.2956]","datum, graph, query, algorithm, big, search, parallel, stream, traversal, memory"
cs,2013,2014,48,2,"[48, 68]","[0.6371, 0.2319]","depth, image, scene, estimation, motion, map, pixel, mrf, correspondence, crf"
cs,2013,2014,65,2,"[53, 65]","[0.2053, 0.7342]","clinical, intelligence, datum, ytex, patient, metagenome, metamap, extraction, micropublication, science"
cs,2013,2014,63,2,"[63, 163]","[0.5514, 0.2703]","classifier, ensemble, multiclass, class, classification, ecoc, binary, tree, algorithm, selection"
cs,2013,2014,83,2,"[83, 177]","[0.853, 0.209]","cloud, cloud_computing, service, resource, infrastructure, server, workload, job, provider, mapreduce"
cs,2013,2014,135,2,"[135, 263]","[0.7435, 0.2526]","sentiment, opinion, text, sentiwordnet, review, mining, classification, document, word, polarity"
cs,2013,2014,178,2,"[136, 178]","[0.3769, 0.4669]","query, database, containment, datum, language, datalog, schema, relation, semantic, unordered"
cs,2013,2014,265,2,"[190, 265]","[0.2671, 0.7243]","mining, datum, frequent, motif, pattern, association, frequent_itemset, rule, social, algorithm"
cs,2013,2014,264,2,"[221, 264]","[0.3503, 0.6927]","image, retrieval, hash, klsh, compression, fcd, hashing, similarity, search, manifold"
cs,2014,2015,20,2,"[20, 122]","[0.7066, 0.4486]","robot, planning, control, path, motion, algorithm, vehicle, controller, optimal, space"
cs,2014,2015,25,2,"[25, 92]","[0.8864, 0.4901]","game, player, payoff, strategy, nash_equilibrium, equilibrium, coalition, agent, parity, forwarder"
cs,2014,2015,79,2,"[38, 79]","[0.3503, 0.6937]","agent, negotiation, planning, multiagent, multi, imitative, reconfiguration, cooperation, upper_bound, neuron"
cs,2014,2015,178,2,"[136, 178]","[0.3198, 0.6038]","query, conjunctive_query, sql, datum, database, language, answer, schema, keyword, semantic"
cs,2014,2015,168,2,"[144, 168]","[0.2703, 0.5727]","speech, mathrm_drr, signal, separation, mfcc, vad, deep, acoustic, spectrogram, cocktail_party"
cs,2015,2016,4,2,"[4, 296]","[0.7563, 0.209]","graph, network, nefi, arma, filter, datum, mag, node, structure, signal"
cs,2015,2016,23,2,"[23, 159]","[0.9118, 0.3914]","channel, antenna, mimo, massive_mimo, interference, downlink, beamforming, input_output_mimo, receiver, wireless"
cs,2015,2016,51,2,"[34, 51]","[0.2274, 0.7781]","segmentation, image, object, semantic_segmentation, superpixel, crf, kernelboost, lse, network, pixel"
cs,2015,2016,126,2,"[95, 126]","[0.4451, 0.7603]","quantum, complexity, qubit, query, algorithm, function, classical, circuit, qma, computation"
cs,2015,2016,99,2,"[99, 119]","[0.8919, 0.4181]","network, wireless, node, energy, sensor, protocol, routing, wsns, lifetime, transmission"
cs,2015,2016,161,2,"[161, 284]","[0.7121, 0.2956]","activity, gesture, recognition, accelerometer, sleep, posture, abnormal, human, health, monitoring"
cs,2015,2016,202,2,"[167, 202]","[0.3158, 0.2623]","image, visual, view, learning, datum, tag, algorithm, clustering, classification, similarity"
cs,2016,2017,111,2,"[111, 202]","[0.8293, 0.3372]","image, caption, captioning, sentence, description, visual, object, word, dataset, semantic"
cs,2016,2017,126,2,"[113, 126]","[0.3939, 0.6753]","quantum, circuit, complexity, thr, algorithm, 0tc, query, function, classical, grover"
cs,2017,2018,2,2,"[2, 70]","[0.7315, 0.5336]","gpu, memory, parallel, processor, core, code, cache, hardware, fpga, architecture"
cs,2017,2018,188,2,"[68, 188]","[0.4568, 0.5448]","lidar, sensor, registration, laser, environment, descriptor, datum, localization, icp, point_cloud"
cs,2017,2018,208,2,"[208, 259]","[0.9118, 0.2703]","social, opinion, network, agent, belief, dynamic, individual, leadership, formation, information"
cs,2018,2019,7,2,"[7, 185]","[0.8707, 0.5209]","neural_network, deep, network, layer, training, gradient, relu, function, weight, activation"
cs,2018,2019,184,2,"[154, 184]","[0.2956, 0.7128]","reconstruction, image, imaging, datum, tomography, ray, deep_learning, pet, projection, pct"
cs,2018,2019,172,2,"[172, 251]","[0.7665, 0.6452]","anomaly_detection, anomaly, normal, detection, anomalous, datum, image, abnormal, outli, outlier"
cs,2019,2020,237,2,"[237, 293]","[0.8142, 0.3181]","channel, wireless, csi, deep_learning, signal, massive_mimo, pilot, communication, beam, neural_network"
cs,2021,2022,32,2,"[32, 198]","[1.0, 0.5247]","word, embedding, sentence, language, bert, representation, semantic, text, nlp, similarity"
cs,2022,2023,32,2,"[32, 253]","[0.9197, 0.2703]","word, sentence, embedding, language, semantic, bert, text, representation, similarity, nlp"
