subject,num_topics,alpha,eta,passes,iterations,chunksize,random_state,workers,coherence_cv,irbo_mean,topic_quality,time_seconds
physics,50,asymmetric,auto,15,50,2000,42,5,0.6047129931502303,0.9895140803463847,0.7506735160106792,134.6
physics,50,asymmetric,auto,15,150,2000,42,5,0.5983675009080062,0.9897179468634285,0.7458226574640928,139.4
physics,50,asymmetric,0.01,15,50,2000,42,5,0.6103875390867294,0.989860379940315,0.7551310445928633,137.4
physics,50,asymmetric,0.01,15,150,2000,42,5,0.5969357878421581,0.9901579486126647,0.7448340341428861,139.0
physics,50,0.01,auto,15,50,2000,42,5,0.6292117802965917,0.9878654491219127,0.7687654821025558,103.7
physics,50,0.01,auto,15,150,2000,42,5,0.604944160422784,0.9892587268487228,0.7507780781637641,105.9
physics,50,0.01,0.01,15,50,2000,42,5,0.6244483379942135,0.9873542409073994,0.7650461946354774,124.5
physics,50,0.01,0.01,15,150,2000,42,5,0.6040287939790921,0.9887308123710671,0.7499209269062388,124.1
physics,75,asymmetric,auto,15,50,2000,42,5,0.6013655035949073,0.9946205605641674,0.7495435050739927,240.2
physics,75,asymmetric,auto,15,150,2000,42,5,0.5907819158220714,0.9954516340251917,0.7414984048398691,247.1
physics,75,asymmetric,0.01,15,50,2000,42,5,0.5891386187516577,0.9945082667122497,0.7399417533869336,169.1
physics,75,asymmetric,0.01,15,150,2000,42,5,0.5874155974068308,0.9954004436740335,0.7388271676606472,169.2
physics,75,0.01,auto,15,50,2000,42,5,0.5855555243252815,0.9954936511161698,0.7373797297342874,221.2
physics,75,0.01,auto,15,150,2000,42,5,0.5863500886536576,0.9943511515537656,0.7376952342871691,235.0
physics,75,0.01,0.01,15,50,2000,42,5,0.5895762952074006,0.9953552316607568,0.7405213915549415,151.6
physics,75,0.01,0.01,15,150,2000,42,5,0.5914700561923478,0.9948294016790864,0.7418672422702401,149.2
physics,150,asymmetric,auto,15,50,2000,42,5,0.5095843802113194,0.9983975515344723,0.674766436908421,190.5
physics,150,asymmetric,auto,15,150,2000,42,5,0.517651083756828,0.9979080886577214,0.6816866183593363,188.8
physics,150,asymmetric,0.01,15,50,2000,42,5,0.507862489695461,0.9983162952248443,0.6732366758482327,221.4
physics,150,asymmetric,0.01,15,150,2000,42,5,0.5117166679594747,0.9983048790240735,0.6766118633503857,214.4
physics,150,0.01,auto,15,50,2000,42,5,0.5222124227058172,0.9979672712065067,0.6856438203520965,185.9
physics,150,0.01,auto,15,150,2000,42,5,0.5130525827009373,0.9983052006105662,0.677778706210511,182.7
physics,150,0.01,0.01,15,50,2000,42,5,0.5191848266881789,0.9979912463716496,0.6830346477041391,215.2
physics,150,0.01,0.01,15,150,2000,42,5,0.5108167120030206,0.9984126731072054,0.6758493890065905,208.5
