subject,year,avg_sim,avg_drift,n_topics
cs,2000,1.0,0.0,26
cs,2001,0.5277777777777778,0.4722222222222222,36
cs,2002,0.3361111111111111,0.6638888888888889,36
cs,2003,0.22187500000000002,0.7781250000000001,32
cs,2004,0.21944444444444444,0.7805555555555556,36
cs,2005,0.20243902439024392,0.7975609756097561,41
cs,2006,0.19487179487179487,0.805128205128205,39
cs,2007,0.18333333333333335,0.8166666666666667,42
cs,2008,0.21304347826086958,0.7869565217391304,46
cs,2009,0.10000000000000002,0.8999999999999999,41
cs,2010,0.17115384615384616,0.8288461538461539,52
cs,2011,0.2064516129032258,0.7935483870967742,62
cs,2012,0.23289473684210527,0.7671052631578947,76
cs,2013,0.1851063829787234,0.8148936170212765,94
cs,2014,0.12371134020618557,0.8762886597938144,97
cs,2015,0.1391304347826087,0.8608695652173913,115
cs,2016,0.10859375,0.89140625,128
cs,2017,0.10592592592592594,0.8940740740740741,135
cs,2018,0.10507246376811594,0.894927536231884,138
cs,2019,0.10510948905109489,0.894890510948905,137
cs,2020,0.113768115942029,0.886231884057971,138
cs,2021,0.10869565217391304,0.8913043478260869,138
cs,2022,0.10942028985507248,0.8905797101449275,138
cs,2023,0.1144927536231884,0.8855072463768117,138
cs,2024,0.10869565217391304,0.8913043478260869,138
cs,2025,0.10652173913043479,0.8934782608695652,138
