subject,topic_id,window_from,window_to,rbo_sim,endpoint_drift,n_words_first,n_words_last,n_kept,n_removed,n_added,pct_kept,words_first,words_last,words_kept,words_added,words_removed
cs,22,2000–2005,2020–2025,0.0,1.0,10,20,0,10,20,0.0,"aircraft, context, contextual, engine, faults, gas, normalization, problem, technicians, turbine","classification, data, diagnosis, graph, learning, model, network, based, disease, features, supervised, brain, cancer, clinical, convolutional, drug, models, networks, neural, vcfs",,"based, brain, cancer, classification, clinical, convolutional, data, diagnosis, disease, drug, features, graph, learning, model, models, network, networks, neural, supervised, vcfs","aircraft, context, contextual, engine, faults, gas, normalization, problem, technicians, turbine"
cs,24,2000–2005,2020–2025,0.041211,0.958789,26,16,3,23,13,11.54,"closure, dynamic, time, transitive, amortized, chi, cost, dd, digraph, digraphs, dom, dualization, dualizing, fully, ge, hh, homomorphism, hypergraph, mantaining, monotone, reevaluating, semicomplete, times, transversals, updates, uv","gg, graph, graphs, mathcal, polynomial, problem, hh, treewidth, log, vertex, width, time, hypergraph, tree, varepsilon, vertices","hh, hypergraph, time","gg, graph, graphs, log, mathcal, polynomial, problem, tree, treewidth, varepsilon, vertex, vertices, width","amortized, chi, closure, cost, dd, digraph, digraphs, dom, dualization, dualizing, dynamic, fully, ge, homomorphism, mantaining, monotone, reevaluating, semicomplete, times, transitive"
cs,25,2000–2005,2020–2025,0.0,1.0,10,19,0,10,19,0.0,"acceptable, catadioptric, cylindrical, mirror, panoramic, projections, realize, solutions, unwarping, viewer","3d, camera, reconstruction, view, images, nerf, radiance, rendering, image, geometry, holoscopic, neural, polarimetric, solvers, stereo, 3dgs, shape, splatting, stitching",,"3d, 3dgs, camera, geometry, holoscopic, image, images, nerf, neural, polarimetric, radiance, reconstruction, rendering, shape, solvers, splatting, stereo, stitching, view","acceptable, catadioptric, cylindrical, mirror, panoramic, projections, realize, solutions, unwarping, viewer"
cs,26,2000–2005,2020–2025,0.170284,0.829716,10,20,1,9,19,10.0,"blame, causality, degree, election, epistemic, halpern, pearl, responsibility, victory, votes","causal, causality, data, learning, observational, counterfactual, models, variables, confounders, llms, model, confounding, discovery, explanation, explanations, graph, interventions, latent, reasoning, treatment",causality,"causal, confounders, confounding, counterfactual, data, discovery, explanation, explanations, graph, interventions, latent, learning, llms, model, models, observational, reasoning, treatment, variables","blame, degree, election, epistemic, halpern, pearl, responsibility, victory, votes"
cs,27,2000–2005,2020–2025,0.168773,0.831227,30,21,6,24,15,20.0,"security, protocol, authentication, formalised, goals, principals, protocols, alamo, apache, attack, checking, confidentiality, crude, execution, eye, jacob, lasco, needham, policies, policy, retaliation, routines, schroeder, soap, spore, stipulate, systems, timing, tulafale, yahalom","attacks, execution, security, software, verification, checking, systems, formal, taint, based, rust, safety, vulnerabilities, analysis, attack, attestation, cps, hardware, programs, protocol, runtime","attack, checking, execution, protocol, security, systems","analysis, attacks, attestation, based, cps, formal, hardware, programs, runtime, rust, safety, software, taint, verification, vulnerabilities","alamo, apache, authentication, confidentiality, crude, eye, formalised, goals, jacob, lasco, needham, policies, policy, principals, protocols, retaliation, routines, schroeder, soap, spore"
cs,28,2000–2005,2020–2025,0.098883,0.901117,29,17,3,26,14,10.34,"3k, 4k, lawler, vertex, chromatic, correlations, cover, exact, extremal, graph, listed, maximal, np, optimization, sets, uncorrelated, accepting, bethe, cl, clu, cluster, coloring, ekk, fat, graphs, multilayered, pcp, peierls, triangles","graph, graphs, kk, log, vertex, hypergraph, problem, approximation, ell, polynomial, algorithm, cal, hypergraphs, vertices, algorithms, mmbs, time","graph, graphs, vertex","algorithm, algorithms, approximation, cal, ell, hypergraph, hypergraphs, kk, log, mmbs, polynomial, problem, time, vertices","3k, 4k, accepting, bethe, chromatic, cl, clu, cluster, coloring, correlations, cover, ekk, exact, extremal, fat, lawler, listed, maximal, multilayered, np"
cs,29,2000–2005,2020–2025,0.154252,0.845748,26,26,7,19,19,26.92,"degree, law, topology, internet, networks, faloutsos, power, laws, club, network, traceroute, bars, bgp, equivalent, gamma, graph, graphs, leq, links, mechanics, nodes, note, quoted, topologies, web, whois","graph, network, networks, model, nodes, graphs, resilience, degree, failures, models, node, attacks, bc, centrality, community, connectedness, connectivity, granovetter, infrastructure, interdependent, ipv6, law, percolation, random, real, world","degree, graph, graphs, law, network, networks, nodes","attacks, bc, centrality, community, connectedness, connectivity, failures, granovetter, infrastructure, interdependent, ipv6, model, models, node, percolation, random, real, resilience, world","bars, bgp, club, equivalent, faloutsos, gamma, internet, laws, leq, links, mechanics, note, power, quoted, topologies, topology, traceroute, web, whois"
cs,30,2000–2005,2020–2025,0.116441,0.883559,10,17,2,8,15,20.0,"anthropometric, camera, cooperation, deduced, face, gaze, head, image, orientation, single","attention, eye, gaze, human, model, visual, tracking, head, learning, estimation, pose, au, based, eyeblink, facial, models, vision","gaze, head","attention, au, based, estimation, eye, eyeblink, facial, human, learning, model, models, pose, tracking, vision, visual","anthropometric, camera, cooperation, deduced, face, image, orientation, single"
cs,31,2000–2005,2020–2025,0.247061,0.752939,31,14,8,23,6,25.81,"dominating, maximum, set, weight, graphs, minimum, star, algorithm, approximable, bipartite, graph, independent, log, problem, time, computing, decomposition, disk, domatic, exact, fekete, let, matching, matchings, minor, mwmp, rounding, rule, schepers, sparse, theorem","algorithm, approximation, graph, graphs, kk, log, problem, dominating, matching, vertex, set, algorithms, frac, mathcal","algorithm, dominating, graph, graphs, log, matching, problem, set","algorithms, approximation, frac, kk, mathcal, vertex","approximable, bipartite, computing, decomposition, disk, domatic, exact, fekete, independent, let, matchings, maximum, minimum, minor, mwmp, rounding, rule, schepers, sparse, star"
cs,33,2000–2005,2020–2025,0.146034,0.853966,19,25,6,13,19,31.58,"email, nodes, attack, ddos, emails, friends, networks, reputation, spam, attacker, cooperation, cyberspace, denial, network, node, ocean, social, trusted, vaccine","attacks, social, trust, network, federated, networks, nodes, fl, malicious, attack, byzantine, privacy, adversary, clients, community, debunkers, decentralized, defl, detection, email, gossipsub, honeypot, learning, sybil, users","attack, email, network, networks, nodes, social","adversary, attacks, byzantine, clients, community, debunkers, decentralized, defl, detection, federated, fl, gossipsub, honeypot, learning, malicious, privacy, sybil, trust, users","attacker, cooperation, cyberspace, ddos, denial, emails, friends, node, ocean, reputation, spam, trusted, vaccine"
cs,34,2000–2005,2020–2025,0.181678,0.818322,35,22,6,29,16,17.14,"dnnf, logic, propositional, satisfiability, complexity, mathit, boolean, clauses, edb, formulas, fsat, hard, npsb, pspace, satisfiable, cals, collapse, databases, definability, definite, dpll, ehrenfeucht, embeddable, fixed, np, obdd, parameter, parameterized, problems, program, rb, rd, stable, transitivity, trg","boolean, complexity, polynomial, problems, sat, problem, treewidth, counting, formulas, satisfiability, formula, logic, mathsf, width, asp, canalizing, clausal, csps, ff, nc, qbf, skolem","boolean, complexity, formulas, logic, problems, satisfiability","asp, canalizing, clausal, counting, csps, ff, formula, mathsf, nc, polynomial, problem, qbf, sat, skolem, treewidth, width","cals, clauses, collapse, databases, definability, definite, dnnf, dpll, edb, ehrenfeucht, embeddable, fixed, fsat, hard, mathit, np, npsb, obdd, parameter, parameterized"
cs,35,2000–2005,2020–2025,0.218967,0.781033,13,20,4,9,16,30.77,"antennas, channel, codes, qstbc, space, symbolwise, transmit, antenna, keying, mimo, orthogonal, psk, time","antenna, beamforming, channel, mimo, precoding, massive, multiple, interference, irs, near, antennas, beam, communications, csi, dof, field, mmwave, noma, transmission, uplink","antenna, antennas, channel, mimo","beam, beamforming, communications, csi, dof, field, interference, irs, massive, mmwave, multiple, near, noma, precoding, transmission, uplink","codes, keying, orthogonal, psk, qstbc, space, symbolwise, time, transmit"
