subject,topic_id,avg_yoy_sim,min_yoy_sim,avg_yoy_drift,max_single_jump
cs,0,0.732,0.3,0.268,0.7
cs,1,0.7000000000000001,0.2,0.3,0.8
cs,2,0.8111111111111111,0.6,0.1888888888888889,0.4
cs,3,0.7923076923076924,0.4,0.2076923076923077,0.6
cs,4,0.7347826086956523,0.1,0.26521739130434785,0.9
cs,5,0.8133333333333332,0.2,0.18666666666666668,0.8
cs,6,0.7857142857142857,0.6,0.21428571428571427,0.4
cs,7,0.7416666666666667,0.4,0.25833333333333336,0.6
cs,8,0.6559999999999999,0.2,0.344,0.8
cs,9,0.6928571428571428,0.3,0.3071428571428571,0.7
cs,10,0.752,0.4,0.248,0.6
cs,11,0.655,0.4,0.34500000000000003,0.6
cs,12,0.7083333333333334,0.3,0.2916666666666667,0.7
cs,13,0.6,0.0,0.39999999999999997,1.0
cs,14,0.7636363636363637,0.4,0.23636363636363636,0.6
cs,15,0.6409090909090909,0.3,0.35909090909090907,0.7
cs,16,0.717391304347826,0.4,0.2826086956521739,0.6
cs,17,0.7875,0.6,0.21250000000000002,0.4
cs,18,0.83125,0.6,0.16875,0.4
cs,19,0.74,0.3,0.26,0.7
cs,20,0.69375,0.3,0.30625,0.7
cs,21,0.78,0.5,0.22000000000000003,0.5
cs,22,0.7000000000000001,0.3,0.3,0.7
cs,23,0.8888888888888888,0.7,0.1111111111111111,0.3
cs,24,0.7684210526315789,0.4,0.23157894736842108,0.6
cs,25,0.8,0.7,0.2,0.3
cs,26,0.8090909090909091,0.6,0.19090909090909092,0.4
cs,27,0.6849999999999999,0.3,0.315,0.7
cs,28,0.7347826086956522,0.4,0.26521739130434785,0.6
cs,29,0.76,0.4,0.24,0.6
cs,30,0.7785714285714286,0.4,0.22142857142857145,0.6
cs,31,0.812,0.2,0.188,0.8
cs,32,0.8,0.6,0.2,0.4
cs,33,0.6578947368421053,0.4,0.34210526315789475,0.6
cs,34,0.7240000000000001,0.3,0.276,0.7
cs,35,0.8428571428571429,0.6,0.15714285714285717,0.4
cs,36,0.8476190476190476,0.7,0.1523809523809524,0.3
cs,37,0.765,0.5,0.23500000000000001,0.5
cs,38,0.7619047619047619,0.4,0.23809523809523808,0.6
cs,39,0.8111111111111111,0.5,0.18888888888888888,0.5
cs,40,0.7846153846153846,0.4,0.21538461538461537,0.6
cs,41,0.7041666666666666,0.3,0.29583333333333334,0.7
cs,42,0.7086956521739131,0.4,0.29130434782608694,0.6
cs,43,0.875,0.7,0.125,0.3
cs,44,0.7708333333333334,0.6,0.22916666666666666,0.4
cs,45,0.6733333333333333,0.4,0.3266666666666667,0.6
cs,46,0.7000000000000001,0.3,0.3,0.7
cs,47,0.75,0.3,0.25,0.7
cs,48,0.7833333333333333,0.2,0.21666666666666667,0.8
cs,49,0.7166666666666667,0.3,0.2833333333333333,0.7
cs,50,0.8785714285714287,0.7,0.12142857142857144,0.3
cs,51,0.7999999999999999,0.4,0.19999999999999998,0.6
cs,52,0.7529411764705882,0.4,0.24705882352941178,0.6
cs,53,0.85,0.5,0.15,0.5
cs,54,0.8272727272727273,0.3,0.17272727272727273,0.7
cs,55,0.8800000000000001,0.6,0.12,0.4
cs,56,0.8888888888888888,0.7,0.1111111111111111,0.3
cs,57,0.8,0.4,0.2,0.6
cs,58,0.7833333333333333,0.2,0.21666666666666667,0.8
cs,59,0.7777777777777778,0.6,0.2222222222222222,0.4
cs,60,0.8636363636363636,0.6,0.13636363636363635,0.4
cs,61,0.7416666666666667,0.2,0.25833333333333336,0.8
cs,62,0.7733333333333333,0.4,0.22666666666666666,0.6
cs,63,0.89,0.7,0.11000000000000001,0.3
cs,64,0.8363636363636363,0.1,0.16363636363636364,0.9
cs,65,0.85,0.6,0.15,0.4
cs,66,0.8545454545454546,0.4,0.14545454545454548,0.6
cs,67,0.7200000000000001,0.5,0.28,0.5
cs,68,0.8125,0.7,0.1875,0.3
cs,69,0.7454545454545454,0.5,0.2545454545454545,0.5
cs,70,0.8777777777777778,0.6,0.12222222222222223,0.4
cs,71,0.8117647058823529,0.5,0.18823529411764706,0.5
cs,72,0.93,0.9,0.07,0.1
cs,73,0.7818181818181817,0.4,0.21818181818181817,0.6
cs,74,0.7727272727272727,0.3,0.22727272727272727,0.7
cs,75,0.7909090909090909,0.4,0.20909090909090908,0.6
cs,76,0.7000000000000001,0.3,0.3,0.7
cs,77,0.8363636363636363,0.4,0.16363636363636364,0.6
cs,78,0.7230769230769231,0.1,0.27692307692307694,0.9
cs,79,0.6799999999999999,0.4,0.32,0.6
cs,80,0.8222222222222223,0.4,0.17777777777777778,0.6
cs,81,0.875,0.4,0.125,0.6
cs,82,0.8888888888888888,0.8,0.1111111111111111,0.2
