subject,year,avg_sim,avg_drift,n_topics
physics,2000,1.0,0.0,60
physics,2001,0.3183078833333333,0.6816921166666667,60
physics,2002,0.31713811666666664,0.6828618833333333,60
physics,2003,0.30910773333333336,0.6908922666666667,60
physics,2004,0.30592051666666664,0.6940794833333332,60
physics,2005,0.2971300333333333,0.7028699666666667,60
physics,2006,0.3299573333333333,0.6700426666666667,60
physics,2007,0.20262805,0.79737195,60
physics,2008,0.21700031666666666,0.7829996833333334,60
physics,2009,0.1328869,0.8671131,60
physics,2010,0.1056738,0.8943262,60
physics,2011,0.07124131666666668,0.9287586833333333,60
physics,2012,0.0630771,0.9369229,60
physics,2013,0.06064378333333333,0.9393562166666667,60
physics,2014,0.0735812,0.9264188,60
physics,2015,0.07756156666666666,0.9224384333333333,60
physics,2016,0.06876426666666666,0.9312357333333333,60
physics,2017,0.060815799999999996,0.9391842,60
physics,2018,0.0608607,0.9391393,60
physics,2019,0.04286285,0.95713715,60
physics,2020,0.04457278333333334,0.9554272166666666,60
physics,2021,0.048760116666666665,0.9512398833333333,60
physics,2022,0.05072,0.94928,60
physics,2023,0.046271716666666664,0.9537282833333334,60
physics,2024,0.036529816666666666,0.9634701833333333,60
physics,2025,0.035568466666666666,0.9644315333333334,60
