subject,year_from,year_to,avg_sim,avg_drift,n_topics
physics,2000,2001,0.39333333333333337,0.6066666666666667,60
physics,2001,2002,0.37,0.63,60
physics,2002,2003,0.3716666666666667,0.6283333333333333,60
physics,2003,2004,0.34833333333333333,0.6516666666666667,60
physics,2004,2005,0.3783333333333333,0.6216666666666666,60
physics,2005,2006,0.43666666666666665,0.5633333333333332,60
physics,2006,2007,0.38333333333333336,0.6166666666666667,60
physics,2007,2008,0.35833333333333334,0.6416666666666667,60
physics,2008,2009,0.3233333333333333,0.6766666666666666,60
physics,2009,2010,0.3783333333333333,0.6216666666666666,60
physics,2010,2011,0.365,0.635,60
physics,2011,2012,0.41333333333333333,0.5866666666666667,60
physics,2012,2013,0.4966666666666667,0.5033333333333333,60
physics,2013,2014,0.48166666666666663,0.5183333333333333,60
physics,2014,2015,0.435,0.565,60
physics,2015,2016,0.43833333333333335,0.5616666666666668,60
physics,2016,2017,0.4633333333333333,0.5366666666666667,60
physics,2017,2018,0.5566666666666666,0.44333333333333336,60
physics,2018,2019,0.5816666666666667,0.41833333333333333,60
physics,2019,2020,0.6649999999999999,0.335,60
physics,2020,2021,0.6433333333333333,0.35666666666666663,60
physics,2021,2022,0.6433333333333333,0.35666666666666663,60
physics,2022,2023,0.64,0.36000000000000004,60
physics,2023,2024,0.6633333333333333,0.33666666666666667,60
physics,2024,2025,0.8016666666666666,0.19833333333333333,60
