subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
physics,2000,2001,83,0.381718,0.918476,0.523428
physics,2001,2002,92,0.381285,0.913081,0.51888
physics,2002,2003,100,0.379004,0.926597,0.522246
physics,2003,2004,113,0.379715,0.919977,0.517209
physics,2004,2005,128,0.380888,0.921996,0.521059
physics,2005,2006,142,0.397471,0.894011,0.532221
physics,2006,2007,156,0.410661,0.884516,0.5418
physics,2007,2008,164,0.409478,0.886436,0.539229
physics,2008,2009,173,0.404252,0.887145,0.531738
physics,2009,2010,186,0.413261,0.871623,0.534786
physics,2010,2011,203,0.440953,0.851315,0.557635
physics,2011,2012,215,0.45381,0.825222,0.560197
physics,2012,2013,218,0.45654,0.811021,0.554973
physics,2013,2014,219,0.468093,0.805751,0.562686
physics,2014,2015,219,0.477151,0.794362,0.568637
physics,2015,2016,223,0.48504,0.790451,0.576963
physics,2016,2017,227,0.484453,0.781119,0.572372
physics,2017,2018,230,0.494926,0.771834,0.574728
physics,2018,2019,231,0.506644,0.762064,0.582575
physics,2019,2020,231,0.51678,0.749793,0.58664
physics,2020,2021,231,0.52287,0.731152,0.585177
physics,2021,2022,232,0.514335,0.744175,0.582479
physics,2022,2023,231,0.513541,0.743927,0.580924
physics,2023,2024,230,0.513402,0.735146,0.577529
physics,2024,2025,231,0.529735,0.714072,0.581037
