subject,year,avg_sim,avg_drift,n_topics
cs,2000,1.0,0.0,50
cs,2001,0.33918956,0.6608104400000001,50
cs,2002,0.39774783999999996,0.60225216,50
cs,2003,0.32389034,0.6761096600000001,50
cs,2004,0.35408090000000003,0.6459191,50
cs,2005,0.28083676,0.71916324,50
cs,2006,0.27852319999999997,0.7214767999999999,50
cs,2007,0.20222278,0.79777722,50
cs,2008,0.09876289999999999,0.9012371,50
cs,2009,0.11513108,0.88486892,50
cs,2010,0.0982731,0.9017269,50
cs,2011,0.07602134,0.92397866,50
cs,2012,0.081697,0.918303,50
cs,2013,0.07185844000000001,0.9281415599999999,50
cs,2014,0.0403026,0.9596974,50
cs,2015,0.052272400000000004,0.9477276,50
cs,2016,0.052344140000000004,0.94765586,50
cs,2017,0.05392464,0.9460753599999999,50
cs,2018,0.05676216,0.94323784,50
cs,2019,0.04816332,0.95183668,50
cs,2020,0.043032680000000004,0.95696732,50
cs,2021,0.036419019999999996,0.96358098,50
cs,2022,0.03515744,0.96484256,50
cs,2023,0.02693228,0.97306772,50
cs,2024,0.026172839999999996,0.97382716,50
cs,2025,0.020154839999999997,0.97984516,50
