subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
cs,2000,2001,47,8,"[1, 4, 9, 14, 17, 21, 35, 43]","[0.5038, 0.5808, 0.5316, 0.5691, 0.6238, 0.616, 0.555, 0.7924]","algorithm, information, internet, datum, program, set, theory, logic, graph, semantic"
cs,2000,2001,25,9,"[2, 3, 12, 16, 28, 29, 30, 39, 42]","[0.6391, 0.6858, 0.5492, 0.631, 0.6629, 0.6706, 0.5824, 0.6263, 0.5238]","logic, information, datum, algorithm, language, constraint, graph, structure, knowledge, word"
cs,2000,2001,1,4,"[5, 23, 40, 47]","[0.5646, 0.5627, 0.618, 0.5898]","algorithm, program, constraint, information, language, function, service, scheme, logic, datum"
cs,2000,2001,44,5,"[7, 11, 27, 33, 45]","[0.5457, 0.6031, 0.551, 0.5809, 0.5776]","logic, program, algorithm, set, service, internet, sequence, network, language, programming"
cs,2000,2001,41,5,"[8, 18, 24, 38, 44]","[0.5509, 0.6154, 0.6029, 0.5075, 0.6976]","algorithm, logic, program, network, knowledge, policy, global, information, datum, quantum"
cs,2000,2001,26,2,"[22, 25]","[0.6678, 0.5821]","logic, query, algorithm, language, quantum, constraint, programming, rule, internet, sharing"
cs,2000,2001,11,2,"[26, 37]","[0.6047, 0.6927]","program, service, algorithm, information, set, type, logic, language, network, object"
cs,2000,2001,13,3,"[34, 36, 41]","[0.6738, 0.5626, 0.5691]","algorithm, information, logic, network, internet, datum, program, semantic, structure, scheme"
cs,2001,2002,7,2,"[0, 7]","[0.5434, 0.5095]","algorithm, graph, agent, information, network, datum, logic, program, theory, class"
cs,2001,2002,18,3,"[1, 23, 29]","[0.6493, 0.5313, 0.6796]","algorithm, program, order, information, network, function, logic, quantum, semantic, domain"
cs,2001,2002,42,2,"[10, 47]","[0.5498, 0.6921]","algorithm, program, datum, set, semantic, strategy, logic, information, network, theory"
cs,2001,2002,13,2,"[11, 30]","[0.5639, 0.5364]","program, algorithm, set, order, software, polynomial, datum, logic, code, service"
cs,2001,2002,3,3,"[13, 43, 48]","[0.6848, 0.6371, 0.5179]","algorithm, type, information, logic, datum, network, program, language, function, property"
cs,2001,2002,8,2,"[31, 34]","[0.5408, 0.5608]","algorithm, service, datum, quantum, logic, program, class, set, graph, classical"
cs,2002,2003,37,3,"[0, 16, 34]","[0.6015, 0.5674, 0.565]","datum, algorithm, logic, quantum, program, complexity, semantic, way, network, class"
cs,2002,2003,43,6,"[1, 7, 8, 18, 19, 41]","[0.6562, 0.6304, 0.6356, 0.6122, 0.5988, 0.6766]","algorithm, datum, information, program, service, resource, network, logic, class, order"
cs,2002,2003,34,6,"[2, 6, 10, 12, 15, 24]","[0.6127, 0.5884, 0.5907, 0.5144, 0.5138, 0.5412]","logic, algorithm, information, network, quantum, class, language, domain, random, independent"
cs,2002,2003,44,2,"[3, 21]","[0.6743, 0.6248]","algorithm, information, function, datum, network, language, class, complexity, sequence, logic"
cs,2002,2003,39,3,"[5, 40, 45]","[0.5098, 0.5777, 0.5327]","algorithm, program, information, service, datum, machine, logic, grid, probability, management"
cs,2002,2003,30,2,"[17, 44]","[0.5964, 0.6781]","algorithm, datum, information, function, theory, parallel, logic, set, structure, complexity"
cs,2002,2003,13,4,"[23, 26, 38, 48]","[0.5345, 0.6078, 0.5725, 0.5238]","algorithm, datum, information, set, random, network, graph, logic, code, language"
cs,2002,2003,12,3,"[29, 36, 42]","[0.6016, 0.6751, 0.6415]","algorithm, datum, information, logic, tool, language, set, structure, network, theory"
cs,2002,2003,25,2,"[37, 47]","[0.5144, 0.5785]","algorithm, structure, network, quantum, resource, information, language, code, logic, graph"
cs,2003,2004,21,8,"[3, 5, 11, 12, 13, 22, 26, 30]","[0.6796, 0.6858, 0.6459, 0.7464, 0.7394, 0.6229, 0.7234, 0.7188]","algorithm, datum, information, logic, network, graph, function, scheme, property, theory"
cs,2003,2004,35,2,"[4, 40]","[0.6271, 0.6445]","datum, algorithm, theory, language, network, complexity, set, property, communication, information"
cs,2003,2004,30,3,"[7, 18, 37]","[0.6617, 0.7317, 0.716]","datum, algorithm, logic, network, graph, information, complexity, quantum, set, order"
cs,2003,2004,17,3,"[8, 28, 38]","[0.5642, 0.621, 0.5239]","datum, graph, algorithm, network, information, program, language, point, computer, code"
cs,2003,2004,32,4,"[10, 16, 33, 49]","[0.5315, 0.5907, 0.643, 0.747]","datum, algorithm, information, network, set, quantum, language, constraint, software, architecture"
cs,2003,2004,19,3,"[15, 24, 44]","[0.595, 0.5997, 0.7171]","algorithm, information, language, network, datum, space, particular, function, quantum, program"
cs,2003,2004,43,2,"[19, 34]","[0.6033, 0.6465]","algorithm, logic, information, datum, network, language, intelligent, code, quantum, theory"
cs,2003,2004,4,2,"[20, 23]","[0.604, 0.5813]","algorithm, quantum, datum, language, grid, network, function, order, point, information"
cs,2003,2004,25,2,"[25, 31]","[0.615, 0.6882]","algorithm, datum, network, logic, quantum, constraint, information, graph, order, size"
cs,2003,2004,14,3,"[35, 42, 43]","[0.5361, 0.5349, 0.6827]","algorithm, distribution, datum, information, network, logic, graph, quantum, program, order"
cs,2004,2005,43,4,"[0, 36, 37, 49]","[0.7128, 0.6954, 0.6954, 0.5426]","algorithm, network, datum, channel, quantum, set, code, scheme, linear, distribution"
cs,2004,2005,33,4,"[1, 10, 24, 25]","[0.6524, 0.5882, 0.6674, 0.6103]","algorithm, network, code, datum, graph, quantum, function, structure, rate, linear"
cs,2004,2005,41,2,"[2, 21]","[0.5383, 0.6509]","algorithm, code, information, channel, datum, property, space, network, scheme, function"
cs,2004,2005,3,6,"[3, 5, 12, 26, 29, 48]","[0.6046, 0.6137, 0.6265, 0.5508, 0.5864, 0.5715]","network, datum, algorithm, information, channel, scheme, theory, constraint, code, logic"
cs,2004,2005,1,2,"[6, 18]","[0.6198, 0.5258]","algorithm, network, function, set, code, datum, channel, quantum, structure, length"
cs,2004,2005,6,2,"[7, 40]","[0.6179, 0.7183]","algorithm, code, network, datum, information, function, constraint, program, scheme, complexity"
cs,2004,2005,17,4,"[8, 22, 27, 41]","[0.6577, 0.6481, 0.7595, 0.6627]","algorithm, network, graph, datum, code, channel, function, game, information, set"
cs,2004,2005,2,5,"[9, 20, 30, 32, 46]","[0.7286, 0.5038, 0.6533, 0.6408, 0.5375]","datum, network, information, code, algorithm, quantum, function, graph, order, linear"
cs,2004,2005,30,6,"[11, 13, 14, 19, 34, 43]","[0.6807, 0.6229, 0.5964, 0.6234, 0.6091, 0.6234]","algorithm, network, information, datum, code, function, optimal, distribution, random, channel"
cs,2004,2005,48,2,"[17, 35]","[0.6427, 0.5261]","datum, channel, network, algorithm, information, code, graph, input, signal, theory"
cs,2004,2005,42,3,"[38, 39, 47]","[0.6395, 0.6309, 0.5285]","algorithm, information, graph, function, datum, quantum, structure, class, protocol, efficient"
cs,2005,2006,35,4,"[2, 15, 43, 48]","[0.6235, 0.7133, 0.769, 0.6156]","algorithm, network, channel, information, datum, graph, quantum, code, set, order"
cs,2005,2006,24,5,"[3, 10, 24, 29, 46]","[0.6505, 0.7737, 0.6866, 0.7429, 0.6572]","code, algorithm, datum, network, information, logic, theory, tree, channel, scheme"
cs,2005,2006,31,3,"[4, 23, 31]","[0.8339, 0.7497, 0.7959]","algorithm, network, code, information, capacity, channel, linear, function, set, datum"
cs,2005,2006,13,7,"[5, 6, 9, 26, 30, 33, 41]","[0.7525, 0.7882, 0.7377, 0.6624, 0.7802, 0.7585, 0.7559]","algorithm, code, network, datum, channel, information, function, random, graph, rate"
cs,2005,2006,38,3,"[8, 18, 40]","[0.7418, 0.6649, 0.769]","algorithm, datum, network, code, channel, function, set, class, order, information"
cs,2005,2006,25,2,"[11, 17]","[0.6481, 0.8087]","algorithm, network, graph, channel, code, set, function, particular, rate, scheme"
cs,2005,2006,40,4,"[14, 20, 22, 47]","[0.7564, 0.6645, 0.61, 0.7359]","algorithm, channel, datum, network, code, source, capacity, complexity, structure, quantum"
cs,2005,2006,15,2,"[21, 32]","[0.5562, 0.5003]","channel, algorithm, code, function, information, set, communication, network, datum, complexity"
cs,2005,2006,34,3,"[28, 38, 49]","[0.7198, 0.7231, 0.6222]","information, algorithm, function, set, network, code, datum, channel, language, sequence"
cs,2005,2006,3,3,"[35, 44, 45]","[0.6928, 0.6614, 0.6782]","code, network, algorithm, channel, theory, size, datum, rate, linear, logic"
cs,2005,2006,43,2,"[36, 37]","[0.5361, 0.5808]","algorithm, network, code, information, graph, optimal, logic, random, language, channel"
cs,2006,2007,40,5,"[0, 4, 6, 41, 47]","[0.5491, 0.7464, 0.7029, 0.6858, 0.6629]","algorithm, network, code, channel, space, set, constraint, matrix, rate, complexity"
cs,2006,2007,9,4,"[1, 10, 16, 42]","[0.5509, 0.6738, 0.6721, 0.6357]","algorithm, datum, network, graph, code, error, channel, complexity, polynomial, rate"
cs,2006,2007,42,2,"[3, 44]","[0.7585, 0.6894]","code, algorithm, network, channel, datum, non, order, linear, logic, random"
cs,2006,2007,43,2,"[5, 37]","[0.7453, 0.6226]","algorithm, code, channel, network, space, information, rate, scheme, set, structure"
