subject,k,alpha_var,phi_var,train_iter,eta_var,lr_a,lr_b,lr_c,min_cf,min_df,seed,coherence_cv,irbo_aggregated,irbo_tp_min,irbo_tp_max,topic_quality,ll_per_word,time_seconds
cs,50,0.01,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.4386224363417921,0.9656740544221704,0.7439035708703604,0.9892769895562228,0.6032434165413048,-5.15229782411879,717.6
cs,50,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.40803354834901906,0.9733360670054998,0.6513508120200584,0.9987241858224958,0.5750144852497077,-10.43703663507626,745.4
cs,50,0.1,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.4153094021992791,0.9607730819241517,0.7468611006864828,0.9913187107147147,0.5799333962996475,-5.162765513563818,716.2
cs,50,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.40750211857934426,0.977242967391699,0.6552513939354474,0.9988032395797796,0.5751651818278557,-10.443566873966734,775.3
cs,75,0.01,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.41863967241301436,0.8904211437508742,0.7664632471020757,0.9828456651346127,0.5695161161753374,-2.701434683552061,929.1
cs,75,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.40395741564623994,0.9357370783663108,0.634250029591093,0.9903396061917931,0.5643046733275248,-10.489879296856035,969.3
cs,75,0.1,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.425636273491356,0.8796598617296804,0.7691736867871956,0.9822459117268751,0.573686132033387,-2.6911429918245484,904.9
cs,75,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.41949480253981786,0.9329120346533684,0.6704325089508058,0.9882382495928087,0.5787485525822307,-10.502770238592065,975.8
cs,150,0.01,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.5035567453220824,0.768953265952897,0.8117092533372623,0.9326371932906611,0.6085792653529907,5.301965616970352,1472.6
cs,150,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4672646038450675,0.7045058918207704,0.6072703738170377,0.9681095977416376,0.5618688432005475,-10.01051024001481,1696.5
cs,150,0.1,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.44485282445217045,0.7703503761059676,0.8195200755455301,0.9264352765898187,0.5640086208975326,5.30607646568229,1713.2
cs,150,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4746047915278397,0.7091661064239596,0.6110352573148303,0.9695197623179365,0.5686465728804522,-10.00341233839834,1693.2
cs,200,0.01,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.5532273099633774,0.7188748214297038,0.8281432424326703,0.9203652448419559,0.6252661226570466,11.062145604135567,2306.2
cs,200,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.49734240610622943,0.6147896812066401,0.6142642101937127,0.9609632785563599,0.5498645040255443,-9.4028270472033,2395.9
cs,200,0.1,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.5285033857648931,0.7105098938856782,0.8197026495323358,0.9192475786087849,0.606138595453855,11.053976114092201,2639.4
cs,200,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.5389364306059059,0.6026541030100181,0.6218720256903001,0.9587864872394813,0.5690170715369579,-9.411524719548662,2373.6
