subject,category,n_keywords,avg_span,max_span,min_span,avg_coverage_pct,n_never_captured,n_full_span
math,emerging,20,21.6,26,13,90.01,0,7
math,stable,20,11.25,26,0,49.6,2,4
math,decaying,20,21.45,26,3,88.46,0,14
