model,subject,trend,rank,word,freq,n_topics_in_category
BERTopic,cs,GROWING,1,image,126,160
BERTopic,cs,GROWING,2,detection,107,160
BERTopic,cs,GROWING,3,images,88,160
BERTopic,cs,GROWING,4,object,88,160
BERTopic,cs,GROWING,5,recognition,81,160
BERTopic,cs,GROWING,6,segmentation,80,160
BERTopic,cs,GROWING,7,video,70,160
BERTopic,cs,GROWING,8,neural,63,160
BERTopic,cs,GROWING,9,3d,62,160
BERTopic,cs,GROWING,10,visual,57,160
BERTopic,cs,GROWING,11,attacks,55,160
BERTopic,cs,GROWING,12,learning,54,160
BERTopic,cs,GROWING,13,speech,46,160
BERTopic,cs,GROWING,14,brain,46,160
BERTopic,cs,GROWING,15,vehicle,45,160
BERTopic,cs,GROWING,16,pose,44,160
BERTopic,cs,GROWING,17,motion,42,160
BERTopic,cs,GROWING,18,audio,41,160
BERTopic,cs,GROWING,19,facial,41,160
BERTopic,cs,GROWING,20,reconstruction,41,160
BERTopic,cs,STABLE,1,channel,58,72
BERTopic,cs,STABLE,2,codes,51,72
BERTopic,cs,STABLE,3,clustering,49,72
BERTopic,cs,STABLE,4,document,41,72
BERTopic,cs,STABLE,5,social,37,72
BERTopic,cs,STABLE,6,word,36,72
BERTopic,cs,STABLE,7,networks,36,72
BERTopic,cs,STABLE,8,network,36,72
BERTopic,cs,STABLE,9,scheduling,36,72
BERTopic,cs,STABLE,10,games,35,72
BERTopic,cs,STABLE,11,agents,34,72
BERTopic,cs,STABLE,12,internet,34,72
BERTopic,cs,STABLE,13,decoding,34,72
BERTopic,cs,STABLE,14,documents,33,72
BERTopic,cs,STABLE,15,speech,32,72
BERTopic,cs,STABLE,16,iot,31,72
BERTopic,cs,STABLE,17,nodes,30,72
BERTopic,cs,STABLE,18,citation,28,72
BERTopic,cs,STABLE,19,game,27,72
BERTopic,cs,STABLE,20,equilibrium,27,72
BERTopic,cs,DECLINING,1,codes,49,29
BERTopic,cs,DECLINING,2,quantum,47,29
BERTopic,cs,DECLINING,3,automata,42,29
BERTopic,cs,DECLINING,4,log,40,29
BERTopic,cs,DECLINING,5,logic,39,29
BERTopic,cs,DECLINING,6,mining,32,29
BERTopic,cs,DECLINING,7,mathbb,27,29
BERTopic,cs,DECLINING,8,price,26,29
BERTopic,cs,DECLINING,9,graphs,26,29
BERTopic,cs,DECLINING,10,semantics,25,29
BERTopic,cs,DECLINING,11,string,25,29
BERTopic,cs,DECLINING,12,graph,25,29
BERTopic,cs,DECLINING,13,classical,24,29
BERTopic,cs,DECLINING,14,routing,24,29
BERTopic,cs,DECLINING,15,channel,23,29
BERTopic,cs,DECLINING,16,checking,22,29
BERTopic,cs,DECLINING,17,query,22,29
BERTopic,cs,DECLINING,18,parsing,22,29
BERTopic,cs,DECLINING,19,auctions,22,29
BERTopic,cs,DECLINING,20,service,22,29
