subject,num_topics,alpha,eta,passes,iterations,chunksize,random_state,workers,coherence_cv,irbo_mean,topic_quality,time_seconds
cs,50,asymmetric,auto,15,50,2000,42,5,0.5846017670867704,0.9938195961972128,0.7361642532429689,163.9
cs,50,asymmetric,auto,15,150,2000,42,5,0.5859798960299303,0.9950000809880234,0.7375805544443185,172.2
cs,50,asymmetric,0.01,15,50,2000,42,5,0.5925214998391698,0.993672925576991,0.7423712538366557,165.8
cs,50,asymmetric,0.01,15,150,2000,42,5,0.583288462802835,0.9944669611514811,0.7352991424037718,167.3
cs,50,0.01,auto,15,50,2000,42,5,0.5986551939371193,0.9936475588095453,0.7471597609162891,121.5
cs,50,0.01,auto,15,150,2000,42,5,0.5856265002544879,0.994869397513341,0.7372646576291394,127.0
cs,50,0.01,0.01,15,50,2000,42,5,0.6026166585464299,0.9945506488829797,0.7504946864328848,147.2
cs,50,0.01,0.01,15,150,2000,42,5,0.5968429016952447,0.995302959487796,0.7462124179566826,147.4
cs,75,asymmetric,auto,15,50,2000,42,5,0.578614821479572,0.9959582490684349,0.7319777217900407,289.1
cs,75,asymmetric,auto,15,150,2000,42,5,0.5677771176479193,0.9969131800774312,0.7234971581947383,294.5
cs,75,asymmetric,0.01,15,50,2000,42,5,0.5775953669732801,0.9954568469619177,0.7310262910964241,198.8
cs,75,asymmetric,0.01,15,150,2000,42,5,0.5631854777980341,0.9966781184962266,0.7196970859627058,196.2
cs,75,0.01,auto,15,50,2000,42,5,0.5675833847751502,0.9964515629615934,0.7232183036429514,266.1
cs,75,0.01,auto,15,150,2000,42,5,0.5415881972211545,0.996075004719534,0.7016653132132556,284.1
cs,75,0.01,0.01,15,50,2000,42,5,0.5650816637095327,0.9963115600941337,0.7211474795305322,177.6
cs,75,0.01,0.01,15,150,2000,42,5,0.5428378748634263,0.9964421253819973,0.7028045913420778,176.4
cs,150,asymmetric,auto,15,50,2000,42,5,0.4953986908505508,0.9981763423282743,0.6621632556015185,217.1
cs,150,asymmetric,auto,15,150,2000,42,5,0.4877778070231799,0.9984709761244737,0.6553841976291861,211.6
cs,150,asymmetric,0.01,15,50,2000,42,5,0.49143244574464556,0.998119301850399,0.6585984145166216,247.5
cs,150,asymmetric,0.01,15,150,2000,42,5,0.4863632552197254,0.9986918887459751,0.6541535375917958,239.9
cs,150,0.01,auto,15,50,2000,42,5,0.49296508237388015,0.9983665925859252,0.66002738065188,211.3
cs,150,0.01,auto,15,150,2000,42,5,0.47618316323472415,0.9983603216662742,0.6448129619602259,206.7
cs,150,0.01,0.01,15,50,2000,42,5,0.49177121053210254,0.9984435115714592,0.658973189635819,242.7
cs,150,0.01,0.01,15,150,2000,42,5,0.48201932159624317,0.9984999279756318,0.6501722392814403,234.6
