subject,transformer,word,topic_count,total_topics,fraction,percentage
cs,all-mpnet-base-v2,language,18,201,0.08955223880597014,9.0
cs,all-mpnet-base-v2,image,13,201,0.06467661691542288,6.5
cs,all-mpnet-base-v2,data,12,201,0.05970149253731343,6.0
cs,all-mpnet-base-v2,detection,12,201,0.05970149253731343,6.0
cs,all-mpnet-base-v2,llms,11,201,0.05472636815920398,5.5
cs,BAAI/bge-base-en-v1.5,detection,15,191,0.07853403141361257,7.9
cs,BAAI/bge-base-en-v1.5,image,13,191,0.06806282722513089,6.8
cs,BAAI/bge-base-en-v1.5,language,13,191,0.06806282722513089,6.8
cs,BAAI/bge-base-en-v1.5,networks,13,191,0.06806282722513089,6.8
cs,BAAI/bge-base-en-v1.5,neural,13,191,0.06806282722513089,6.8
cs,BAAI/bge-base-en-v1.5,images,12,191,0.06282722513089005,6.3
cs,BAAI/bge-base-en-v1.5,llms,11,191,0.05759162303664921,5.8
cs,BAAI/bge-base-en-v1.5,learning,10,191,0.05235602094240838,5.2
cs,allenai/specter2,image,17,178,0.09550561797752809,9.6
cs,allenai/specter2,data,14,178,0.07865168539325842,7.9
cs,allenai/specter2,language,14,178,0.07865168539325842,7.9
cs,allenai/specter2,images,12,178,0.06741573033707865,6.7
cs,allenai/specter2,detection,12,178,0.06741573033707865,6.7
cs,allenai/specter2,models,11,178,0.06179775280898876,6.2
cs,allenai/specter2,llms,10,178,0.056179775280898875,5.6
cs,allenai/specter2,learning,9,178,0.05056179775280899,5.1
math,sentence-transformers/all-MiniLM-L6-v2,solutions,12,166,0.07228915662650602,7.2
math,sentence-transformers/all-MiniLM-L6-v2,equation,11,166,0.06626506024096386,6.6
math,sentence-transformers/all-MiniLM-L6-v2,equations,10,166,0.060240963855421686,6.0
math,sentence-transformers/all-MiniLM-L6-v2,algebras,10,166,0.060240963855421686,6.0
math,sentence-transformers/all-MiniLM-L6-v2,mathbb,10,166,0.060240963855421686,6.0
math,all-distilroberta-v1,equations,13,167,0.07784431137724551,7.8
math,all-distilroberta-v1,equation,13,167,0.07784431137724551,7.8
math,all-distilroberta-v1,solutions,13,167,0.07784431137724551,7.8
math,all-distilroberta-v1,group,10,167,0.059880239520958084,6.0
math,all-distilroberta-v1,model,9,167,0.05389221556886228,5.4
math,all-distilroberta-v1,groups,9,167,0.05389221556886228,5.4
