subject,model,n_topics_x,coherence,n_topics_y,irbo_mean,irbo_min,irbo,topic_quality
cs,sentence-transformers/all-MiniLM-L6-v2,180,0.7148394149536718,180,0.996915385775762,0.5738047426928572,0.996915385775762,0.8326360887933052
cs,all-distilroberta-v1,197,0.7321672293461695,197,0.9972133970216784,0.5980128122671429,0.9972133970216784,0.8443797262811967
cs,intfloat/e5-base-v2,177,0.7241982016598606,177,0.9974855294180736,0.6291672011485716,0.9974855294180736,0.8391520620735929
cs,all-mpnet-base-v2,201,0.7146294551859488,201,0.9970433142465148,0.5202407116928571,0.9970433142465148,0.8325382435020304
cs,BAAI/bge-base-en-v1.5,191,0.719840282641889,191,0.9972715233776638,0.6748699022971429,0.9972715233776638,0.8361438232994249
cs,allenai/specter2,178,0.7209818988634619,178,0.9969797313832328,0.5250242284071429,0.9969797313832328,0.8368107031096486
math,sentence-transformers/all-MiniLM-L6-v2,166,0.7220746010641331,166,0.9966578256211562,0.6065920545171428,0.9966578256211562,0.8374326226226686
math,all-distilroberta-v1,167,0.7114660944863043,167,0.9966310442391058,0.5693399165828572,0.9966310442391058,0.8302445810754234
math,intfloat/e5-base-v2,127,0.7165003792975385,127,0.997088275425925,0.6067479022971429,0.997088275425925,0.8338221959704734
math,all-mpnet-base-v2,165,0.715988760199089,165,0.9962956542173944,0.5969064022971429,0.9962956542173944,0.8331986021118403
math,BAAI/bge-base-en-v1.5,150,0.7229239029252181,150,0.9969681197921184,0.5970978017228572,0.9969681197921184,0.8381131777254445
physics,sentence-transformers/all-MiniLM-L6-v2,165,0.7327411119748283,165,0.9971331255094066,0.6145313160085716,0.9971331255094066,0.8447324312260674
physics,all-distilroberta-v1,166,0.7386812361051376,166,0.9969967302902624,0.6069393017228573,0.9969967302902624,0.8486168418131775
physics,intfloat/e5-base-v2,132,0.7219520122454548,132,0.9969130891351392,0.7011672011485715,0.9969130891351392,0.8374402507292326
physics,all-mpnet-base-v2,164,0.7336241347858056,164,0.9968286950365618,0.6203186278328572,0.9968286950365618,0.8452095039203463
physics,BAAI/bge-base-en-v1.5,153,0.7330911533509041,153,0.9969181800960244,0.6741672011485715,0.9969181800960244,0.8448878099252157
physics,allenai/specter2,109,0.7253384713473755,109,0.9958884799536925,0.6530280235171428,0.9958884799536925,0.8393503566000368
