subject,model,n_topics,irbo_mean,irbo_min,irbo_median,irbo_std,n_pairs
cs,sentence-transformers/all-MiniLM-L6-v2,180,0.9969153857757619,0.5738047426928572,1.0,0.018509205814881285,16110
cs,all-distilroberta-v1,197,0.9972133970216783,0.5980128122671429,1.0,0.0169696321895078,19306
cs,intfloat/e5-base-v2,177,0.9974855294180736,0.6291672011485716,1.0,0.014851906271091363,15576
cs,all-mpnet-base-v2,201,0.9970433142465148,0.5202407116928571,1.0,0.01808808357632676,20100
cs,BAAI/bge-base-en-v1.5,191,0.9972715233776638,0.6748699022971429,1.0,0.015585296414340758,18145
cs,allenai/specter2,178,0.9969797313832328,0.5250242284071429,1.0,0.01767456717800786,15753
math,sentence-transformers/all-MiniLM-L6-v2,166,0.9966578256211562,0.6065920545171428,1.0,0.0204589722468321,13695
math,all-distilroberta-v1,167,0.9966310442391058,0.5693399165828572,1.0,0.020842185165128056,13861
math,intfloat/e5-base-v2,127,0.997088275425925,0.6067479022971429,1.0,0.01874221363932269,8001
math,all-mpnet-base-v2,165,0.9962956542173943,0.5969064022971429,1.0,0.02071007375312124,13530
math,BAAI/bge-base-en-v1.5,150,0.9969681197921183,0.5970978017228572,1.0,0.01815462440769,11175
physics,sentence-transformers/all-MiniLM-L6-v2,165,0.9971331255094066,0.6145313160085716,1.0,0.017407401392843275,13530
physics,all-distilroberta-v1,166,0.9969967302902625,0.6069393017228573,1.0,0.01781350387799284,13695
physics,intfloat/e5-base-v2,132,0.9969130891351393,0.7011672011485715,1.0,0.01798440984958948,8646
physics,all-mpnet-base-v2,164,0.9968286950365618,0.6203186278328572,1.0,0.017974835214769808,13366
physics,BAAI/bge-base-en-v1.5,153,0.9969181800960243,0.6741672011485715,1.0,0.01787675524709711,11628
physics,allenai/specter2,109,0.9958884799536925,0.6530280235171428,1.0,0.021023526830486763,5886
