subject,trend,rank,word,freq,n_topics_all_models
cs,GROWING,1,image,1298,456
cs,GROWING,2,datum,838,456
cs,GROWING,3,dataset,735,456
cs,GROWING,4,network,643,456
cs,GROWING,5,object,507,456
cs,GROWING,6,algorithm,392,456
cs,GROWING,7,language,388,456
cs,GROWING,8,detection,385,456
cs,GROWING,9,visual,373,456
cs,GROWING,10,video,372,456
cs,GROWING,11,training,371,456
cs,GROWING,12,text,332,456
cs,GROWING,13,learning,329,456
cs,GROWING,14,human,329,456
cs,GROWING,15,recognition,327,456
cs,GROWING,16,deep,324,456
cs,GROWING,17,robot,321,456
cs,GROWING,18,segmentation,320,456
cs,GROWING,19,classification,283,456
cs,GROWING,20,motion,280,456
cs,STABLE,1,network,548,218
cs,STABLE,2,algorithm,535,218
cs,STABLE,3,datum,519,218
cs,STABLE,4,channel,479,218
cs,STABLE,5,language,284,218
cs,STABLE,6,agent,259,218
cs,STABLE,7,word,255,218
cs,STABLE,8,document,217,218
cs,STABLE,9,text,194,218
cs,STABLE,10,wireless,190,218
cs,STABLE,11,node,186,218
cs,STABLE,12,social,186,218
cs,STABLE,13,communication,176,218
cs,STABLE,14,matrix,174,218
cs,STABLE,15,image,171,218
cs,STABLE,16,query,167,218
cs,STABLE,17,game,163,218
cs,STABLE,18,code,154,218
cs,STABLE,19,scheme,153,218
cs,STABLE,20,graph,153,218
cs,DECLINING,1,algorithm,555,130
cs,DECLINING,2,graph,357,130
cs,DECLINING,3,logic,339,130
cs,DECLINING,4,protocol,333,130
cs,DECLINING,5,program,312,130
cs,DECLINING,6,quantum,303,130
cs,DECLINING,7,channel,295,130
cs,DECLINING,8,language,294,130
cs,DECLINING,9,network,277,130
cs,DECLINING,10,polynomial,261,130
cs,DECLINING,11,datum,252,130
cs,DECLINING,12,theory,241,130
cs,DECLINING,13,code,235,130
cs,DECLINING,14,complexity,226,130
cs,DECLINING,15,random,211,130
cs,DECLINING,16,vertex,211,130
cs,DECLINING,17,function,197,130
cs,DECLINING,18,set,196,130
cs,DECLINING,19,semantic,189,130
cs,DECLINING,20,node,182,130
math,GROWING,1,algorithm,549,184
math,GROWING,2,graph,453,184
math,GROWING,3,network,350,184
math,GROWING,4,vertex,338,184
math,GROWING,5,stochastic,317,184
math,GROWING,6,numerical,303,184
math,GROWING,7,function,300,184
math,GROWING,8,optimization,269,184
math,GROWING,9,control,245,184
math,GROWING,10,edge,233,184
math,GROWING,11,space,221,184
math,GROWING,12,nonlinear,215,184
math,GROWING,13,operator,211,184
math,GROWING,14,convex,202,184
math,GROWING,15,set,201,184
math,GROWING,16,convergence,200,184
math,GROWING,17,diffusion,188,184
math,GROWING,18,datum,181,184
math,GROWING,19,wave,177,184
math,GROWING,20,flow,175,184
math,STABLE,1,function,663,192
math,STABLE,2,group,632,192
math,STABLE,3,random,564,192
math,STABLE,4,space,529,192
math,STABLE,5,algebra,496,192
math,STABLE,6,operator,419,192
math,STABLE,7,distribution,404,192
math,STABLE,8,field,386,192
math,STABLE,9,manifold,372,192
math,STABLE,10,graph,361,192
math,STABLE,11,finite,359,192
math,STABLE,12,theory,347,192
math,STABLE,13,polynomial,325,192
math,STABLE,14,measure,312,192
math,STABLE,15,set,280,192
math,STABLE,16,structure,279,192
math,STABLE,17,point,276,192
math,STABLE,18,matrix,269,192
math,STABLE,19,metric,253,192
math,STABLE,20,probability,251,192
math,DECLINING,1,group,910,160
math,DECLINING,2,algebra,888,160
math,DECLINING,3,manifold,672,160
math,DECLINING,4,space,524,160
math,DECLINING,5,surface,438,160
math,DECLINING,6,algebras,410,160
math,DECLINING,7,function,388,160
math,DECLINING,8,module,381,160
math,DECLINING,9,quantum,363,160
math,DECLINING,10,operator,355,160
math,DECLINING,11,structure,328,160
math,DECLINING,12,theory,326,160
math,DECLINING,13,invariant,315,160
math,DECLINING,14,polynomial,314,160
math,DECLINING,15,curve,312,160
math,DECLINING,16,representation,310,160
math,DECLINING,17,category,299,160
math,DECLINING,18,cohomology,297,160
math,DECLINING,19,field,260,160
math,DECLINING,20,variety,252,160
physics,GROWING,1,optical,694,237
physics,GROWING,2,flow,391,237
physics,GROWING,3,quantum,377,237
physics,GROWING,4,detector,297,237
physics,GROWING,5,energy,275,237
physics,GROWING,6,light,240,237
physics,GROWING,7,fluid,233,237
physics,GROWING,8,photon,231,237
physics,GROWING,9,datum,226,237
physics,GROWING,10,photonic,225,237
physics,GROWING,11,material,212,237
physics,GROWING,12,cavity,212,237
physics,GROWING,13,electron,202,237
physics,GROWING,14,network,202,237
physics,GROWING,15,laser,201,237
physics,GROWING,16,particle,190,237
physics,GROWING,17,surface,182,237
physics,GROWING,18,image,180,237
physics,GROWING,19,temperature,172,237
physics,GROWING,20,device,164,237
physics,STABLE,1,electron,605,230
physics,STABLE,2,energy,546,230
physics,STABLE,3,quantum,501,230
physics,STABLE,4,wave,490,230
physics,STABLE,5,atom,467,230
