model,subject,trend,rank,word,freq,n_topics_in_category
DTM,math,GROWING,1,theory,80,7
DTM,math,GROWING,2,algebra,59,7
DTM,math,GROWING,3,non,56,7
DTM,math,GROWING,4,group,51,7
DTM,math,GROWING,5,manifold,48,7
DTM,math,GROWING,6,space,47,7
DTM,math,GROWING,7,finite,47,7
DTM,math,GROWING,8,invariant,47,7
DTM,math,GROWING,9,field,43,7
DTM,math,GROWING,10,class,41,7
DTM,math,GROWING,11,structure,40,7
DTM,math,GROWING,12,point,40,7
DTM,math,GROWING,13,surface,38,7
DTM,math,GROWING,14,property,38,7
DTM,math,GROWING,15,dimension,36,7
DTM,math,GROWING,16,theorem,35,7
DTM,math,GROWING,17,function,34,7
DTM,math,GROWING,18,operator,32,7
DTM,math,GROWING,19,polynomial,32,7
DTM,math,GROWING,20,dimensional,31,7
DTM,math,STABLE,1,structure,269,32
DTM,math,STABLE,2,algebra,260,32
DTM,math,STABLE,3,theory,260,32
DTM,math,STABLE,4,manifold,243,32
DTM,math,STABLE,5,space,199,32
DTM,math,STABLE,6,operator,189,32
DTM,math,STABLE,7,class,189,32
DTM,math,STABLE,8,function,188,32
DTM,math,STABLE,9,field,175,32
DTM,math,STABLE,10,non,173,32
DTM,math,STABLE,11,theorem,173,32
DTM,math,STABLE,12,dimension,171,32
DTM,math,STABLE,13,invariant,164,32
DTM,math,STABLE,14,dimensional,160,32
DTM,math,STABLE,15,finite,158,32
DTM,math,STABLE,16,polynomial,153,32
DTM,math,STABLE,17,point,144,32
DTM,math,STABLE,18,representation,141,32
DTM,math,STABLE,19,property,134,32
DTM,math,STABLE,20,set,131,32
DTM,math,DECLINING,1,algebra,98,11
DTM,math,DECLINING,2,theory,86,11
DTM,math,DECLINING,3,manifold,86,11
DTM,math,DECLINING,4,type,79,11
DTM,math,DECLINING,5,structure,78,11
DTM,math,DECLINING,6,finite,78,11
DTM,math,DECLINING,7,point,71,11
DTM,math,DECLINING,8,class,66,11
DTM,math,DECLINING,9,invariant,66,11
DTM,math,DECLINING,10,operator,64,11
DTM,math,DECLINING,11,theorem,63,11
DTM,math,DECLINING,12,space,55,11
DTM,math,DECLINING,13,polynomial,55,11
DTM,math,DECLINING,14,function,54,11
DTM,math,DECLINING,15,field,53,11
DTM,math,DECLINING,16,non,52,11
DTM,math,DECLINING,17,dimensional,51,11
DTM,math,DECLINING,18,property,51,11
DTM,math,DECLINING,19,group,49,11
DTM,math,DECLINING,20,surface,48,11
