subject,num_topics,alpha,eta,passes,chunksize,random_state,workers,coherence_cv,irbo_mean,topic_quality,time_seconds
cs,25,asymmetric,auto,15,2000,42,5,0.5217555452239566,0.9851738843027287,0.6822083729643835,193.4
cs,25,asymmetric,0.01,15,2000,42,5,0.5218988555406636,0.9847966178052239,0.6822403556194576,223.1
cs,25,0.01,auto,15,2000,42,5,0.5157719760810305,0.9824094244142714,0.6764190904829824,194.9
cs,25,0.01,0.01,15,2000,42,5,0.5185066839935412,0.9832729458364952,0.6789725795707353,218.1
cs,50,asymmetric,auto,15,2000,42,5,0.5373562851819138,0.992574186738785,0.6972421133410287,406.4
cs,50,asymmetric,0.01,15,2000,42,5,0.5374949302084321,0.9921889394191044,0.6972637096271433,413.7
cs,50,0.01,auto,15,2000,42,5,0.5381599326112658,0.9926108555154135,0.6979273386410864,255.8
cs,50,0.01,0.01,15,2000,42,5,0.5428667808070946,0.9920960935779113,0.701744676121524,320.5
cs,75,asymmetric,auto,15,2000,42,5,0.5539277974914373,0.9968610910372271,0.7121395731524237,751.4
cs,75,asymmetric,0.01,15,2000,42,5,0.5550029656721188,0.9967466557238511,0.7129982083744177,518.2
cs,75,0.01,auto,15,2000,42,5,0.5424840935514399,0.9963721693988499,0.702490630437363,667.8
cs,75,0.01,0.01,15,2000,42,5,0.5336401321804881,0.9963507363290198,0.6950273358830058,423.7
cs,150,asymmetric,auto,15,2000,42,5,0.5159294254005726,0.9986523447463054,0.6803648908964889,647.5
cs,150,asymmetric,0.01,15,2000,42,5,0.5177814570107424,0.9987115751844039,0.6819870893622816,778.3
cs,150,0.01,auto,15,2000,42,5,0.5164094002984003,0.9987053612338578,0.680794418698683,577.8
cs,150,0.01,0.01,15,2000,42,5,0.5202165492099747,0.9987952284509991,0.6841155740243823,702.6
