model,category,n_keywords,n_captured,capture_pct,avg_span_paper,avg_span_simple
DTM,all,150,87,58.0,0.00069311,12.1379
DTM,emerging,50,30,60.0,0.00050993,10.6
DTM,stable,50,28,56.0,0.00078707,16.5357
DTM,decaying,50,29,58.0,0.0007919,9.4828
LDA,all,150,145,96.67,0.74878529,16.1241
LDA,emerging,50,49,98.0,0.91599657,16.6735
LDA,stable,50,47,94.0,0.01812255,16.4043
LDA,decaying,50,49,98.0,1.28241378,15.3061
Top2Vec,all,150,149,99.33,0.62264953,16.1477
Top2Vec,emerging,50,50,100.0,0.9284756,16.0
Top2Vec,stable,50,50,100.0,0.0378188,14.44
Top2Vec,decaying,50,49,98.0,0.90734816,18.0408
BERTopic,all,150,145,96.67,0.34006657,10.7034
BERTopic,emerging,50,49,98.0,0.48968694,10.0
BERTopic,stable,50,46,92.0,0.02138067,10.5217
BERTopic,decaying,50,50,100.0,0.48662964,11.56
TopicGPT,all,150,136,90.67,0.48423743,11.4632
TopicGPT,emerging,50,48,96.0,0.67187742,12.2292
TopicGPT,stable,50,42,84.0,0.02128505,11.1429
TopicGPT,decaying,50,46,92.0,0.71113483,10.9565
