subject,model,word,gt_category,model_category,match,model_slope,model_p_value,model_r_squared,span,coverage_pct
cs,dtm,image,emerging,stable,False,0.174359,0.0596,0.1401,17,73.1
cs,dtm,dataset,emerging,emerging,True,0.196923,2e-06,0.6196,13,50.0
cs,dtm,training,emerging,emerging,True,0.104615,1.1e-05,0.5594,12,46.2
cs,dtm,deep,emerging,emerging,True,0.089231,1e-06,0.6511,11,42.3
cs,dtm,video,emerging,emerging,True,0.091282,0.0,0.6814,11,42.3
cs,dtm,learning,emerging,emerging,True,0.078632,0.0,0.6679,12,53.8
cs,dtm,llm,emerging,emerging,True,0.031453,0.006671,0.2687,3,11.5
cs,dtm,human,emerging,emerging,True,0.090256,0.0,0.7375,11,42.3
cs,dtm,datum,emerging,decaying,False,-1.187009,0.000451,0.4074,26,100.0
cs,dtm,deep_learning,emerging,emerging,True,0.101197,1.7e-05,0.5439,10,38.5
cs,dtm,detection,emerging,emerging,True,0.087179,0.0,0.6998,12,46.2
cs,dtm,prediction,emerging,emerging,True,0.070085,0.0,0.6842,11,42.3
cs,dtm,visual,emerging,emerging,True,0.090256,0.00012,0.4665,10,38.5
cs,dtm,neural_network,emerging,emerging,True,0.134017,0.0,0.7026,11,42.3
cs,dtm,multi,emerging,emerging,True,0.176752,0.000447,0.4078,18,73.1
cs,dtm,accuracy,emerging,emerging,True,0.091624,0.000858,0.3764,11,46.2
cs,dtm,benchmark,emerging,emerging,True,0.069402,8e-06,0.5706,9,34.6
cs,dtm,quality,emerging,emerging,True,0.072821,0.0,0.7386,11,42.3
cs,dtm,attention,emerging,emerging,True,0.075556,7e-06,0.5758,9,34.6
cs,dtm,transformer,emerging,emerging,True,0.059145,3.4e-05,0.5176,7,26.9
cs,dtm,network,stable,decaying,False,-1.052991,0.006073,0.2739,26,100.0
cs,dtm,graph,stable,decaying,False,-0.737094,0.011457,0.238,26,100.0
cs,dtm,design,stable,stable,True,-0.02188,0.869899,0.0011,17,88.5
cs,dtm,knowledge,stable,stable,True,-0.025641,0.480459,0.021,11,73.1
cs,dtm,space,stable,stable,True,0.005128,0.949014,0.0002,24,96.2
cs,dtm,distribution,stable,stable,True,-0.043419,0.658419,0.0083,25,96.2
cs,dtm,communication,stable,stable,True,0.038291,0.801756,0.0027,22,92.3
cs,dtm,control,stable,stable,True,0.083077,0.101992,0.1075,11,65.4
cs,dtm,rate,stable,stable,True,-0.18188,0.44779,0.0242,21,80.8
cs,dtm,language,stable,decaying,False,-0.810256,0.000113,0.4693,20,96.2
cs,dtm,machine,stable,emerging,False,0.07453,0.002692,0.3181,10,42.3
cs,dtm,key,stable,emerging,False,0.05641,0.002389,0.3244,10,46.2
cs,dtm,error,stable,stable,True,0.112479,0.350821,0.0364,21,84.6
cs,dtm,source,stable,stable,True,0.103932,0.177255,0.0745,20,80.8
cs,dtm,environment,stable,stable,True,0.035897,0.092895,0.1132,10,61.5
cs,dtm,game,stable,emerging,False,0.184957,0.028913,0.1837,12,69.2
cs,dtm,optimal,stable,stable,True,-0.108034,0.620545,0.0104,23,88.5
cs,dtm,strategy,stable,stable,True,0.076923,0.286067,0.0473,12,65.4
cs,dtm,node,stable,stable,True,0.036581,0.916764,0.0005,19,84.6
cs,dtm,local,stable,emerging,False,0.061197,0.009538,0.2485,13,57.7
cs,dtm,logic,decaying,decaying,True,-1.337436,1e-05,0.5648,9,42.3
cs,dtm,program,decaying,decaying,True,-0.95453,0.000339,0.4206,6,76.9
cs,dtm,algorithm,decaying,decaying,True,-1.962735,9e-06,0.5678,26,100.0
cs,dtm,quantum,decaying,decaying,True,-0.476923,0.005396,0.2805,8,65.4
cs,dtm,theory,decaying,decaying,True,-0.477607,7.1e-05,0.4889,26,100.0
cs,dtm,programming,decaying,decaying,True,-0.219145,0.001872,0.3371,5,38.5
cs,dtm,code,decaying,decaying,True,-0.939145,0.020724,0.2035,26,100.0
cs,dtm,rule,decaying,decaying,True,-0.265983,0.038533,0.1665,5,38.5
cs,dtm,complexity,decaying,decaying,True,-0.351111,0.048013,0.1532,26,100.0
cs,dtm,constraint,decaying,decaying,True,-0.284786,0.015286,0.2213,26,100.0
cs,dtm,polynomial,decaying,stable,False,-0.091624,0.053681,0.1464,4,38.5
cs,dtm,set,decaying,decaying,True,-1.045128,0.000169,0.4518,26,100.0
cs,dtm,protocol,decaying,stable,False,-0.080342,0.159559,0.0807,13,73.1
cs,dtm,computer,decaying,decaying,True,-0.096068,0.009683,0.2477,3,19.2
cs,dtm,grid,decaying,stable,False,-0.148034,0.174394,0.0755,2,7.7
cs,dtm,proof,decaying,decaying,True,-0.04547,0.048912,0.1521,2,19.2
cs,dtm,information,decaying,decaying,True,-1.790769,1e-06,0.6567,26,100.0
cs,dtm,finite,decaying,stable,False,-0.033846,0.1335,0.0913,3,23.1
cs,dtm,function,decaying,decaying,True,-0.929915,0.000957,0.3711,26,100.0
cs,dtm,database,decaying,decaying,True,-0.073504,0.003781,0.2999,4,19.2
