subject,model,n_topics,coherence
cs,sentence-transformers/all-MiniLM-L6-v2,188,0.7090705782397858
cs,all-distilroberta-v1,216,0.7149054807864217
cs,intfloat/e5-base-v2,170,0.7034509729516462
cs,all-mpnet-base-v2,205,0.7007647940857529
cs,BAAI/bge-base-en-v1.5,195,0.7082774998784301
cs,allenai/specter2,184,0.7068348792412413
math,sentence-transformers/all-MiniLM-L6-v2,124,0.6909726754372819
math,all-distilroberta-v1,120,0.6806446832863859
math,intfloat/e5-base-v2,105,0.6776634498409402
math,all-mpnet-base-v2,130,0.6817521574830203
math,BAAI/bge-base-en-v1.5,133,0.6825051499414708
math,allenai/specter2,81,0.6456717273419589
physics,sentence-transformers/all-MiniLM-L6-v2,171,0.725468163719559
physics,all-distilroberta-v1,170,0.7243350980888978
physics,intfloat/e5-base-v2,129,0.7072681172542108
physics,all-mpnet-base-v2,186,0.7178877907757101
physics,BAAI/bge-base-en-v1.5,151,0.7142518325005109
physics,allenai/specter2,123,0.7143143920585591
