subject,min_cluster_size,min_samples,n_neighbors,n_components,n_topics,irbo_mean
math,100,20,15,10,191,0.9971717062716586
math,100,20,25,5,194,0.9971821957429274
math,100,20,25,10,192,0.9972182012455897
math,150,5,10,5,176,0.9969577055859217
math,150,5,10,10,183,0.996965648104943
math,150,5,15,5,158,0.9967866295164383
math,150,5,15,10,162,0.9967972963618166
math,150,5,25,5,150,0.9967357729407985
math,150,5,25,10,140,0.9965690960247569
math,150,10,10,5,170,0.9966764251997252
math,150,10,10,10,164,0.9967548738503671
math,150,10,15,5,150,0.9969681197921183
math,150,10,15,10,158,0.996987721236117
math,150,10,25,5,134,0.9967495702087705
math,150,10,25,10,137,0.996929927813372
math,150,20,10,5,168,0.9966014801375381
math,150,20,10,10,164,0.9967650194116732
math,150,20,15,5,139,0.9969341339998515
math,150,20,15,10,146,0.9968879991204994
math,150,20,25,5,140,0.9971289089672749
math,150,20,25,10,145,0.9969088449071078
math,200,5,10,5,140,0.9966014319692222
math,200,5,10,10,128,0.9964941326174623
math,200,5,15,5,114,0.9964103782934915
math,200,5,15,10,123,0.9966148656574673
math,200,5,25,5,121,0.9963872188757159
math,200,5,25,10,118,0.9962325114352883
math,200,10,10,5,138,0.9963005828928838
math,200,10,10,10,117,0.996094069792576
math,200,10,15,5,120,0.9968681969159483
math,200,10,15,10,120,0.9963372148260398
math,200,10,25,5,112,0.9964199367996628
math,200,10,25,10,107,0.9964699900517942
math,200,20,10,5,125,0.9961370622226229
math,200,20,10,10,118,0.9965129171765069
math,200,20,15,5,115,0.9968256705993074
math,200,20,15,10,114,0.9963748457321493
math,200,20,25,5,117,0.9965091289707617
math,200,20,25,10,113,0.996264443867783
