subject,model,min_cluster_size,min_samples,n_neighbors,n_components,n_topics,coherence,outlier_ratio,irbo_mean,topic_quality
cs,all-distilroberta-v1,100,5,10,5,298,0.728100795156693,0.3337194430367528,0.9976706261945076,0.8418319683008251
cs,all-distilroberta-v1,100,5,10,10,301,0.7278998672778881,0.3461956128284948,0.9977095907816176,0.8417115185825229
cs,all-distilroberta-v1,100,5,15,5,292,0.7302953672549292,0.3762096093052438,0.99759182898056,0.8432688114167658
cs,all-distilroberta-v1,100,5,15,10,288,0.7307526842867023,0.3819590241077246,0.9975709076315724,0.8435661260736455
cs,all-distilroberta-v1,100,5,25,5,270,0.7289180519177527,0.3999010593884987,0.9976303795571791,0.8423636192812416
cs,all-distilroberta-v1,100,5,25,10,256,0.7340171887378534,0.3729638746108738,0.997436132564262,0.8456887135944091
cs,all-distilroberta-v1,100,10,10,5,276,0.7291080917428402,0.3307572576558314,0.9976015114271092,0.8424802097365799
cs,all-distilroberta-v1,100,10,10,10,306,0.72822961879774,0.367558338763001,0.9977722755984748,0.8419542600330815
cs,all-distilroberta-v1,100,10,15,5,273,0.7331797198158803,0.3747496319891889,0.9975270154626508,0.8451652296689944
cs,all-distilroberta-v1,100,10,15,10,286,0.7306273672192565,0.3790330365114988,0.9976657428819904,0.8435165202319306
cs,all-distilroberta-v1,100,10,25,5,261,0.7364399752236515,0.4055479138010087,0.9976287907924632,0.8473639989047302
cs,all-distilroberta-v1,100,10,25,10,259,0.7306340966019471,0.4160814691474215,0.9976956853335376,0.8435317071502503
cs,all-distilroberta-v1,100,20,10,5,277,0.7279828545551771,0.3561741354762421,0.9976490103513548,0.8417454373318087
cs,all-distilroberta-v1,100,20,10,10,279,0.7288633711098996,0.3519208957745119,0.997533230279628,0.842292474893154
cs,all-distilroberta-v1,100,20,15,5,270,0.7286362485843053,0.3844385723593716,0.9975883303192092,0.8421604320997187
cs,all-distilroberta-v1,100,20,15,10,266,0.7308921934447529,0.3752744998672748,0.9975701847029558,0.843658814482247
cs,all-distilroberta-v1,100,20,25,5,243,0.7345492403871755,0.4123289654673134,0.9975245119605676,0.846073524912021
cs,all-distilroberta-v1,100,20,25,10,229,0.731401924249532,0.3552148941818094,0.9973827154573532,0.8439311878921089
cs,all-distilroberta-v1,150,5,10,5,210,0.729995898363461,0.3189447139168416,0.9972163431968936,0.8429350172473339
cs,all-distilroberta-v1,150,5,10,10,216,0.729215969261507,0.3378640893843963,0.9971945139278492,0.8424070301899301
cs,all-distilroberta-v1,150,5,15,5,202,0.7351862140784501,0.3652115157219044,0.9973668181201948,0.8464391235756248
cs,all-distilroberta-v1,150,5,15,10,213,0.7318491968472246,0.3781401578223413,0.9973450332009862,0.8442153563135129
cs,all-distilroberta-v1,150,5,25,5,197,0.7321878953517325,0.3994485870798041,0.9973944289380748,0.8444583614250061
cs,all-distilroberta-v1,150,5,25,10,193,0.7293234851019189,0.3704601945027631,0.9973079966716888,0.8425192654375324
cs,all-distilroberta-v1,150,10,10,5,196,0.7301830419696274,0.3291283573445305,0.9971717424340144,0.8430438295952044
cs,all-distilroberta-v1,150,10,10,10,208,0.7272518908621883,0.3469014696300586,0.997182492059804,0.8410906904515918
cs,all-distilroberta-v1,150,10,15,5,197,0.7321672293461695,0.3438548227515143,0.9972133970216784,0.8443797262811967
cs,all-distilroberta-v1,150,10,15,10,202,0.7241672849600316,0.3730483361084968,0.997308547384857,0.8390686752115059
cs,all-distilroberta-v1,150,10,25,5,187,0.7325621024899827,0.3979644779072854,0.9971879073174632,0.8446331155603064
cs,all-distilroberta-v1,150,10,25,10,177,0.7213953226655598,0.3761010159511571,0.9974131188492726,0.8372418255858609
cs,all-distilroberta-v1,150,20,10,5,208,0.7329197697415525,0.3562103332609377,0.9973000240384752,0.8449110414863887
cs,all-distilroberta-v1,150,20,10,10,196,0.729763411271353,0.3345097613359395,0.9971198365161,0.8427455350842391
cs,all-distilroberta-v1,150,20,15,5,206,0.7310069292492083,0.3846497261034291,0.9974075238594884,0.8436770589544805
cs,all-distilroberta-v1,150,20,15,10,197,0.7300220480553659,0.3690484808996356,0.9974037596412664,0.8430194015942496
cs,all-distilroberta-v1,150,20,25,5,184,0.7321335535626382,0.3922995246024277,0.9972712902739044,0.844378083265321
cs,all-distilroberta-v1,150,20,25,10,172,0.7250000294927514,0.3343770361253891,0.9970456490994358,0.8395342051479888
cs,all-distilroberta-v1,200,5,10,5,171,0.7259663124948154,0.3321086416177997,0.9970675399514404,0.8401894649477315
cs,all-distilroberta-v1,200,5,10,10,171,0.722130631314175,0.3165435941987017,0.9967632253372448,0.8375075103075513
cs,all-distilroberta-v1,200,5,15,5,174,0.732702740873839,0.3692053379666498,0.9971447888763448,0.8447111173587358
cs,all-distilroberta-v1,200,5,15,10,172,0.7300730839535909,0.3860433408142088,0.9969116517961544,0.8428775877282031
cs,all-distilroberta-v1,200,5,25,5,157,0.7257619653836731,0.4051075074205458,0.9969491876727556,0.8400105851167438
cs,all-distilroberta-v1,200,5,25,10,139,0.7166704326567781,0.3324585535365235,0.9967578463537592,0.8338217429362198
cs,all-distilroberta-v1,200,10,10,5,168,0.7252480338425045,0.339348198556915,0.9969831450946,0.8396782901122718
cs,all-distilroberta-v1,200,10,10,10,163,0.7156302914746551,0.306341851878665,0.9967258713762848,0.8331061508439606
cs,all-distilroberta-v1,200,10,15,5,154,0.7262315529032624,0.3447899321894833,0.996662255196135,0.8402230873528088
cs,all-distilroberta-v1,200,10,15,10,166,0.7254185100524209,0.3756123458577668,0.9970265258521832,0.8398079262791517
cs,all-distilroberta-v1,200,10,25,5,158,0.7256178580204924,0.4091737252346823,0.9969504926127658,0.8399145157127825
cs,all-distilroberta-v1,200,10,25,10,146,0.7190920514131778,0.3727828856873959,0.9969982581036868,0.8355428833777231
cs,all-distilroberta-v1,200,20,10,5,165,0.7198758225384508,0.3265522816670286,0.9967555426617676,0.8359863750476328
