model,subject,trend,rank,word,freq,n_topics_in_category
Top2Vec,cs,GROWING,1,image,703,176
Top2Vec,cs,GROWING,2,datum,530,176
Top2Vec,cs,GROWING,3,dataset,406,176
Top2Vec,cs,GROWING,4,network,335,176
Top2Vec,cs,GROWING,5,algorithm,219,176
Top2Vec,cs,GROWING,6,object,194,176
Top2Vec,cs,GROWING,7,training,184,176
Top2Vec,cs,GROWING,8,detection,184,176
Top2Vec,cs,GROWING,9,classification,175,176
Top2Vec,cs,GROWING,10,video,171,176
Top2Vec,cs,GROWING,11,visual,169,176
Top2Vec,cs,GROWING,12,language,163,176
Top2Vec,cs,GROWING,13,human,154,176
Top2Vec,cs,GROWING,14,motion,154,176
Top2Vec,cs,GROWING,15,learning,148,176
Top2Vec,cs,GROWING,16,neural_network,147,176
Top2Vec,cs,GROWING,17,recognition,146,176
Top2Vec,cs,GROWING,18,text,140,176
Top2Vec,cs,GROWING,19,robot,135,176
Top2Vec,cs,GROWING,20,deep,131,176
Top2Vec,cs,STABLE,1,algorithm,308,85
Top2Vec,cs,STABLE,2,datum,304,85
Top2Vec,cs,STABLE,3,network,300,85
Top2Vec,cs,STABLE,4,channel,192,85
Top2Vec,cs,STABLE,5,agent,145,85
Top2Vec,cs,STABLE,6,image,113,85
Top2Vec,cs,STABLE,7,document,106,85
Top2Vec,cs,STABLE,8,language,105,85
Top2Vec,cs,STABLE,9,code,105,85
Top2Vec,cs,STABLE,10,text,93,85
Top2Vec,cs,STABLE,11,query,90,85
Top2Vec,cs,STABLE,12,communication,88,85
Top2Vec,cs,STABLE,13,social,88,85
Top2Vec,cs,STABLE,14,security,85,85
Top2Vec,cs,STABLE,15,node,83,85
Top2Vec,cs,STABLE,16,word,80,85
Top2Vec,cs,STABLE,17,wireless,78,85
Top2Vec,cs,STABLE,18,graph,78,85
Top2Vec,cs,STABLE,19,dataset,76,85
Top2Vec,cs,STABLE,20,matrix,71,85
Top2Vec,cs,DECLINING,1,algorithm,272,44
Top2Vec,cs,DECLINING,2,network,154,44
Top2Vec,cs,DECLINING,3,protocol,153,44
Top2Vec,cs,DECLINING,4,language,150,44
Top2Vec,cs,DECLINING,5,graph,134,44
Top2Vec,cs,DECLINING,6,quantum,132,44
Top2Vec,cs,DECLINING,7,semantic,114,44
Top2Vec,cs,DECLINING,8,datum,100,44
Top2Vec,cs,DECLINING,9,vertex,97,44
Top2Vec,cs,DECLINING,10,logic,95,44
Top2Vec,cs,DECLINING,11,security,85,44
Top2Vec,cs,DECLINING,12,node,81,44
Top2Vec,cs,DECLINING,13,polynomial,79,44
Top2Vec,cs,DECLINING,14,classical,75,44
Top2Vec,cs,DECLINING,15,tree,73,44
Top2Vec,cs,DECLINING,16,edge,73,44
Top2Vec,cs,DECLINING,17,function,72,44
Top2Vec,cs,DECLINING,18,program,69,44
Top2Vec,cs,DECLINING,19,word,68,44
Top2Vec,cs,DECLINING,20,information,67,44
