subject,k,alpha_var,phi_var,train_iter,eta_var,lr_a,lr_b,lr_c,min_cf,min_df,seed,coherence_cv,irbo_aggregated,irbo_tp_min,irbo_tp_max,topic_quality,ll_per_word,time_seconds
physics,50,0.01,0.1,500,0.01,0.01,0.1,0.55,5,3,42,0.4119471259904826,0.8900391671152885,0.5527277434101867,0.9715526877997727,0.5632149567988117,-10.418499672785838,537.7
physics,50,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4098973269433632,0.8910609807721923,0.5502279638708572,0.9729669979752013,0.5614991840951614,-11.296404745087587,538.8
physics,50,0.01,0.1,1000,0.01,0.01,0.1,0.55,5,3,42,0.409504047623091,0.932066823944385,0.5494580410554226,0.9819008338212653,0.5690122604025654,-10.10944146942317,1018.4
physics,50,0.01,0.1,1000,0.1,0.01,0.1,0.55,5,3,42,0.4124611118039284,0.9320230877638775,0.545889774377586,0.9821879596653879,0.5718524310357755,-10.954955499588538,1027.5
physics,50,0.1,0.1,500,0.01,0.01,0.1,0.55,5,3,42,0.41589476809485265,0.8916910316501983,0.5401891342308223,0.970965602852169,0.5672279935935772,-10.410580628408265,543.5
physics,50,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4111912161414911,0.8929263298049854,0.546390623330828,0.9713884029089329,0.5630833886385563,-11.290483294310661,535.2
physics,50,0.1,0.1,1000,0.01,0.01,0.1,0.55,5,3,42,0.41110780667031593,0.9323870392366005,0.5699419020335336,0.983045262618338,0.5706186247549568,-10.102201859792643,1029.3
physics,50,0.1,0.1,1000,0.1,0.01,0.1,0.55,5,3,42,0.4125444511537059,0.9291990670536503,0.5490009882758368,0.982273159123586,0.5713996958857558,-10.948576048962606,1026.1
physics,60,0.01,0.1,500,0.01,0.01,0.1,0.55,5,3,42,0.4065646264177695,0.8387855198002543,0.5692790093641849,0.9582251042148506,0.5476701031237883,-10.277300014500375,596.7
physics,60,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4049657197471836,0.8237907755891,0.574019400186699,0.9589578023553027,0.5429994073255818,-11.348605982628282,594.6
physics,60,0.01,0.1,1000,0.01,0.01,0.1,0.55,5,3,42,0.40999855594893314,0.9073734698546528,0.5941809630656013,0.97304478257,0.5647938548260129,-9.954380823766964,1174.6
physics,60,0.01,0.1,1000,0.1,0.01,0.1,0.55,5,3,42,0.4157235511499783,0.9030187713956578,0.5545516347803148,0.9723900823220459,0.5693396867327765,-10.993608241796629,1175.6
physics,60,0.1,0.1,500,0.01,0.01,0.1,0.55,5,3,42,0.41284551763746496,0.8450125682882204,0.5759439602078531,0.9563856895982324,0.5546884105107621,-10.294583615644033,599.8
physics,60,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4085711530623378,0.8327338670166021,0.5570585027581799,0.9612505737755165,0.5481828087981081,-11.349069532293091,598.3
physics,60,0.1,0.1,1000,0.01,0.01,0.1,0.55,5,3,42,0.4099432061257902,0.9121957763290112,0.5771891071249717,0.9724229138379217,0.5656719393726868,-9.958872186145998,1172.3
physics,60,0.1,0.1,1000,0.1,0.01,0.1,0.55,5,3,42,0.4114959994922828,0.9075517844470622,0.590677178766368,0.9750044824010169,0.5662477632413376,-11.004901208752818,1172.9
physics,75,0.01,0.1,500,0.01,0.01,0.1,0.55,5,3,42,0.40681919569057884,0.727343152424067,0.5932315758527517,0.9325457508351197,0.5217897715474126,-10.008024147872499,725.1
physics,75,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.40576961947846885,0.733022046326646,0.6038970297687155,0.9358578012801569,0.5223748745948291,-11.34224418397646,713.4
physics,75,0.01,0.1,1000,0.01,0.01,0.1,0.55,5,3,42,0.41671558207228243,0.81509664273626,0.6123959377499227,0.96263551437887,0.5514857948025266,-9.671660005001648,1410.5
physics,75,0.01,0.1,1000,0.1,0.01,0.1,0.55,5,3,42,0.4117772488248139,0.8326231056691299,0.6209994250075779,0.9603924231968212,0.5510368918206142,-10.988059716415274,1410.1
physics,75,0.1,0.1,500,0.01,0.01,0.1,0.55,5,3,42,0.4224957054052878,0.7178680490788932,0.5995946643302033,0.9398954763268135,0.531928810593764,-10.002200555337161,729.8
physics,75,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.41260835314242605,0.7301480116984119,0.5973765227803371,0.9408538704614877,0.5272605393872535,-11.339821831343817,734.8
physics,75,0.1,0.1,1000,0.01,0.01,0.1,0.55,5,3,42,0.4148557640851224,0.8210772839106976,0.623214584195009,0.9600026434206692,0.5512088936242466,-9.672674587294201,1404.0
physics,75,0.1,0.1,1000,0.1,0.01,0.1,0.55,5,3,42,0.4143718525964541,0.8222099291714852,0.61761708212383,0.9614779526459382,0.5510361815081707,-10.990202208297726,1399.3
