model,subject,trend,rank,word,freq,n_topics_in_category
Top2Vec,physics,GROWING,1,optical,360,91
Top2Vec,physics,GROWING,2,flow,228,91
Top2Vec,physics,GROWING,3,quantum,180,91
Top2Vec,physics,GROWING,4,detector,147,91
Top2Vec,physics,GROWING,5,fluid,136,91
Top2Vec,physics,GROWING,6,material,128,91
Top2Vec,physics,GROWING,7,network,116,91
Top2Vec,physics,GROWING,8,device,113,91
Top2Vec,physics,GROWING,9,datum,112,91
Top2Vec,physics,GROWING,10,particle,111,91
Top2Vec,physics,GROWING,11,energy,109,91
Top2Vec,physics,GROWING,12,temperature,107,91
Top2Vec,physics,GROWING,13,cavity,100,91
Top2Vec,physics,GROWING,14,laser,97,91
Top2Vec,physics,GROWING,15,light,96,91
Top2Vec,physics,GROWING,16,beam,95,91
Top2Vec,physics,GROWING,17,photon,92,91
Top2Vec,physics,GROWING,18,surface,92,91
Top2Vec,physics,GROWING,19,electron,90,91
Top2Vec,physics,GROWING,20,molecule,90,91
Top2Vec,physics,STABLE,1,flow,243,63
Top2Vec,physics,STABLE,2,network,179,63
Top2Vec,physics,STABLE,3,electron,171,63
Top2Vec,physics,STABLE,4,optical,168,63
Top2Vec,physics,STABLE,5,fluid,165,63
Top2Vec,physics,STABLE,6,plasma,162,63
Top2Vec,physics,STABLE,7,laser,154,63
Top2Vec,physics,STABLE,8,ion,143,63
Top2Vec,physics,STABLE,9,wave,136,63
Top2Vec,physics,STABLE,10,quantum,129,63
Top2Vec,physics,STABLE,11,beam,121,63
Top2Vec,physics,STABLE,12,social,111,63
Top2Vec,physics,STABLE,13,energy,96,63
Top2Vec,physics,STABLE,14,magnetic_field,96,63
Top2Vec,physics,STABLE,15,atom,94,63
Top2Vec,physics,STABLE,16,detector,93,63
Top2Vec,physics,STABLE,17,turbulence,91,63
Top2Vec,physics,STABLE,18,particle,88,63
Top2Vec,physics,STABLE,19,mode,88,63
Top2Vec,physics,STABLE,20,magnetic,86,63
Top2Vec,physics,DECLINING,1,energy,260,53
Top2Vec,physics,DECLINING,2,electron,209,53
Top2Vec,physics,DECLINING,3,quantum,193,53
Top2Vec,physics,DECLINING,4,atom,174,53
Top2Vec,physics,DECLINING,5,laser,148,53
Top2Vec,physics,DECLINING,6,beam,144,53
Top2Vec,physics,DECLINING,7,field,119,53
Top2Vec,physics,DECLINING,8,dynamic,111,53
Top2Vec,physics,DECLINING,9,particle,109,53
Top2Vec,physics,DECLINING,10,molecule,103,53
Top2Vec,physics,DECLINING,11,optical,102,53
Top2Vec,physics,DECLINING,12,wave,102,53
Top2Vec,physics,DECLINING,13,gravitational,101,53
Top2Vec,physics,DECLINING,14,protein,100,53
Top2Vec,physics,DECLINING,15,theory,95,53
Top2Vec,physics,DECLINING,16,relativistic,90,53
Top2Vec,physics,DECLINING,17,force,87,53
Top2Vec,physics,DECLINING,18,ion,75,53
Top2Vec,physics,DECLINING,19,turbulence,73,53
Top2Vec,physics,DECLINING,20,network,73,53
