subject,category,n_keywords,avg_span,max_span,min_span,avg_coverage_pct,n_never_captured,n_full_span
physics,emerging,20,10.4,26,0,47.32,3,2
physics,stable,20,11.5,26,0,53.66,5,4
physics,decaying,20,7.75,26,0,49.42,3,1
