subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
cs,learning,emerging,16,23,2010,26,88.5,421,18.3,"[0, 2, 3, 1, 1, 0, 1, 1, 1, 0, 2, 4, 7, 5, 9, 9, 19, 26, 34, 38, 46, 49, 46, 43, 41, 33]",·████·███·████████████████
cs,deep,emerging,13,13,2013,26,50.0,138,10.62,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 11, 15, 20, 19, 17, 15, 15, 8, 8, 3, 4]",·············█████████████
cs,training,emerging,13,15,2013,26,57.7,112,7.47,"[0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5, 1, 4, 5, 12, 11, 12, 15, 16, 12, 13]",·█···█·······█████████████
cs,models,emerging,14,18,2012,26,69.2,271,15.06,"[0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 3, 3, 1, 7, 4, 5, 5, 13, 17, 20, 24, 46, 50, 68]",·█·█···█··█·██████████████
cs,image,emerging,18,19,2008,26,73.1,232,12.21,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 5, 5, 9, 11, 16, 21, 21, 22, 23, 26, 22, 23, 20]",····█···██████████████████
cs,neural,emerging,11,15,2015,26,57.7,152,10.13,"[0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 3, 0, 7, 12, 17, 14, 20, 16, 14, 15, 11, 11, 8]",·····█··█··█·█·███████████
cs,dataset,emerging,10,10,2016,26,38.5,29,2.9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 4, 3, 2, 3, 1, 5, 5]",················██████████
cs,datasets,emerging,4,8,2022,26,30.8,11,1.38,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 4, 1]",········█·····█·█··█··████
cs,detection,emerging,13,14,2013,26,53.8,72,5.14,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4, 3, 8, 4, 7, 6, 8, 5, 7, 6, 6, 6]",·······█·····█████████████
cs,tasks,emerging,10,17,2016,26,65.4,65,3.82,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 0, 1, 4, 1, 3, 4, 6, 9, 11, 10, 8]",·██······█·████·██████████
