subject,category,n_keywords,avg_span,max_span,min_span,avg_coverage_pct,n_never_captured,n_full_span
cs,emerging,20,11.15,25,0,51.74,1,0
cs,stable,20,4.8,17,0,31.91,1,0
cs,decaying,20,6.35,25,0,47.51,2,0
