subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
math,mathbb,emerging,22,22,2004,26,84.6,293,13.32,"[0, 0, 0, 0, 2, 1, 2, 4, 1, 4, 2, 2, 3, 3, 18, 16, 21, 19, 19, 22, 21, 26, 25, 25, 27, 30]",····██████████████████████
math,mathcal,emerging,17,23,2009,26,88.5,189,8.22,"[1, 0, 3, 0, 1, 4, 2, 2, 0, 6, 2, 3, 1, 3, 8, 8, 10, 10, 11, 14, 16, 11, 15, 17, 19, 22]",█·█·████·█████████████████
math,mathrm,emerging,12,12,2014,26,46.2,66,5.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 6, 3, 6, 6, 7, 5, 5, 9, 12]",··············████████████
math,frac,emerging,13,19,2013,26,73.1,46,2.42,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 2, 0, 2, 3, 2, 3, 2, 4, 3, 4, 4, 1, 2, 5, 4]",·█···██··███·█████████████
math,optimization,emerging,16,16,2010,26,61.5,64,4.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 4, 4, 3, 3, 4, 4, 5, 4, 5, 5, 4, 5, 5, 5]",··········████████████████
math,method,emerging,12,13,2014,26,50.0,32,2.46,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 4, 3, 3, 1, 2, 1, 3, 3, 4, 3]",···········█··████████████
math,time,emerging,19,24,2007,26,92.3,84,3.5,"[1, 1, 0, 1, 1, 1, 0, 2, 4, 2, 1, 3, 4, 5, 4, 4, 5, 4, 4, 7, 6, 7, 3, 3, 6, 5]",██·███·███████████████████
math,optimal,emerging,1,2,2010,26,7.7,2,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",··········█······█········
math,control,emerging,1,3,2006,26,11.5,3,1.0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",······█···█··█············
math,numerical,emerging,15,19,2011,26,73.1,21,1.11,"[0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",····██··██·███████████████
math,convergence,emerging,12,19,2014,26,73.1,59,3.11,"[0, 0, 1, 0, 0, 2, 0, 2, 1, 0, 1, 3, 1, 0, 2, 3, 3, 4, 4, 3, 5, 4, 5, 4, 5, 6]",··█··█·██·███·████████████
math,data,emerging,2,5,2017,26,19.2,6,1.2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1]",·················██··█··██
math,problem,emerging,4,10,2019,26,38.5,17,1.7,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 3, 0, 1, 3, 2, 2, 0, 0, 2]",···█·······██·█··█·████··█
math,stochastic,emerging,19,23,2007,26,88.5,50,2.17,"[1, 0, 0, 1, 1, 1, 0, 1, 2, 1, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 3, 3, 3, 4, 3, 3]",█··███·███████████████████
math,learning,emerging,10,11,2016,26,42.3,33,3.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 3, 2, 5, 3, 4, 4, 5, 3]",··············█·██████████
math,problems,emerging,15,17,2011,26,65.4,37,2.18,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 3, 3, 3, 1, 3, 2, 3, 3, 3, 2, 3, 3]",··█·····█··███████████████
