subject,model,n_topics,coherence,irbo_mean,topic_quality
cs,allenai/specter2,1,0.2972083776312877,0.0,0.0
cs,sentence-transformers/all-MiniLM-L6-v2,808,0.5718129431098385,0.9937819602606004,0.7259315756364876
cs,all-distilroberta-v1,834,0.4809736925445047,0.9824169330574192,0.645783417830107
cs,intfloat/e5-base-v2,1,0.2439822215431515,0.0,0.0
cs,all-mpnet-base-v2,1031,0.4928025055309804,0.9849950441645636,0.656934403227153
cs,BAAI/bge-base-en-v1.5,92,0.4633674471268517,0.9875601981577472,0.630773353022279
math,allenai/specter2,1,0.5622193876202463,0.0,0.0
math,sentence-transformers/all-MiniLM-L6-v2,642,0.541478786991601,0.992713714892644,0.7007379028509316
math,all-distilroberta-v1,690,0.4663986456342795,0.9890790805950068,0.633888290148988
math,intfloat/e5-base-v2,1,0.3099865300535233,0.0,0.0
math,all-mpnet-base-v2,746,0.4805135180069327,0.9901248613914758,0.6470229351799813
math,BAAI/bge-base-en-v1.5,31,0.436915202529024,0.9832351018515636,0.6049928128508785
physics,allenai/specter2,1,0.3205091437106296,0.0,0.0
physics,sentence-transformers/all-MiniLM-L6-v2,687,0.6354415263988631,0.9937543071125936,0.7751956404357333
physics,all-distilroberta-v1,719,0.454945803026472,0.9878671104444456,0.6229858239394637
physics,intfloat/e5-base-v2,1,0.1187239346675183,0.0,0.0
physics,all-mpnet-base-v2,810,0.5563892332907049,0.9892730660879944,0.7122136355102837
physics,BAAI/bge-base-en-v1.5,76,0.4494536266875023,0.9916872971125594,0.6185619252999626
