subject,model,n_topics,coherence
cs,allenai/specter2,1,0.2972083776312877
cs,sentence-transformers/all-MiniLM-L6-v2,808,0.5718129431098385
cs,all-distilroberta-v1,834,0.4809736925445047
cs,intfloat/e5-base-v2,1,0.24398222154315158
cs,all-mpnet-base-v2,1031,0.49280250553098043
cs,BAAI/bge-base-en-v1.5,92,0.4633674471268517
math,allenai/specter2,1,0.5622193876202463
math,sentence-transformers/all-MiniLM-L6-v2,642,0.541478786991601
math,all-distilroberta-v1,690,0.4663986456342795
math,intfloat/e5-base-v2,1,0.30998653005352333
math,all-mpnet-base-v2,746,0.48051351800693276
math,BAAI/bge-base-en-v1.5,31,0.43691520252902405
physics,allenai/specter2,1,0.3205091437106296
physics,sentence-transformers/all-MiniLM-L6-v2,687,0.6354415263988631
physics,all-distilroberta-v1,719,0.45494580302647203
physics,intfloat/e5-base-v2,1,0.11872393466751832
physics,all-mpnet-base-v2,810,0.5563892332907049
physics,BAAI/bge-base-en-v1.5,76,0.4494536266875023
