subject,model,n_topics,irbo_mean
cs,allenai/specter2,1,0.0
cs,sentence-transformers/all-MiniLM-L6-v2,808,0.9937819602606004
cs,all-distilroberta-v1,834,0.9824169330574192
cs,intfloat/e5-base-v2,1,0.0
cs,all-mpnet-base-v2,1031,0.9849950441645635
cs,BAAI/bge-base-en-v1.5,92,0.9875601981577473
math,allenai/specter2,1,0.0
math,sentence-transformers/all-MiniLM-L6-v2,642,0.992713714892644
math,all-distilroberta-v1,690,0.9890790805950068
math,intfloat/e5-base-v2,1,0.0
math,all-mpnet-base-v2,746,0.9901248613914758
math,BAAI/bge-base-en-v1.5,31,0.9832351018515637
physics,allenai/specter2,1,0.0
physics,sentence-transformers/all-MiniLM-L6-v2,687,0.9937543071125936
physics,all-distilroberta-v1,719,0.9878671104444455
physics,intfloat/e5-base-v2,1,0.0
physics,all-mpnet-base-v2,810,0.9892730660879943
physics,BAAI/bge-base-en-v1.5,76,0.9916872971125594
