subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_mismatch,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_mismatch,pct_disappear
physics,2000,2001,108,114,0,23,3,4,78,3,85,0.0,21.3,2.78,3.7,72.22
physics,2001,2002,114,128,1,22,0,4,87,0,103,0.88,19.3,0.0,3.51,76.32
physics,2002,2003,128,125,0,20,1,3,104,1,101,0.0,15.62,0.78,2.34,81.25
physics,2003,2004,125,158,0,28,0,4,93,0,126,0.0,22.4,0.0,3.2,74.4
physics,2004,2005,158,157,0,30,1,7,120,1,120,0.0,18.99,0.63,4.43,75.95
physics,2005,2006,157,174,2,44,2,3,106,2,124,1.27,28.03,1.27,1.91,67.52
physics,2006,2007,174,182,3,56,1,3,111,1,120,1.72,32.18,0.57,1.72,63.79
physics,2007,2008,182,191,5,54,3,8,112,4,121,2.75,29.67,1.65,4.4,61.54
physics,2008,2009,191,196,4,57,4,5,121,4,127,2.09,29.84,2.09,2.62,63.35
physics,2009,2010,196,209,7,74,0,3,112,0,125,3.57,37.76,0.0,1.53,57.14
physics,2010,2011,209,219,8,80,8,13,100,8,111,3.83,38.28,3.83,6.22,47.85
physics,2011,2012,219,223,10,107,7,11,84,7,90,4.57,48.86,3.2,5.02,38.36
physics,2012,2013,223,222,13,107,3,4,96,3,95,5.83,47.98,1.35,1.79,43.05
physics,2013,2014,222,221,20,97,9,10,86,9,85,9.01,43.69,4.05,4.5,38.74
physics,2014,2015,221,224,17,112,8,9,75,8,78,7.69,50.68,3.62,4.07,33.94
physics,2015,2016,224,228,16,115,8,10,75,8,79,7.14,51.34,3.57,4.46,33.48
physics,2016,2017,228,231,26,126,8,8,60,8,63,11.4,55.26,3.51,3.51,26.32
physics,2017,2018,231,231,29,120,7,9,66,7,66,12.55,51.95,3.03,3.9,28.57
physics,2018,2019,231,232,36,119,10,11,55,10,56,15.58,51.52,4.33,4.76,23.81
physics,2019,2020,232,231,39,128,9,10,46,9,45,16.81,55.17,3.88,4.31,19.83
physics,2020,2021,231,232,36,131,11,12,41,11,42,15.58,56.71,4.76,5.19,17.75
physics,2021,2022,232,232,38,124,10,12,48,10,48,16.38,53.45,4.31,5.17,20.69
physics,2022,2023,232,231,41,121,10,10,50,10,49,17.67,52.16,4.31,4.31,21.55
physics,2023,2024,231,231,43,126,8,10,44,8,44,18.61,54.55,3.46,4.33,19.05
physics,2024,2025,231,232,54,127,8,10,32,8,33,23.38,54.98,3.46,4.33,13.85
