subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
physics,2000,2001,99,2,"[57, 99]","[0.2198, 0.3138]","dna, unzipping, sequence, rna, folding, disorder, overwinding, strand, stranded, force"
physics,2000,2001,82,2,"[64, 151]","[0.2703, 0.2703]","gravitational, zero, instantaneous, relativity, gravity, macroquantum, argued, point, weyl, shown"
physics,2000,2001,72,2,"[72, 82]","[0.3769, 0.2703]","relativity, morley, michelson, lorentz, photographable, contraction, special, transformations, true, lt"
physics,2002,2003,176,2,"[162, 176]","[0.2353, 0.2087]","fibers, photonic, cut, bandgap, silica, crystal, airguiding, airhole, off, honeycomb"
physics,2004,2005,14,2,"[14, 33]","[0.4327, 0.2956]","plasma, waves, plasmas, nonlinear, instability, omega, relativistic, boxitree, maxwellian, covariant"
physics,2005,2006,10,2,"[10, 111]","[0.5926, 0.2236]","market, price, stock, markets, returns, financial, prices, volatility, stocks, exchange"
physics,2005,2006,14,2,"[14, 209]","[0.5209, 0.3956]","plasma, plasmas, waves, magnetized, electromagnetic, cold, alfv, solitary, magnetoacoustic, oscillations"
physics,2006,2007,95,2,"[95, 108]","[0.4278, 0.3274]","wakefield, beatwave, laser, plasma, pulses, petawatt, monoenergetic, pulse, pw, injection"
physics,2007,2008,147,2,"[78, 147]","[0.2703, 0.3706]","traffic, car, vehicle, lane, driver, mainline, drivers, travel, diversion, freeway"
physics,2007,2008,108,2,"[121, 187]","[0.3198, 0.2703]","positron, muons, ultrarelativistic, production, laser, electron, pions, positronium, flashes, counterpropagating"
physics,2007,2008,130,2,"[130, 151]","[0.2943, 0.4406]","black, hole, singularity, quark, leptons, holes, schwarzschild, inconceivable, sim, preconceived"
physics,2007,2008,133,2,"[133, 191]","[0.2956, 0.2171]","dragline, polymer, chain, silk, silks, biopolymer, persistence, translocation, lateral, lengths"
physics,2008,2009,12,2,"[12, 154]","[0.4195, 0.2198]","ionization, laser, molecules, pulse, nonsequential, electron, double, intense, pulses, ati"
