subject,year,avg_sim,avg_drift,n_topics
physics,2000,1.0,0.0,108
physics,2001,0.3640117982456141,0.635988201754386,114
physics,2002,0.2474771953125,0.7525228046875,128
physics,2003,0.177399264,0.8226007359999999,125
physics,2004,0.18099080379746837,0.8190091962025318,158
physics,2005,0.17210070700636942,0.8278992929936305,157
physics,2006,0.14588586781609195,0.8541141321839081,174
physics,2007,0.12212374725274724,0.8778762527472528,182
physics,2008,0.0889590052356021,0.9110409947643978,191
physics,2009,0.09441629591836734,0.9055837040816327,196
physics,2010,0.11487176076555024,0.8851282392344498,209
physics,2011,0.11685398630136987,0.8831460136986301,219
physics,2012,0.10831726905829597,0.891682730941704,223
physics,2013,0.10270757657657659,0.8972924234234234,222
physics,2014,0.1050049185520362,0.8949950814479638,221
physics,2015,0.11198027678571429,0.8880197232142857,224
physics,2016,0.10906315789473683,0.8909368421052631,228
physics,2017,0.10882438961038961,0.8911756103896105,231
physics,2018,0.11033251515151515,0.8896674848484849,231
physics,2019,0.1088365474137931,0.8911634525862069,232
physics,2020,0.10904991341991342,0.8909500865800866,231
physics,2021,0.10557832327586207,0.894421676724138,232
physics,2022,0.10803785344827586,0.8919621465517241,232
physics,2023,0.10867315584415584,0.8913268441558442,231
physics,2024,0.10762890476190476,0.8923710952380952,231
physics,2025,0.10874131034482758,0.8912586896551724,232
