subject,category,n_keywords,avg_span,max_span,min_span,avg_coverage_pct,n_never_captured,n_full_span
physics,emerging,20,14.15,26,0,62.5,3,3
physics,stable,20,13.65,26,0,58.85,3,5
physics,decaying,20,18.4,26,0,76.73,2,11
