subject,model,word,gt_category,model_category,match,model_slope,model_p_value,model_r_squared,span,coverage_pct
physics,bertopic,learning,emerging,emerging,True,0.45812,0.0,0.7478,15,69.2
physics,bertopic,imaging,emerging,emerging,True,0.187692,0.0,0.7748,23,92.3
physics,bertopic,neural,emerging,emerging,True,0.342222,0.0,0.68,16,92.3
physics,bertopic,based,emerging,stable,False,0.0,1.0,0.0,0,0.0
physics,bertopic,network,emerging,emerging,True,0.298462,1e-06,0.6563,21,84.6
physics,bertopic,high,emerging,emerging,True,0.035214,0.008529,0.2549,16,69.2
physics,bertopic,materials,emerging,emerging,True,0.078974,0.00059,0.3946,9,50.0
physics,bertopic,demonstrate,emerging,stable,False,0.0,1.0,0.0,0,0.0
physics,bertopic,performance,emerging,emerging,True,0.05641,0.0,0.7333,15,57.7
physics,bertopic,networks,emerging,emerging,True,0.281026,1e-06,0.6433,23,88.5
physics,bertopic,machine,emerging,emerging,True,0.134359,0.0,0.7552,12,50.0
physics,bertopic,models,emerging,emerging,True,0.100171,1.4e-05,0.5506,9,53.8
physics,bertopic,optical,emerging,emerging,True,0.397949,0.0,0.8558,26,100.0
physics,bertopic,deep,emerging,emerging,True,0.199316,0.000261,0.4325,9,34.6
physics,bertopic,mathrm,emerging,emerging,True,0.072137,0.002769,0.3166,4,50.0
physics,bertopic,topological,emerging,emerging,True,0.032137,0.002262,0.3273,16,76.9
physics,bertopic,work,emerging,stable,False,0.0,1.0,0.0,0,0.0
physics,bertopic,data,emerging,emerging,True,0.241026,0.0,0.7875,17,80.8
physics,bertopic,quantum,emerging,emerging,True,0.395214,0.0,0.8658,26,100.0
physics,bertopic,flow,emerging,emerging,True,0.298803,0.0,0.7485,26,100.0
physics,bertopic,energy,stable,emerging,False,0.127863,5e-05,0.503,20,88.5
physics,bertopic,results,stable,stable,True,0.0,1.0,0.0,0,0.0
physics,bertopic,magnetic,stable,emerging,False,0.25812,0.0,0.832,26,100.0
physics,bertopic,time,stable,emerging,False,0.109744,8.2e-05,0.4826,17,80.8
physics,bertopic,model,stable,emerging,False,0.068376,0.007184,0.2646,9,65.4
physics,bertopic,particle,stable,emerging,False,0.144615,2.9e-05,0.5242,20,88.5
physics,bertopic,analysis,stable,stable,True,0.014017,0.100711,0.1083,1,11.5
physics,bertopic,state,stable,emerging,False,0.06359,0.003918,0.298,10,69.2
physics,bertopic,states,stable,emerging,False,0.167521,0.0,0.7152,18,73.1
physics,bertopic,laser,stable,emerging,False,0.294017,0.0,0.682,26,100.0
physics,bertopic,used,stable,stable,True,0.0,1.0,0.0,0,0.0
physics,bertopic,dimensional,stable,stable,True,0.001709,0.746259,0.0044,1,3.8
physics,bertopic,present,stable,stable,True,0.0,1.0,0.0,0,0.0
physics,bertopic,field,stable,emerging,False,0.105983,0.006012,0.2745,26,100.0
physics,bertopic,physics,stable,emerging,False,0.099487,0.001708,0.3418,25,96.2
physics,bertopic,experimental,stable,stable,True,-0.000342,0.948456,0.0002,1,3.8
physics,bertopic,order,stable,emerging,False,0.092991,0.001879,0.3369,9,69.2
physics,bertopic,method,stable,emerging,False,0.117949,8e-05,0.484,16,92.3
physics,bertopic,electron,stable,emerging,False,0.220855,9e-06,0.5682,26,100.0
physics,bertopic,density,stable,stable,True,0.008547,0.0961,0.1111,25,96.2
physics,bertopic,theory,decaying,emerging,False,0.09094,0.001967,0.3345,23,92.3
physics,bertopic,relativistic,decaying,stable,False,0.053675,0.077964,0.1238,23,96.2
physics,bertopic,relativity,decaying,stable,False,-0.002735,0.81329,0.0024,26,100.0
physics,bertopic,beam,decaying,emerging,False,0.116239,0.002173,0.3293,26,100.0
physics,bertopic,shown,decaying,stable,False,-0.007179,0.165929,0.0784,1,3.8
physics,bertopic,atoms,decaying,stable,False,0.04547,0.195963,0.0687,26,100.0
physics,bertopic,discussed,decaying,stable,False,0.0,1.0,0.0,0,0.0
physics,bertopic,equation,decaying,emerging,False,0.101197,0.005957,0.275,26,100.0
physics,bertopic,equations,decaying,stable,False,0.013333,0.718358,0.0055,26,100.0
physics,bertopic,clusters,decaying,stable,False,-0.017436,0.179957,0.0736,26,100.0
physics,bertopic,presented,decaying,stable,False,0.0,1.0,0.0,0,0.0
physics,bertopic,gravitational,decaying,stable,False,0.030427,0.211966,0.0641,26,100.0
physics,bertopic,einstein,decaying,stable,False,0.013675,0.671344,0.0076,26,100.0
physics,bertopic,law,decaying,stable,False,0.003761,0.876188,0.001,10,76.9
physics,bertopic,atom,decaying,emerging,False,0.084103,0.00223,0.328,26,100.0
physics,bertopic,radiation,decaying,stable,False,0.064615,0.076782,0.1247,16,88.5
physics,bertopic,electromagnetic,decaying,stable,False,0.010256,0.701061,0.0062,26,100.0
physics,bertopic,motion,decaying,stable,False,0.05812,0.068543,0.1316,8,80.8
physics,bertopic,special,decaying,stable,False,-0.005128,0.327287,0.04,26,100.0
physics,bertopic,lorentz,decaying,stable,False,-0.009915,0.537529,0.016,26,100.0
