subject,topic_id,avg_yoy_sim,min_yoy_sim,avg_yoy_drift,max_single_jump
math,116,0.33636363636363636,0.0,0.6636363636363636,1.0
math,117,0.35714285714285715,0.1,0.6428571428571429,0.9
math,118,0.256,0.0,0.7440000000000001,1.0
math,119,0.4043478260869566,0.0,0.5956521739130435,1.0
math,120,0.30400000000000005,0.0,0.696,1.0
math,121,0.324,0.0,0.6759999999999999,1.0
math,122,0.465,0.0,0.5349999999999999,1.0
math,123,0.196,0.0,0.804,1.0
math,124,0.30416666666666664,0.0,0.6958333333333333,1.0
math,125,0.29600000000000004,0.0,0.7040000000000001,1.0
math,126,0.16818181818181818,0.0,0.8318181818181819,1.0
math,127,0.2857142857142857,0.0,0.7142857142857143,1.0
math,128,0.22,0.0,0.78,1.0
math,129,0.23199999999999998,0.0,0.768,1.0
math,130,0.30434782608695654,0.0,0.6956521739130435,1.0
math,131,0.23478260869565218,0.0,0.7652173913043478,1.0
math,132,0.228,0.0,0.772,1.0
math,133,0.1,0.0,0.9,1.0
math,134,0.4833333333333333,0.2,0.5166666666666667,0.8
math,135,0.1625,0.0,0.8375,1.0
math,136,0.32857142857142857,0.0,0.6714285714285714,1.0
math,137,0.225,0.0,0.775,1.0
math,138,0.395,0.1,0.605,0.9
math,139,0.37777777777777777,0.0,0.6222222222222222,1.0
math,140,0.35,0.0,0.65,1.0
math,141,0.3857142857142857,0.0,0.6142857142857143,1.0
math,142,0.30400000000000005,0.0,0.696,1.0
math,143,0.375,0.0,0.625,1.0
math,144,0.19999999999999998,0.0,0.7999999999999999,1.0
math,145,0.264,0.1,0.736,0.9
math,146,0.324,0.1,0.6759999999999999,0.9
math,147,0.22400000000000003,0.0,0.7759999999999999,1.0
math,148,0.3347826086956522,0.0,0.6652173913043479,1.0
math,149,0.33043478260869563,0.0,0.6695652173913044,1.0
math,150,0.23333333333333336,0.0,0.7666666666666666,1.0
math,151,0.2391304347826087,0.0,0.7608695652173914,1.0
math,152,0.16400000000000003,0.0,0.836,1.0
math,153,0.2736842105263158,0.0,0.7263157894736842,1.0
math,154,0.3727272727272727,0.0,0.6272727272727273,1.0
math,155,0.1952380952380952,0.0,0.8047619047619047,1.0
math,156,0.316,0.0,0.684,1.0
math,157,0.276,0.1,0.7240000000000001,0.9
math,158,0.324,0.0,0.6759999999999999,1.0
math,159,0.344,0.1,0.6559999999999999,0.9
math,160,0.3368421052631579,0.0,0.6631578947368421,1.0
math,161,0.284,0.0,0.716,1.0
math,162,0.36363636363636365,0.0,0.6363636363636364,1.0
math,163,0.2619047619047619,0.1,0.7380952380952381,0.9
math,164,0.21304347826086958,0.0,0.7869565217391304,1.0
math,165,0.3,0.0,0.7,1.0
math,166,0.14400000000000002,0.0,0.8560000000000001,1.0
math,167,0.12,0.0,0.88,1.0
math,168,0.47000000000000003,0.0,0.53,1.0
math,169,0.34500000000000003,0.0,0.655,1.0
math,170,0.256,0.1,0.7440000000000001,0.9
math,171,0.23478260869565218,0.0,0.7652173913043478,1.0
math,172,0.2409090909090909,0.0,0.759090909090909,1.0
math,173,0.32083333333333336,0.0,0.6791666666666667,1.0
math,174,0.19047619047619047,0.0,0.8095238095238095,1.0
math,175,0.29600000000000004,0.0,0.7040000000000001,1.0
math,176,0.3190476190476191,0.1,0.680952380952381,0.9
math,177,0.264,0.1,0.736,0.9
math,178,0.27647058823529413,0.0,0.723529411764706,1.0
math,179,0.27499999999999997,0.0,0.725,1.0
math,180,0.3523809523809524,0.1,0.6476190476190476,0.9
math,181,0.22727272727272727,0.0,0.7727272727272727,1.0
math,182,0.23199999999999998,0.0,0.768,1.0
math,183,0.16399999999999998,0.0,0.836,1.0
math,184,0.33636363636363636,0.2,0.6636363636363636,0.8
math,185,0.23333333333333334,0.0,0.7666666666666667,1.0
math,186,0.18695652173913044,0.0,0.8130434782608695,1.0
math,187,0.19047619047619047,0.0,0.8095238095238095,1.0
math,188,0.212,0.0,0.7879999999999999,1.0
math,189,0.38421052631578945,0.0,0.6157894736842104,1.0
math,190,0.19444444444444445,0.0,0.8055555555555556,1.0
math,191,0.3333333333333333,0.0,0.6666666666666666,1.0
math,192,0.48,0.0,0.52,1.0
math,193,0.17391304347826086,0.0,0.8260869565217391,1.0
math,194,0.2789473684210526,0.0,0.7210526315789473,1.0
math,195,0.23636363636363636,0.0,0.7636363636363637,1.0
math,196,0.20476190476190476,0.0,0.7952380952380952,1.0
math,197,0.23199999999999998,0.0,0.768,1.0
math,198,0.23478260869565218,0.0,0.7652173913043478,1.0
math,199,0.19523809523809527,0.0,0.8047619047619047,1.0
math,200,0.1952380952380952,0.0,0.8047619047619047,1.0
math,201,0.26,0.0,0.74,1.0
math,202,0.21052631578947367,0.1,0.7894736842105263,0.9
math,203,0.29090909090909095,0.2,0.7090909090909091,0.8
math,204,0.26666666666666666,0.0,0.7333333333333334,1.0
math,205,0.348,0.0,0.652,1.0
math,206,0.21875,0.0,0.78125,1.0
math,207,0.14117647058823532,0.0,0.8588235294117648,1.0
math,208,0.17142857142857143,0.0,0.8285714285714285,1.0
math,209,0.19,0.0,0.8099999999999999,1.0
math,210,0.28421052631578947,0.0,0.7157894736842105,1.0
