subject,topic_id,window_from,window_to,rbo_sim,endpoint_drift,n_words_first,n_words_last,n_kept,n_removed,n_added,pct_kept,words_first,words_last,words_kept,words_added,words_removed
math,0,2000–2005,2020–2025,0.479286,0.520714,20,11,7,13,4,35.0,"equation, nonlinear, solutions, equations, mathbb, wave, dinger, left, om, right, schr, codim, du, frac, elliptic, problem, rightarrow, sing, slash, supp","begin, equation, equations, frac, mathbb, nabla, nonlinear, partial, solutions, quad, dinger","dinger, equation, equations, frac, mathbb, nonlinear, solutions","begin, nabla, partial, quad","codim, du, elliptic, left, om, problem, right, rightarrow, schr, sing, slash, supp, wave"
math,1,2000–2005,2020–2025,0.90873,0.09127,16,10,9,7,1,56.25,"abelian, finite, gg, group, groups, subgroup, subgroups, free, mathbb, mathcal, automorphism, actions, approx0, aut, diagram, precsim","abelian, finite, gg, group, groups, mathbb, mathcal, mathrm, subgroup, subgroups","abelian, finite, gg, group, groups, mathbb, mathcal, subgroup, subgroups",mathrm,"actions, approx0, aut, automorphism, diagram, free, precsim"
math,2,2000–2005,2020–2025,0.153238,0.846762,42,11,5,37,6,11.9,"method, ador, anisotropic, combustion, diffusion, eddy, element, fd, interpolations, model, numerical, pdes, resolution, schema, shock, smagorinsky, subgrid, artificial, capturing, computational, debye, detection, discretization, edge, error, fluid, high, integrated, maxwell, mesh, methods, navier, numeric, pressure, scale, schemes, solution, stokes, td, turbulent, viscosity, walls","element, error, finite, galerkin, mesh, method, numerical, order, scheme, equations, meshes","element, error, mesh, method, numerical","equations, finite, galerkin, meshes, order, scheme","ador, anisotropic, artificial, capturing, combustion, computational, debye, detection, diffusion, discretization, eddy, edge, fd, fluid, high, integrated, interpolations, maxwell, methods, model"
math,3,2000–2005,2020–2025,0.617565,0.382435,20,12,10,10,2,50.0,"entropy, ergodic, maps, measures, measure, diffeomorphisms, mixing, dynamical, fractals, mathbb, dimension, kicked, la, topological, alpha, invariant, kicks, nur, space, systems","dynamical, entropy, ergodic, maps, mathbb, measure, measures, systems, mathcal, set, dimension, topological","dimension, dynamical, entropy, ergodic, maps, mathbb, measure, measures, systems, topological","mathcal, set","alpha, diffeomorphisms, fractals, invariant, kicked, kicks, la, mixing, nur, space"
math,4,2000–2005,2020–2025,0.766461,0.233539,15,10,8,7,2,53.33,"algebra, algebras, lie, mathfrak, modules, sl, frak, quantum, superalgebras, gl, goth, representations, superalgebra, enveloping, superconformal","algebra, algebras, gl, lie, mathbb, mathcal, mathfrak, modules, sl, superalgebras","algebra, algebras, gl, lie, mathfrak, modules, sl, superalgebras","mathbb, mathcal","enveloping, frak, goth, quantum, representations, superalgebra, superconformal"
math,5,2000–2005,2020–2025,0.588227,0.411773,27,13,8,19,5,29.63,"convex, polytope, polytopes, mathbb, packings, points, lattice, polygon, tilings, flipturn, flipturns, hexagonal, polyhedra, bier, cones, dimensional, dissection, dissections, ehrhart, facets, hales, kakeya, packing, polygons, set, tetrahedra, volumes","convex, mathbb, mathcal, points, polytope, polytopes, set, tilings, sets, polygons, frac, plane, leq","convex, mathbb, points, polygons, polytope, polytopes, set, tilings","frac, leq, mathcal, plane, sets","bier, cones, dimensional, dissection, dissections, ehrhart, facets, flipturn, flipturns, hales, hexagonal, kakeya, lattice, packing, packings, polygon, polyhedra, tetrahedra, volumes"
math,6,2000–2005,2020–2025,0.407733,0.592267,27,11,6,21,5,22.22,"graph, graphs, vertices, gg, konig, number, tree, vertex, bipartite, condensations, consolidated, consolidations, haxell, pebbling, theorem, thickness, adjacencies, asdim, complexes, covered, cq, degree, hierarchy, kozlov, mu, pebbles, trees","edge, edges, gg, graph, graphs, mathcal, number, vertex, vertices, kk, frac","gg, graph, graphs, number, vertex, vertices","edge, edges, frac, kk, mathcal","adjacencies, asdim, bipartite, complexes, condensations, consolidated, consolidations, covered, cq, degree, haxell, hierarchy, konig, kozlov, mu, pebbles, pebbling, theorem, thickness, tree"
math,7,2000–2005,2020–2025,0.777684,0.222316,15,12,10,5,2,66.67,"ideal, ideals, modules, ring, rings, rr, macaulay, module, cohen, gorenstein, graded, janet, mathcal, pommaret, qb","ideal, ideals, macaulay, mathfrak, modules, noetherian, ring, rings, rr, gorenstein, graded, module","gorenstein, graded, ideal, ideals, macaulay, module, modules, ring, rings, rr","mathfrak, noetherian","cohen, janet, mathcal, pommaret, qb"
math,8,2000–2005,2020–2025,0.594474,0.405526,20,11,9,11,2,45.0,"algebra, algebras, mathcal, unital, group, banach, crossed, cuntz, von, aa, ideals, morita, neumann, ast, cal, cl, krieger, oa, ring, tracial","aa, algebra, algebras, group, mathbb, mathcal, mathfrak, unital, von, banach, tracial","aa, algebra, algebras, banach, group, mathcal, tracial, unital, von","mathbb, mathfrak","ast, cal, cl, crossed, cuntz, ideals, krieger, morita, neumann, oa, ring"
math,9,2000–2005,2020–2025,0.591439,0.408561,26,13,9,17,4,34.62,"distribution, random, limit, variables, statistics, moment, quicksort, sums, cal, empirical, gaussian, probability, rosenthal, sum, tail, anlytic, convergence, exponential, inequalities, jackknife, mathbb, measures, poisson, processes, sequences, stein","distribution, gaussian, limit, mathbb, random, variables, probability, sum, convergence, distributions, infty, mathcal, log","convergence, distribution, gaussian, limit, mathbb, probability, random, sum, variables","distributions, infty, log, mathcal","anlytic, cal, empirical, exponential, inequalities, jackknife, measures, moment, poisson, processes, quicksort, rosenthal, sequences, statistics, stein, sums, tail"
math,10,2000–2005,2020–2025,0.349475,0.650525,32,12,9,23,3,28.12,"mathbb, operators, bmo, operator, boundedness, ce, spaces, beta, bnat, condition, ell, infty, maximal, transform, 1h, buildrel, doubling, dunkl, estimates, ij, inequality, int, integral, kernel, kms, leq, nyman, periodizations, pl, ref, riesz, sec","frac, hardy, infty, mathbb, mathcal, operator, operators, spaces, boundedness, leq, bmo, int","bmo, boundedness, infty, int, leq, mathbb, operator, operators, spaces","frac, hardy, mathcal","1h, beta, bnat, buildrel, ce, condition, doubling, dunkl, ell, estimates, ij, inequality, integral, kernel, kms, maximal, nyman, periodizations, pl, ref"
math,11,2000–2005,2020–2025,0.632465,0.367535,18,12,10,8,2,55.56,"homology, invariants, knot, knots, link, links, jones, khovanov, vassiliev, concordance, legendrian, alexander, invariant, knotted, linking, polynomial, skein, virtual","floer, homology, invariants, khovanov, knot, knots, link, links, mathbb, legendrian, alexander, invariant","alexander, homology, invariant, invariants, khovanov, knot, knots, legendrian, link, links","floer, mathbb","concordance, jones, knotted, linking, polynomial, skein, vassiliev, virtual"
