subject,topic_id,window,win_start,win_end,top_words,n_words
math,0,2000–2005,2000,2005,"bundle, curve, projective, surface, variety, smooth, divisor, modulus_space, toric_variety, genus, vector_bundle, algebraic, group, degree, fan, kodaira",16
math,0,2005–2010,2005,2010,"curve, divisor, modulus_space, projective, smooth, surface, variety, bundle, vector_bundle, algebraic, sheaf, singularity, genus, group, rational, threefold",16
math,0,2010–2015,2010,2015,"curve, modulus_space, projective, smooth, surface, variety, divisor, bundle, rational, singularity, sheaf, vector_bundle, birational, hypersurface, threefold",15
math,0,2015–2020,2015,2020,"curve, modulus_space, projective, singularity, smooth, surface, variety, bundle, divisor, sheaf, rational, hypersurface",12
math,0,2020–2025,2020,2025,"bundle, curve, modulus_space, projective, smooth, surface, variety, sheaf, mathbb_mathbb, divisor, singularity, group, rational",13
math,1,2000–2005,2000,2005,"numerical, smagorinsky, eddy, filter, subgrid, ador, artificial_viscosity, bkm, boundary, corner, error, integral, propagation, reynold, scale, turbulent, wall, anisotropic, debye, dsc, finite_element, hypersingular, kernal, law, maxwell, mesh, pde, practical, richtmyer, scheme, shell, shock_capturing, singularity, tlm, transmission, wrong",36
math,1,2005–2010,2005,2010,"numerical, scheme, error, finite_element, mesh, stability, approximation, fluid, flux, interface, stress, cdg, creep, debye, disc, domain, eddy, elastic, gluey, material, maxwell, multiscale, pde, practical, propagation, que, richtmyer, scale, smagorinsky, vepsi, volume, wave, wrong",33
math,1,2010–2015,2010,2015,"error, finite_element, mesh, numerical, scheme, interface, order, convergence, discretization, accuracy, discontinuous_galerkin, nonlinear, approximation, energy, fluid, flux, multiscale, stability",18
math,1,2015–2020,2015,2020,"discretization, error, finite_element, mesh, numerical, order, scheme, discontinuous_galerkin, interface, approximation, convergence, accuracy, adaptive",13
math,1,2020–2025,2020,2025,"discretization, error, finite_element, mesh, numerical, order, scheme, accuracy, interface, approximation, discontinuous_galerkin, domain, energy, flow",14
math,2,2000–2005,2000,2005,"graph, circuit, hamilton, vertex, edge, konig, tree, condensation, consolidated, consolidation, haxell, hypergraph, set, turan, claw_free, degree, dom, face, frankl, hierarchy, independence, nonstandard, pebble, perfect_matching, polynomial, sidorenko, subtree, thickness, transfinite, zigzag",30
math,2,2005–2010,2005,2010,"edge, graph, vertex, degree, subgraph, tree, perfect_matching, bipartite_graph, maximum, squaregraph, aztec_diamond, bbz_bbz, claw_free, condensation, cycle, dim_pvef, dim_qvf, extendable, facet, flip, graphical, hypergraph, independence, leaf, set, treewidth, turan, xyz",28
math,2,2010–2015,2010,2015,"degree, edge, graph, subgraph, tree, vertex, maximum, cycle, set, hypergraph, minimum, clique, bipartite_graph, perfect_matching, squaregraph",15
math,2,2015–2020,2015,2020,"cycle, edge, graph, hypergraph, subgraph, tree, vertex, degree, digraph, path, clique, minimum, bipartite_graph",13
math,2,2020–2025,2020,2025,"cycle, degree, digraph, edge, graph, hypergraph, subgraph, tree, vertex, maximum, bipartite_graph, minimum, path",13
math,3,2000–2005,2000,2005,"sample, estimator, datum, density, distribution, estimation, financial, levy, pricing, roughness, asthma, fractal, function, ifs, increment, kernel, mdma, nonparametric, box, counting, gaussian, jack, jackknife, mmse, regression, shrinkage, stochastic, volatility",28
math,3,2005–2010,2005,2010,"distribution, estimation, estimator, regression, datum, function, nonparametric, test, sample, asymptotic, density, likelihood, maximum_likelihood, procedure, empirical, pricing, selection",17
math,3,2010–2015,2010,2015,"datum, distribution, estimation, estimator, regression, test, nonparametric, sample, empirical, selection, statistic, asymptotic, covariate, density, error, function, likelihood, procedure, rate",19
math,3,2015–2020,2015,2020,"datum, distribution, estimation, estimator, regression, sample, test, covariate, nonparametric, error, selection, statistic, empirical, inference, lasso, multivariate, procedure",17
math,3,2020–2025,2020,2025,"covariate, datum, distribution, estimation, estimator, regression, sample, test, inference, error, statistic, nonparametric, testing",13
math,4,2000–2005,2000,2005,"dirichlet, domain, mbox_div, operator, elliptic, boundary, condition, damascelli, left, loc, neumann, nonlinear, pacella, quasiconvex, right, rightarrow_infty, wright, 0du, bmo, corrector, differential, fracture, function, hyperplane, kraichnan, laplace, momotonicity, monotone, monotonicity, mumford_shah, regularity, semielliptic, space, ziglin",34
math,4,2005–2010,2005,2010,"boundary, elliptic, nonlinear, dirichlet, int, regularity, condition, critical, domain, existence, neumann, operator, semilinear, adimurthi, bar_bar, del, div_nabla, hccp, inozemtsev, laplacian, mountain_pass, nabla, nabla_nabla, parabolic, partial, potential, quad_quad, singular, space, tertikas, wellposedness, xox",32
math,4,2010–2015,2010,2015,"boundary, domain, elliptic, existence, nonlinear, dirichlet, regularity, partial_partial, positive, critical, frac, mathbb, nabla, end_array, hccp, int, laplacian, parabolic, potential, quad, quasilinear",21
math,4,2015–2020,2015,2020,"boundary, elliptic, existence, frac, mathbb, nonlinear, regularity, mathbb_mathbb, nabla, end_array, partial_partial, domain, critical, int, nonlocal, positive",16
math,4,2020–2025,2020,2025,"elliptic, existence, frac, mathbb, mathbb_mathbb, regularity, boundary, int, nabla, end, end_array, right, partial, partial_partial",14
math,5,2000–2005,2000,2005,"multivector, concept, steiner, thoery, computing, field, function, generalized, minimax, modulus_continuity, quasiconvex, recurrence, testing, bad, bourgain, compositon, conservative, convex, copositive, dissipative, distortion, embedding, force, guaranteed, log, metric, nonconvex, nonlinear, procedure, putnam, quadratic, theory",32
math,5,2005–2010,2005,2010,"extrema, maximizer, regression, saddle_point, verified, algorithm, bds, convex, dimensionality, false, lasso, nabla, penalty, selection, shrinkage, straightforward, tisp, afem, bourgain, contraintes, copositive, distortion, embedding, function, interval, log, metric, minimax, minimizer, modulus_continuity, multivector, nonconvex, optimization, passage, quadratic, representable, thresholding, wrapping",38
math,5,2010–2015,2010,2015,"algorithm, convex, optimization, convergence, function, nonconvex, minimization, gradient, objective, bfgs, proximal, shrinkage, tisp, afem, dual, iteration, lasso, penalty, programming, saddle_point, selection, wrapping",22
math,5,2015–2020,2015,2020,"algorithm, convergence, convex, function, gradient, nonconvex, objective, optimization, proximal, stochastic, iteration, minimization",12
math,5,2020–2025,2020,2025,"algorithm, convergence, convex, function, gradient, nonconvex, objective, optimization, stochastic, convergence_rate, proximal",11
math,6,2000–2005,2000,2005,"polytope, polygon, convex, cone, dissection, flipturn, triangulation, delaunay, hale, kepler, parallelotope, point, tetrahedron, vertex, volume, arakelov, bicycle, convex_body, curve, dimensional, ehrhart, kakeya, lattice, orthocentric, polyhedral, polyhedron, poset, reciprocity_law, set, simplice, space, sphere",32
math,6,2005–2010,2005,2010,"point, polytope, vertex, lattice, convex, convex_body, set, dimensional, euclidean, facet, space, triangle, triangulation, varlambda_varlambda, cone, configuration, dimension, ehrhart, orthocentric, packing, patch, plane, polyhedron, simplice, volume",25
math,6,2010–2015,2010,2015,"convex, point, polytope, set, convex_body, plane, polygon, vertex, euclidean, space, lattice, packing, ball, convex_hull, dimension, dimensional, facet, line, polyhedra, theorem, volume",21
math,6,2015–2020,2015,2020,"convex, convex_body, point, polygon, polytope, set, mathbb_mathbb, volume, plane, triangle, packing, angle, convex_hull, lattice, polyhedra, space, theorem",17
math,6,2020–2025,2020,2025,"convex, convex_body, mathbb_mathbb, point, polygon, polytope, set, plane, volume, packing, angle, body, dimension, vertex",14
math,7,2000–2005,2000,2005,"map, diffeomorphism, entropy, fractal, measure, ergodic, dynamical, arnold, dimension, hyperbolic, orbit, periodic, space, subshift, curve, diff, france, instability, invariant, mende, metric, omegalt, pfaff, polymorphism, self_similar, set, shift",27
math,7,2005–2010,2005,2010,"entropy, ergodic, map, measure, set, invariant, dynamical, fractal, hausdorff_dimension, topological, diffeomorphism, hyperbolic, shift, transformation, anasdim, dimension, flow, point, space, subshift, thmainabstract",21
math,7,2010–2015,2010,2015,"entropy, ergodic, map, measure, set, diffeomorphism, dynamical, attractor, invariant, space, topological, fractal, hausdorff_dimension, multifractal, function, point",16
math,7,2015–2020,2015,2020,"dynamical, entropy, ergodic, map, measure, set, topological, attractor, fractal, diffeomorphism, space, dimension, function, hyperbolic, mathbb_mathbb",15
math,7,2020–2025,2020,2025,"dynamical, entropy, ergodic, map, measure, set, dimension, fractal, space, topological, diffeomorphism, mathbb_mathbb, attractor, function, hausdorff_dimension, invariant",16
math,8,2000–2005,2000,2005,"distribution, random_variable, statistic, sum, quicksort, random, central_limit_theorem, empirical, function, inequality, jackknife, martingale, probability, rosenthal, stein, tail, anlytic, cal_cal, divergence, edeleman, entropy, fkg, gaussian, gurov_reshetnyak, heat_kernel, hoffmann_rgensen, lempel, measure, offord, quantile, robbins",31
math,8,2005–2010,2005,2010,"distribution, probability, random, random_variable, sum, central_limit_theorem, measure, function, moment, statistic, approximation, martingale, tail, asymptotic, divergence, empirical, gaussian, poisson, stein",19
math,8,2010–2015,2010,2015,"distribution, function, gaussian, moment, random, random_variable, sum, probability, central_limit_theorem, measure, statistic, approximation, inequality, poisson",14
math,8,2015–2020,2015,2020,"distribution, function, gaussian, inequality, probability, random, random_variable, sum, moment, measure, convergence, poisson, sequence",13
math,8,2020–2025,2020,2025,"distribution, gaussian, moment, probability, random, random_variable, sum, inequality, measure, central_limit_theorem, function",11
math,9,2000–2005,2000,2005,"ideal, module, cohen_macaulay, ring, monomial_ideal, cohomology, hilbert, local, scheme, algebra, bass, gorenstein, janet, multiplicity, biliaison, buchsbaum, characteristic, closure, ext, injective, noetherian, prime, projective, qfqf, star_star, toric",26
math,9,2005–2010,2005,2010,"cohen_macaulay, gorenstein, ideal, local, module, monomial_ideal, ring, multiplicity, noetherian, algebra, injective, artinian, cohomology, dim, dimension, polynomial, qfqf, stanley, star_star",19
math,9,2010–2015,2010,2015,"cohen_macaulay, gorenstein, ideal, local, module, ring, algebra, complete_intersection, monomial_ideal, polynomial, noetherian, prime, projective, characteristic, depth, dimension, hilbert, resolution, stanley",19
math,9,2015–2020,2015,2020,"algebra, cohen_macaulay, gorenstein, ideal, local, module, ring, prime, noetherian, operatorname, projective, resolution, commutative_ring, complete_intersection, hilbert, mathfrak, mathfrak_mathfrak, monomial_ideal, polynomial",19
math,9,2020–2025,2020,2025,"cohen_macaulay, gorenstein, ideal, module, ring, prime, algebra, monomial_ideal, noetherian, submodule, mathfrak, local, commutative_ring, mathfrak_mathfrak, operatorname, primary",16
math,10,2000–2005,2000,2005,"operator, integral, nyman, space, beta, bmo, bnat, boundedness, condition, dunkl, multivariable, paley_wiener, riemann_hypothesis, sec_sec, transform, abs_abs, buildrel, commutator, equilibrium, estimate, function, geometrical, grand, inequality, kms, lem, maximal, measure, mikhlin, ormander, periodization, product, ruelle, sbd, schur_multiplier, shlyahtenko, symbol, tvk",38
math,10,2005–2010,2005,2010,"function, integral, operator, space, norm, hardy, inequality, bmo, estimate, dunkl, maximal, multiplier, symbol, transform, bkr, commutator, dyadic, mathbb, measure, orlicz, paley_wiener",21
math,10,2010–2015,2010,2015,"function, integral, operator, space, bmo, estimate, boundedness, hardy, inequality, norm, mathbb, mathbb_mathbb, dyadic, fractional, maximal, multiplier, varphi",17
math,10,2015–2020,2015,2020,"estimate, function, mathbb, mathbb_mathbb, operator, space, hardy, bmo, inequality, boundedness, commutator, frac, integral, mathcal, maximal",15
math,10,2020–2025,2020,2025,"estimate, function, mathbb, mathbb_mathbb, operator, space, boundedness, hardy, inequality, mathcal, bmo, frac, int, integral",14
math,11,2000–2005,2000,2005,"invariant, knot, link, vassiliev, homology, polynomial, alexander, jones, manifold, khovanov_homology, legendrian_knot, sphere, tangle, colored_jones, diagram, framing, homflypt_skein, module, pretzel_knot, quandle, ropelength, skein, transverse",23
math,11,2005–2010,2005,2010,"homology, invariant, knot, link, polynomial, alexander, khovanov_homology, tangle, diagram, surface, group, surgery, braid, crossing, graph, jones, manifold, tunnel, vassiliev",19
math,11,2010–2015,2010,2015,"diagram, homology, invariant, knot, link, polynomial, khovanov_homology, tangle, alexander, surgery, crossing, genus, surface, virtual, concordance, floer_homology",16
math,11,2015–2020,2015,2020,"diagram, homology, invariant, knot, link, manifold, tangle, crossing, surgery, khovanov_homology, polynomial, alexander, virtual, seifert, surface",15
math,11,2020–2025,2020,2025,"homology, invariant, knot, link, manifold, diagram, surgery, crossing, surface, tangle, alexander, polynomial, braid, genus, khovanov_homology, legendrian, seifert, torus",18
