subject,year_from,year_to,avg_sim,avg_drift,n_topics
math,2000,2001,0.13925925925925928,0.8607407407407408,135
math,2001,2002,0.14172661870503597,0.858273381294964,139
math,2002,2003,0.12317880794701988,0.8768211920529801,151
math,2003,2004,0.14444444444444446,0.8555555555555555,162
math,2004,2005,0.1624277456647399,0.8375722543352602,173
math,2005,2006,0.1912568306010929,0.8087431693989071,183
math,2006,2007,0.21156001562500001,0.7884399843750001,192
math,2007,2008,0.232597615,0.767402385,200
math,2008,2009,0.24607843137254903,0.7539215686274511,204
math,2009,2010,0.27403846153846156,0.7259615384615384,208
math,2010,2011,0.29904306220095694,0.7009569377990431,209
math,2011,2012,0.3180952380952381,0.6819047619047619,210
math,2012,2013,0.3547619047619048,0.6452380952380953,210
math,2013,2014,0.3752380952380952,0.6247619047619047,210
math,2014,2015,0.4042654028436019,0.5957345971563981,211
math,2015,2016,0.4261904761904762,0.5738095238095238,210
math,2016,2017,0.4433333333333333,0.5566666666666666,210
math,2017,2018,0.45165876777251185,0.5483412322274882,211
math,2018,2019,0.45071090047393364,0.5492890995260664,211
math,2019,2020,0.4777251184834123,0.5222748815165877,211
math,2020,2021,0.49241706161137444,0.5075829383886256,211
math,2021,2022,0.4848341232227488,0.5151658767772512,211
math,2022,2023,0.49573459715639806,0.5042654028436019,211
math,2023,2024,0.5127962085308057,0.4872037914691943,211
math,2024,2025,0.5563981042654028,0.44360189573459713,211
