subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
math,non,stable,26,26,2000,26,100.0,248,9.54,"[10, 13, 2, 13, 15, 11, 16, 13, 21, 26, 29, 16, 8, 8, 8, 5, 2, 2, 2, 3, 4, 5, 6, 4, 4, 2]",██████████████████████████
math,matrix,stable,26,26,2000,26,100.0,130,5.0,"[4, 6, 2, 3, 3, 6, 7, 8, 5, 7, 18, 13, 3, 4, 4, 6, 4, 4, 4, 2, 4, 3, 4, 3, 1, 2]",██████████████████████████
math,local,stable,17,22,2009,26,84.6,91,4.14,"[1, 0, 1, 2, 0, 0, 1, 2, 0, 1, 4, 7, 8, 16, 20, 3, 1, 1, 1, 2, 4, 5, 4, 2, 2, 3]",█·██··██·█████████████████
math,measure,stable,18,22,2008,26,84.6,116,5.27,"[0, 0, 1, 2, 0, 1, 1, 0, 1, 4, 5, 15, 11, 18, 17, 15, 1, 1, 1, 2, 3, 2, 6, 5, 3, 1]",··██·██·██████████████████
math,boundary,stable,17,19,2009,26,73.1,117,6.16,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3, 3, 5, 4, 14, 17, 18, 16, 15, 4, 2, 2, 3, 2, 3, 1]",█···█····█████████████████
math,term,stable,23,25,2003,26,96.2,142,5.68,"[2, 7, 0, 6, 6, 2, 4, 4, 9, 10, 14, 22, 12, 3, 2, 4, 4, 6, 6, 4, 1, 3, 3, 3, 3, 2]",██·███████████████████████
math,type,stable,26,26,2000,26,100.0,247,9.5,"[8, 13, 19, 16, 19, 20, 20, 25, 24, 27, 1, 5, 4, 4, 3, 3, 1, 2, 2, 5, 5, 6, 5, 4, 4, 2]",██████████████████████████
math,limit,stable,16,18,2010,26,69.2,58,3.22,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 2, 3, 2, 2, 8, 4, 4, 6, 10, 8, 2, 1, 1, 1, 1]",······█·█·████████████████
math,point,stable,26,26,2000,26,100.0,225,8.65,"[7, 10, 16, 18, 15, 17, 21, 20, 19, 18, 4, 3, 3, 5, 7, 6, 6, 5, 4, 3, 2, 4, 5, 4, 2, 1]",██████████████████████████
math,coefficient,stable,12,14,2014,26,53.8,34,2.43,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 2, 4, 4, 4, 1, 4, 2, 2, 2, 2, 1, 1]",··········█·█·████████████
math,space,stable,26,26,2000,26,100.0,311,11.96,"[40, 45, 40, 46, 47, 31, 1, 1, 1, 1, 1, 2, 3, 3, 4, 4, 4, 3, 3, 4, 4, 4, 6, 6, 4, 3]",██████████████████████████
math,sum,stable,17,18,2009,26,69.2,90,5.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 4, 4, 8, 10, 2, 3, 9, 8, 6, 6, 6, 6, 5, 4, 3]",···█·····█████████████████
math,degree,stable,15,17,2011,26,65.4,51,3.0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 3, 3, 3, 9, 3, 8, 6, 5, 1, 1, 1, 2, 1]",·█···█·····███████████████
math,rank,stable,6,11,2020,26,42.3,20,1.82,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 2, 2, 2, 0, 1, 2, 1, 1, 2, 2]",··············█████·██████
math,condition,stable,20,24,2006,26,92.3,107,4.46,"[0, 1, 1, 1, 4, 0, 5, 3, 6, 8, 21, 21, 5, 1, 1, 1, 1, 3, 4, 4, 2, 2, 4, 6, 1, 1]",·████·████████████████████
math,positive,stable,14,14,2012,26,53.8,72,5.14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 7, 6, 4, 5, 7, 7, 7, 12, 4, 2, 2, 1]",············██████████████
math,constant,stable,15,17,2011,26,65.4,68,4.0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 1, 1, 1, 4, 12, 9, 9, 10, 7, 3, 2, 2]",··█·····█··███████████████
math,group,decaying,26,26,2000,26,100.0,207,7.96,"[45, 48, 45, 1, 1, 3, 5, 3, 3, 4, 3, 2, 2, 3, 4, 4, 4, 2, 3, 2, 4, 4, 4, 4, 2, 2]",██████████████████████████
math,algebra,decaying,26,26,2000,26,100.0,339,13.04,"[47, 36, 40, 33, 33, 34, 34, 22, 1, 2, 5, 7, 5, 7, 9, 4, 2, 2, 2, 1, 1, 2, 3, 3, 2, 2]",██████████████████████████
